"contract_id","organization_id","agency_id","agency_name","service_id","contract_amount","contract_end","contract_start","contract_number","fiscal_year"
"17","2","69","HRA","5",,,,"CT106920150003384","FY2018"
"18","2","69","HRA","5",,,,"CT106920150003386","FY2018"
"19","2","69","HRA","5",,,,"CT106920161422456","FY2018"
"20","2","69","HRA","5",,,,"CT106920161423838","FY2018"
"21","2","69","HRA","5",,,,"CT106920161426883","FY2018"
"1","1","69","HRA","1","1717753","2019-09-30T00:00:00.000","2016-10-01T00:00:00.000","CT106920171409395","FY2018"
"2","1","69","HRA","1","2099475","2019-09-30T00:00:00.000","2016-10-01T00:00:00.000","CT106920171413068","FY2018"
"3","1","69","HRA","2",,,,"CT106920150002542","FY2018"
"4","1","69","HRA","2",,,,"CT106920161416161","FY2018"
"5","1","69","HRA","2","1937058","2018-09-30T00:00:00.000","2015-10-01T00:00:00.000","CT106920161417633","FY2018"
"6","1","69","HRA","2",,,,"CT106920161425667","FY2018"
"7","1","69","HRA","2",,,,"CT106920161426882","FY2018"
"8","1","69","HRA","2","32062004","2018-06-30T00:00:00.000","2016-01-01T00:00:00.000","CT106920171404771","FY2018"
"9","1","69","HRA","2",,,,"CT106920171407981","FY2018"
"10","1","69","HRA","2","683133","2018-09-30T00:00:00.000","2015-10-01T00:00:00.000","CT106920161413293","FY2018"
"11","1","69","HRA","2",,,,"CT106920171401989","FY2018"
"12","1","69","HRA","2","3282322","2018-09-30T00:00:00.000","2015-10-01T00:00:00.000","CT106920161413295","FY2018"
"13","1","69","HRA","2","6667217","2018-09-30T00:00:00.000","2015-10-01T00:00:00.000","CT106920161418137","FY2018"
"14","1","69","HRA","2","5641492","2018-09-30T00:00:00.000","2015-10-01T00:00:00.000","CT106920161418392","FY2018"
"15","2","69","HRA","4","1717752","2019-09-30T00:00:00.000","2016-10-01T00:00:00.000","CT106920171411103","FY2018"
"16","2","69","HRA","4","2099475","2019-09-30T00:00:00.000","2016-10-01T00:00:00.000","CT106920171411390","FY2018"
"22","2","69","HRA","5",,,,"CT106920161428968","FY2018"
"23","2","69","HRA","5",,,,"CT106920171400978","FY2018"
"24","2","69","HRA","5",,,,"CT106920171401141","FY2018"
"25","2","69","HRA","5",,,,"CT106920171401233","FY2018"
"26","2","69","HRA","5","1937058","2018-09-30T00:00:00.000","2015-10-01T00:00:00.000","CT106920171401712","FY2018"
"27","2","69","HRA","5",,,,"CT106920171402828","FY2018"
"28","2","69","HRA","5",,,,"CT106920171403565","FY2018"
"29","2","69","HRA","5","9000000","2018-09-30T00:00:00.000","2015-10-01T00:00:00.000","CT106920161423036","FY2018"
"30","2","69","HRA","5","5867151","2018-09-30T00:00:00.000","2015-10-01T00:00:00.000","CT106920171403728","FY2018"
"31","2","69","HRA","5","32062004","2018-06-30T00:00:00.000","2016-01-01T00:00:00.000","CT106920171403181","FY2018"
"32","2","69","HRA","5","3282322","2018-09-30T00:00:00.000","2015-10-01T00:00:00.000","CT106920171403498","FY2018"
"33","2","69","HRA","5","5415832","2018-09-30T00:00:00.000","2015-10-01T00:00:00.000","CT106920171400156","FY2018"
"34","2","69","HRA","5","683133","2018-09-30T00:00:00.000","2015-10-01T00:00:00.000","CT106920171400739","FY2018"
"35","3","69","HRA","8","11478698","2020-03-31T00:00:00.000","2017-04-01T00:00:00.000","CT106920171420868","FY2018"
"36","3","69","HRA","9","1483359","2020-03-31T00:00:00.000","2017-04-01T00:00:00.000","CT106920171422262","FY2018"
"37","3","69","HRA","12","3972057.22","2020-03-31T00:00:00.000","2017-04-01T00:00:00.000","CT106920171422192","FY2018"
"38","3","69","HRA","9","4699582","2020-03-31T00:00:00.000","2017-04-01T00:00:00.000","CT106920171422204","FY2018"
"39","3","69","HRA","10","3150000","2019-04-14T00:00:00.000","2016-04-15T00:00:00.000","CT106920161419884","FY2018"
"40","3","69","HRA","11","95257",,,,"FY2018"
"41","4","69","HRA","18","11932003.22","2020-03-31T00:00:00.000","2017-04-01T00:00:00.000","CT106920171420531","FY2018"
"42","4","69","HRA","20",,"2020-03-31T00:00:00.000","2017-04-01T00:00:00.000","CT106920171421181","FY2018"
"43","4","69","HRA","19","12666875.26","2020-03-31T00:00:00.000","2017-04-01T00:00:00.000","CT106920171420926","FY2018"
"44","4","69","HRA","20",,"2020-03-31T00:00:00.000","2017-04-01T00:00:00.000","CT106920171422024","FY2018"
"45","4","69","HRA","19","6219135.39","2020-03-31T00:00:00.000","2017-04-01T00:00:00.000","CT106920171421018","FY2018"
"46","4","69","HRA","19","4699684.94","2020-03-31T00:00:00.000","2017-04-01T00:00:00.000","CT106920171421137","FY2018"
