"vendorid","tpep_pickup_datetime","dropoff_datetime","passenger_count","trip_distance","pickup_longitude","pickup_latitude","ratecodeid","store_and_fwd_flag","dropoff_longitude","dropoff_latitude","payment_type","fare_amount","extra","mta_tax","tip_amount","tolls_amount","total_amount","pickup_location","dropoff_location"
"VTS","2010-08-23T12:01:00.000","2010-08-23T12:16:00.000","5","1.6100000000000001","-73.994197999999997","40.751268000000003","1",,"-73.976417999999995","40.763956999999998","CSH","8.5","0","0.5","0","0","9","POINT (-73.994198 40.751268)","POINT (-73.976418 40.763957)"
"VTS","2010-10-28T07:56:00.000","2010-10-28T08:04:00.000","1","1.28","-73.969437999999997","40.757227999999998","1",,"-73.964456999999996","40.764490000000002","CSH","6.0999999999999996","0","0.5","0","0","6.5999999999999996","POINT (-73.969438 40.757228)","POINT (-73.964457 40.76449)"
"CMT","2010-06-01T18:54:41.000","2010-06-01T19:22:36.000","2","9","-73.865686999999994","40.770771000000003","1","0","-73.951577","40.766345999999999","Cas","24.100000000000001","1","0.5","0","4.5700000000000003","30.170000000000002","POINT (-73.865687 40.770771)","POINT (-73.951577 40.766346)"
"CMT","2010-06-07T00:10:03.000","2010-06-07T00:27:04.000","1","10.6","-73.862859999999998","40.769092999999998","1","0","-73.988794999999996","40.693337999999997","Cre","24.899999999999999","0.5","0.5","6.4699999999999998","0","32.369999999999997","POINT (-73.86286 40.769093)","POINT (-73.988795 40.693338)"
"VTS","2010-09-09T20:15:00.000","2010-09-09T20:19:00.000","1","1.1299999999999999","-73.970907999999994","40.751635","1",,"-73.999151999999995","40.717542000000002","CRD","4.9000000000000004","0.5","0.5","2","0","7.9000000000000004","POINT (-73.970908 40.751635)","POINT (-73.999152 40.717542)"
"CMT","2010-05-11T14:27:10.000","2010-05-11T14:40:37.000","1","3.5","-73.965169000000003","40.775114000000002","1","0","-74.002476000000001","40.752678000000003","Cas","10.5","0","0.5","0","0","11","POINT (-73.965169 40.775114)","POINT (-74.002476 40.752678)"
"CMT","2010-11-19T12:44:00.000","2010-11-19T12:59:05.000","1","1.3","-73.965778","40.774352999999998","1","N","-73.972768000000002","40.760002","CSH","8.9000000000000004","0","0.5","0","0","9.4000000000000004","POINT (-73.965778 40.774353)","POINT (-73.972768 40.760002)"
"VTS","2010-06-25T13:00:00.000","2010-06-26T00:00:00.000","5","0","0","0","1",,"-73.973844999999997","40.764353","CAS","2.5","0","0","0","0","2.5","POINT (0 0)","POINT (-73.973845 40.764353)"
"VTS","2010-02-14T01:38:00.000","2010-02-14T01:47:00.000","4","2.2999999999999998","-73.974727000000001","40.749963000000001","1",,"-73.978774999999999","40.724212000000001","CSH","7.7000000000000002","0.5","0.5","0","0","8.6999999999999993","POINT (-73.974727 40.749963)","POINT (-73.978775 40.724212)"
"CMT","2010-12-18T16:08:29.000","2010-12-18T16:28:58.000","2","5.0999999999999996","-73.983245999999994","40.741790999999999","1","N","-73.942181000000005","40.789637999999997","CSH","15.300000000000001","0","0.5","0","0","15.800000000000001","POINT (-73.983246 40.741791)","POINT (-73.942181 40.789638)"
