"location","request_date","requested_by","type_of_request","request_status","borough"
"199 St from Marion Ave to Webster Ave","2019-11-19T00:00:00.000","Community Board 7","One-way conversion","On-hold pending CB feedback","Bronx"
"Oliver Pl from Webster Ave to Decatur Ave","2019-11-19T00:00:00.000","Community Board 7","One-way conversion","On-hold pending CB feedback","Bronx"
"Anthony Ave from Mt. Hope Ave to E Tremont Ave","2020-09-20T00:00:00.000","NYPD","One-way conversion","Undergoing internal review by DOT","Bronx"
"W 238 St from Cannon Pl to Sedgwick Ave",,"Elected Official","One-way conversion","Undergoing internal review by DOT","Bronx"
"E 186 St from Washington Ave to Park Ave",,"Community Board 6","One-way reversal","Denied by NYCDOT","Bronx"
"Park Ave from E 144 St to E 149 St",,"FDNY","One-way conversion","Implemented on 05/11/2021","Bronx"
"E 167 St from Bryant Ave to Westchester Ave","2020-04-12T00:00:00.000","Initiated by NYCDOT","One-way conversion","On-hold pending CB feedback","Bronx"
"Bronx Blvd West from W 233 St to On-Ramp","2021-05-21T00:00:00.000","Initiated by NYCDOT","One-way conversion","Undergoing internal review by DOT","Bronx"
"Bronx Blvd West from On-Ramp to W 229 St","2021-05-21T00:00:00.000","Initiated by NYCDOT","Two-way conversion","Undergoing internal review by DOT","Bronx"
"99 St from 3 Ave to Shore Rd","2019-07-30T00:00:00.000","Initiated by NYCDOT","One-way reversal","On-hold pending CB feedback","Brooklyn"
"Mother Gaston Blvd from Dean St to Eastern Pkwy","2019-09-30T00:00:00.000","Initiated by NYCDOT","One-way conversion","Undergoing internal review by DOT","Brooklyn"
"59 St from 2 Ave to 3 Ave","2019-10-29T00:00:00.000","Initiated by NYCDOT","One-way reversal","Approved and awaiting implementation","Brooklyn"
"N 14 St from Kent Ave to Franklin St","2019-11-15T00:00:00.000","Initiated by NYCDOT","One-way conversion","Approved and awaiting implementation","Brooklyn"
"Brighton 11 St from Brighton Beach Blvd to Cass Pl","2019-12-30T00:00:00.000","Elected Official","One-way conversion","Denied by NYCDOT","Brooklyn"
"Water St from Water to Old Fulton Street","2020-01-03T00:00:00.000","Community Board 2","One-way conversion","Changes implemented","Brooklyn"
"Pacific St from 6 Ave to Carlton Ave","2020-01-13T00:00:00.000","Community Board 8","One-way conversion","On-hold due to long term construction","Brooklyn"
"Banker St from Calyer St to Meserole Ave","2020-06-09T00:00:00.000","Initiated by NYCDOT","One-way reversal","On-hold pending CB feedback","Brooklyn"
"Sterling Pl from Howard Ave to Saratoga Ave","2019-09-17T00:00:00.000","FDNY","One-way reversal","Denied by NYCDOT; found alternate solution","Brooklyn"
"Madison Pl from Nostrand Ave to Ave P","2020-09-30T00:00:00.000","Initiated by NYCDOT","One-way reversal","On-hold pending CB feedback","Brooklyn"
"7 Ave & 8 Ave from 39 St to 65 St","2020-10-15T00:00:00.000","Initiated by NYCDOT","One-way conversions","On- hold pending community feedback","Brooklyn"
"20 St from 3 Ave to 10 Ave","2020-08-12T00:00:00.000","Initiated by NYCDOT","One-way conversion","Undergoing internal review by DOT","Brooklyn"
"Locust Ave from E 14 St to E 15 St","2021-01-15T00:00:00.000","Initiated by NYCDOT","One-way conversion","Undergoing internal review by DOT","Brooklyn"
"60 St from 4 Ave to 2 Ave","2021-01-22T00:00:00.000","Community Board 7","One-way conversion","Awaiting results of EDC traffic study","Brooklyn"
"Riverside Dr from W 156 St to W 158 St","2019-07-05T00:00:00.000","Initiated by NYCDOT","One-way conversion","On-hold pending CB feedback","Manhattan"
"Riverside Dr from Riverside Dr West to W 158 St","2019-07-05T00:00:00.000","Initiated by NYCDOT","One-way conversion","On-hold pending CB feedback","Manhattan"
"Morningside Dr from W 121 St to Amsterdam Ave","2019-09-11T00:00:00.000","NYPD","One-way conversion","Denied by NYCDOT","Manhattan"
"Cabrini Blvd from W 190 St to Margret Corbin Circle","2019-10-17T00:00:00.000","Community Board 12","One-way reversal","Denied by NYCDOT","Manhattan"
"W 190 St from Fort Washington Ave to Cabrini Blvd","2019-10-17T00:00:00.000","Community Board 12","One-way conversion","Denied by NYCDOT","Manhattan"
"Orchard St from Canal St to Division St","2020-03-12T00:00:00.000","Property owner/developer","One-way reversal","On-hold pending CB feedback","Manhattan"
"University Pl from E. 12th St to E. 13th St","2019-12-05T00:00:00.000","Initiated by NYCDOT","One-way reversal","Undergoing internal review by DOT","Manhattan"
"59 St from 5 Ave to Grand Army Plaza","2020-04-27T00:00:00.000","Initiated by NYCDOT","One-way conversion","On-hold pending CB feedback","Manhattan"
"W 33 St from Park Ave to 7 Ave","2020-05-28T00:00:00.000","Initiated by NYCDOT","One-way reversal","Undergoing internal review by DOT","Manhattan"
"Park Pl from Church St to Broadway","2020-11-09T00:00:00.000","Elected Official","One-way conversion","Denied by NYCDOT; other street design actions taken","Manhattan"
"Convent Ave from W 151 St to W 150 St","2021-01-04T00:00:00.000","NYPD","One-way conversion","Undergoing internal review by DOT","Manhattan"
"W 138 St from Hamilton Pl to Broadway","2021-06-05T00:00:00.000","Initiated by NYCDOT","One-way conversion","On-hold pending CB feedback","Manhattan"
"Poyer St from Cornish Ave to Corona Ave","2019-07-25T00:00:00.000","Community Board 4","One-way conversion","On-hold pending CB feedback","Queens"
"149 Rd from Rockaway Blvd to Guy R Brewer Blvd","2019-09-24T00:00:00.000","NYSDOT","One-way conversion","Denied by NYCDOT","Queens"
"54 Ave and 54 Rd between Laurel Hill Blvd and 43 St","2019-09-24T00:00:00.000","Initiated by NYCDOT","One-way conversion","On-hold due to COVID","Queens"
"258 St from Union Tpke to 83 Ave","2019-10-10T00:00:00.000","Elected Official","One-way conversion","Denied by NYCDOT","Queens"
"Crescent St from 30 Ave to Newtown Ave","2019-10-25T00:00:00.000","Initiated by NYCDOT","One-way conversion","Approved and awaiting implementation","Queens"
"Henderson Ave/183rd Pl","2019-11-12T00:00:00.000","Elected Official","One-way conversion","Denied by NYCDOT","Queens"
"41 Dr from Little Neck Pkwy to Westmoreland St","2019-11-13T00:00:00.000","Community Board 11","One-way conversion","On-hold pending CB feedback","Queens"
"43 Ave from Little Neck Pkwy to Westmoreland St","2019-11-13T00:00:00.000","Community Board 11","One-way conversion","On-hold pending CB feedback","Queens"
"214 Pl from 35 Ave to 34 Ave","2019-11-29T00:00:00.000","Initiated by NYCDOT","One-way conversion","Undergoing internal review by DOT","Queens"
