"dbn","district","school_name","is_org_split_sited","building_id_s","transfer_school","total_enrollment","grades_3k_5_enrollment","grades_6_8_enrollment","grades_9_12_enrollment","asian","black","hispanic","multiracial","native_american","white","missing_race_ethnicity_data","swd","ell","poverty","_2018_19_ela_tested","_2018_19_ela_proficient_l3","_2018_19_ela_proficient_l3_1","_2018_19_math_tested","_2018_19_math_proficient","_2018_19_math_proficient_1","_2019_20_total_4_year_august","_2019_20_4_year_august","_2019_20_total_6_year_grad","_2019_20_6_year_graduates"
"01M015","1","P.S. 015 Roberto Clemente",,"M015","false","193","193","0","0","0.135","0.275","0.528","0.005","0.0","0.057","0.0","0.223","0.109","0.819","70","42","60.0%","70","46","65.7%",,,,
"01M063","1","The STAR Academy - P.S.63",,"M063","false","208","208","0","0","0.029","0.192","0.635","0.034","0.005","0.091","0.014","0.279","0.014","0.769","79","35","44.3%","78","25","32.1%",,,,
"01M064","1","P.S. 064 Robert Simon",,"M064","false","220","220","0","0","0.032","0.182","0.727","0.009","0.005","0.041","0.005","0.264","0.018","0.914","81","40","49.4%","81","35","43.2%",,,,
"01M142","1","P.S. 142 Amalia Castro",,"M142","false","317","317","0","0","0.003","0.18","0.763","0.006","0.016","0.022","0.009","0.284","0.066","0.946","104","44","42.3%","98","37","37.8%",,,,
"01M188","1","P.S. 188 The Island School",,"M188","false","370","215","155","0","0.038","0.324","0.597","0.005","0.005","0.03","0.0","0.332","0.086","0.954","269","67","24.9%","219","69","31.5%",,,,
"01M292","1","Orchard Collegiate Academy",,"M056","false","296","0","0","296","0.101","0.253","0.588","0.003","0.02","0.01","0.024","0.274","0.074","0.764",,,,,,,"31","93.5%","29","96.6%"
"01M315","1","The East Village Community School",,"M061","false","297","297","0","0","0.111","0.04","0.259","0.064","0.003","0.522","0.0","0.168","0.013","0.32","112","69","61.6%","111","74","66.7%",,,,
"01M332","1","University Neighborhood Middle School",,"M056","false","207","0","207","0","0.053","0.198","0.643","0.0","0.005","0.101","0.0","0.425","0.039","0.792","175","55","31.4%","173","22","12.7%",,,,
"01M361","1","The Children's Workshop School",,"M061","false","304","304","0","0","0.109","0.099","0.388","0.076","0.007","0.319","0.003","0.23","0.039","0.52","95","55","57.9%","95","46","48.4%",,,,
"01M363","1","Neighborhood School",,"M063","false","270","270","0","0","0.07","0.119","0.348","0.085","0.004","0.374","0.0","0.23","0.015","0.437","27","10","37.0%","27","9","33.3%",,,,
