"origid","name","address","borough","zipcode","facility_type","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"52-3106-01","NYC Department of Education","65 COURT ST","BROOKLYN","11201","Radioactive Materials","40.692012","-73.991227","302","33","36047000900","3002557","3002660020","BK09"
"40540850","GREENSPAN BRIAN DDS","1655 55 STREET","BROOKLYN","11204","Dental X-Ray","40.626889","-73.987687","312","44","36047047000","3130500","3054850065","BK88"
"50034527","BRIAN GREENSPAN DDS PC","1655 55TH ST","BROOKLYN","11204","Dental CBCT X-Ray","40.626889","-73.987687","312","44","36047047000","3130500","3054850065","BK88"
"50074073","NYU SCHOOL OF MEDICINE","1300 AVENUE P","BROOKLYN","11229","Hospital X-Ray","40.609958","-73.960260","315","48","36047055400","3182372","3067760001","BK25"
"40498136","KRIETCHMAN RAYMOND S. DD","1302 81 ST ST.","BROOKLYN","11228","Dental X-Ray","40.616681","-74.010604","310","43","36047015000","3163596","3062920006","BK30"
"50079268","NYU SCHOOL OF MEDICINE/ENVIRONMENTAL PEDIATRICS","5610 2ND AVE RM 113","BROOKLYN","11220","Non-Hospital X-Ray","40.645615","-74.020554","307","38","36047002200","3398930","3008360030","BK32"
"40501918","DOUECK JACQUES DDS","563 KINGS HIGHWAY","BROOKLYN","11223","Dental X-Ray","40.604721","-73.968546","315","44","36047042200","3177382","3066610042","BK25"
"40500516","HIRSCH J. & SCHWARTZ R","2348 RALPH AVE","BROOKLYN","11234","Dental X-Ray","40.620582","-73.917384","318","46","36047069000","3336930","3078840065","BK58"
"50091685","SKYLINE DENTAL PARTNERS PLLC","2348 RALPH AVE","BROOKLYN","11234","Dental X-Ray","40.620582","-73.917384","318","46","36047069000","3336930","3078840065","BK58"
"50046422","LENOX HILL RADIOLOGY & MEDICAL IMAGINE ASSOCIATES PC","1014 BROOKLYN AVE","BROOKLYN","11203","Non-Hospital X-Ray","40.648886","-73.943573","317","45","36047085600","3110192","3049060013","BK91"
"41037046","CHARNOFF DANIEL - MD & W","2985 QUENTIN ROAD","BROOKLYN","11229","Non-Hospital X-Ray","40.611402","-73.941819","318","46","36047064400","3212048","3077020009","BK45"
"41217328","ROSENKRANZ ROBERT - DDS P","300 8 AVENUE","BROOKLYN","11215","Dental X-Ray","40.669288","-73.976284","306","39","36047015500","3025434","3010800035","BK37"
"50079147","ROBERT ROSENKRANZ DDS PC","300 8TH AVE BSMT","BROOKLYN","11215","Dental CBCT X-Ray","40.669288","-73.976284","306","39","36047015500","3025434","3010800035","BK37"
"40497484","BRUCE J LISH DDS PLLC","7224 AVENUE T","BROOKLYN","11234","Dental X-Ray","40.621920","-73.908154","318","46","36047070000","3237406","3084130041","BK45"
"50086514","CITY MEDICAL OF UPPER EAST SIDE PLLC","874 FLATBUSH AVE","BROOKLYN","11226","Non-Hospital X-Ray","40.650797","-73.958827","314","40","36047050801","3116592","3050820047","BK42"
"40608123","BAKMAN VALENTIN - DDS","1505 GRAVESAND NECK ROAD","BROOKLYN","11229","Dental X-Ray","40.594896","-73.955462","315","48","36047058600","3200794","3073760059","BK17"
"50058220","SUNSET PARK HEALTH COUNCIL INC","309 47TH ST","BROOKLYN","11220","Dental X-Ray","40.649042","-74.012289","307","38","36047008000","3011821","3007550022","BK32"
"41595579","JOSEPH ADDABBO FAMILY HEALTH CENTER INC.","120 RICHARDS STREET 2ND FLOOR","BROOKLYN","11231","Dental X-Ray","40.677824","-74.009644","306","38","36047005300","3008506","3005460033","BK33"
"40957890","DR. JOHNSON ALPHEIA","999 FULTON STREET","BROOKLYN","11238","Dental X-Ray","40.682663","-73.962935","302","35","36047020100","3056736","3019800161","BK69"
"50081746","LIFE VETERINARY CLINIC PC","1087 FLUSHING AVE","BROOKLYN","11237","Veterinary X-Ray","40.704819","-73.928504","301","34","36047045300","3070752","3030140014","BK77"
"41608252","SARJI JIM - DDS","443 9 STREET","BROOKLYN","11215","Dental X-Ray","40.666657","-73.981079","306","39","36047015300","3025917","3010900072","BK37"
"41149104","FRIEDMAN ALAN - DDS","3103 AVENUE N 1ST FLOOR","BROOKLYN","11210","Dental X-Ray","40.617346","-73.943935","318","45","36047074600","3210382","3076670008","BK58"
