"accession","artwork_title","artist_lastname","artist_firstname","medium","artwork_year","dimension","bldgid","school_name","borough"
"11000","ROOF PROMENADE SCULPTURE","NIVOLA","COSTANTINO","CONCRETE","1968-01-01T00:00:00.000",,"M470","LOUIS D. BRANDEIS HS - MANHATTAN","MANHATTAN"
"11001","RELIEF PANELS","NIVOLA","COSTANTINO","CONCRETE","1965-01-01T00:00:00.000",,"M470","LOUIS D. BRANDEIS HS - MANHATTAN","MANHATTAN"
"11003","""SCULPTURED PANELS""","NIVOLA","COSTANTINO","CONCRETE","1956-01-01T00:00:00.000",,"M013","I.S. 13 - MANHATTAN","MANHATTAN"
"11005","THE LIFE OF SAMUEL DICKSTEIN","GUARDUCCI","OTELLO","CAST STONE","1967-01-01T00:00:00.000",,"M056","J.H.S. 56 - MANHATTAN","MANHATTAN"
"11006","CITY OF MANHATTAN","MATT","JOHN","BRONZE","1965-01-01T00:00:00.000",,"M070","I.S. 70 - MANHATTAN","MANHATTAN"
"11007","BRONZE SCULPTURES","HASTINGS","JACK","BRONZE","1965-01-01T00:00:00.000",,"M501","ARTHUR SCHOMBURG HS (IS 201) - M","MANHATTAN"
"11008","MARTIN LUTHER KING, JR. MEMORIAL","TARR","WILLIAM","STEEL, WEATHERING","1973-01-01T00:00:00.000",,"M490","""MARTIN LUTHER KING","399"
"17009","""POTTERY""","TERKEN","JOHN","METAL PAINTED","1978-01-01T00:00:00.000",,"X722","P.S. 721 (OTC) - BRONX","BRONX"
"11010","SUN, BIRDS, AND LIGHT/ EAGLE","LUX","GWEN","MOSAIC","1959-01-01T00:00:00.000",,"M019","P.S. 19 - MANHATTAN","MANHATTAN"
"11010","SUN, BIRDS, AND LIGHT/ EAGLE","LUX","GWEN","GLASS","1959-01-01T00:00:00.000",,"M019","P.S. 19 - MANHATTAN","MANHATTAN"
"11010","SUN, BIRDS, AND LIGHT/ EAGLE","LUX","GWEN","STEEL","1959-01-01T00:00:00.000",,"M019","P.S. 19 - MANHATTAN","MANHATTAN"
"11011","THE WINDOW","GUARDUCCI","OTELLO","CONCRETE","1967-01-01T00:00:00.000",,"M030","P.S. 30 - MANHATTAN","MANHATTAN"
"11012","FABLES OF LA FONTAINE","CALLERY","MARY","STEEL, PAINTED","1954-01-01T00:00:00.000",,"M034","P.S. 34 - MANHATTAN","MANHATTAN"
"11013","LETTERS","TARR","WILLIAM","STEEL, WEATHERING","1967-01-01T00:00:00.000",,"K329","P.S. 329 - BROOKLYN","BROOKLYN"
"11015","MORNINGSIDE HEIGHTS","TARR","WILLIAM","STEEL, WEATHERING",,,"M036","P.S. 36 - MANHATTAN","MANHATTAN"
"11016","FRANKLIN STATUE (BENJAMIN)","PLASSMANN","ERNST","BRONZE","1872-01-01T00:00:00.000",,"M625","HS OF GRAPHIC COMMUNICATION ARTS-M","MANHATTAN"
"11017","GUTENBERG STATUE (JOHANNES)","PLASSMANN","ERNST","BRONZE",,,"M625","HS OF GRAPHIC COMMUNICATION ARTS-M","MANHATTAN"
"11018","SCHOOL ACTIVITIES","SPAMPINATO","CLEMENTE","ALUMINUM","1957-01-01T00:00:00.000",,"M002","P.S. 2 - MANHATTAN","MANHATTAN"
"11019","DANCE, TENNIS, BASKETBALL","HORN","MILTON","MAHAGONY","1936-01-01T00:00:00.000",,"M445","SEWARD PARK HS - MANHATTAN","MANHATTAN"
"11021","THE LEGEND OF SLEEPY HOLLOW","GRIMES","FRANCES","PLASTER","1915-01-01T00:00:00.000",,"M460","WASHINGTON IRVING HS - MANHATTAN","MANHATTAN"
"11022","IRVING BAS-RELIEF (WASHINGTON)","BRENNER","VICTOR","BRONZE","1912-01-01T00:00:00.000",,"M460","WASHINGTON IRVING HS - MANHATTAN","MANHATTAN"
"11023","LINCOLN TABLET (ABRAHAM)","BRENNER","VICTOR","BRONZE","1915-01-01T00:00:00.000",,"M460","WASHINGTON IRVING HS - MANHATTAN","MANHATTAN"
"11100","UNTITLED","STEKEL","JORDAN","PLASTER, PAINTED",,,"Q410","BEACH CHANNEL HS - Q","QUEENS"
"11100","UNTITLED","STEKEL","JORDAN","PLYWOOD",,,"Q410","BEACH CHANNEL HS - Q","QUEENS"
"11100","UNTITLED","STEKEL","JORDAN","METAL",,,"Q410","BEACH CHANNEL HS - Q","QUEENS"
"11102","UNTITLED (HEXAGONAL SCULPTURE)","RAIMIREZ","EDUARDO","ALUMINUM, PAINTED, EPOXY","1973-01-01T00:00:00.000",,"Q410","BEACH CHANNEL HS - Q","QUEENS"
"11103","INDIAN & SETTLERS","ANONYMOUS",,"PLASTER",,,"X063","P.S. 63 - BRONX","BRONX"
"11104","GIRL WITH FAWN","SCARAVAGLIONE","CONCETTA","CAST STONE",,,"Q445","WILLIAM C. BRYANT HS - Q","QUEENS"
