"unique_id","publish_date","site_id","status","ppt_id","address","city","state","zip","boro","latitude","longitude","cross_street_1","cross_street_2","corner","install_date","active_date","wifi_status","tablet_status","phone_status","community_board","council_district","census_tract","nta","nta_name"
"20181120_041521.mn-04-134489","2018-11-20T04:15:21.000","mn-04-134489","Link Active!","134489","699 6 AVENUE","New York","NY","10011","Manhattan","40.74254842","-73.99320916","WEST 22 STREET","WEST 23 STREET","Midblock","2017-10-07T00:00:00.000","2018-03-06T00:00:00.000","up","up","up","4","3","91","MN13","Hudson Yards-Chelsea-Flatiron-Union Square"
"20181120_041521.si-03-125464","2018-11-20T04:15:21.000","si-03-125464","Link Active!","125464","285 MILL ROAD","New York","NY","10306","Staten Island","40.56175506","-74.11216061","TYSENS LANE","ISERNIA AVENUE","NW","2016-12-20T00:00:00.000","2017-01-25T00:00:00.000","up","up","up","3","50","12806","SI25","Oakwood-Oakwood Beach"
"20181120_041521.mn-07-120400","2018-11-20T04:15:21.000","mn-07-120400","Link Active!","120400","2820 BROADWAY","New York","NY","10025","Manhattan","40.803579","-73.966917","WEST 109 STREET","WEST 110 STREET","NE","2016-06-17T00:00:00.000","2016-06-29T00:00:00.000","up","up","up","7","7","195","MN09","Morningside Heights"
"20181120_041521.mn-05-108001","2018-11-20T04:15:21.000","mn-05-108001","Link Active!","108001","66 WEST 21 STREET","New York","NY","10010","Manhattan","40.74150205","-73.9935926","6 AVENUE","5 AVENUE","SE","2018-04-14T00:00:00.000","2018-05-21T00:00:00.000","up","up","up","5","3","54","MN13","Hudson Yards-Chelsea-Flatiron-Union Square"
"20181120_041521.bx-04-119152","2018-11-20T04:15:21.000","bx-04-119152","Link Active!","119152","1211 GRANDVIEW PLACE","New York","NY","10452","Bronx","40.8349041575827","-73.91822589547644","EAST 167 STREET","EAST 168 STREET","NW","2018-03-19T00:00:00.000","2018-07-02T00:00:00.000","up","up","up","4","16","197","BX63","West Concourse"
"20181120_041521.mn-07-133518","2018-11-20T04:15:21.000","mn-07-133518","Link Active!","133518_133519","10 WEST 61 STREET","New York","NY","10023","Manhattan","40.76983868","-73.98250198","BROADWAY","COLUMBUS AVENUE","SW","2016-04-30T00:00:00.000","2016-09-30T00:00:00.000","up","up","up","7","3","145","MN14","Lincoln Square"
"20181120_041521.qu-01-142694","2018-11-20T04:15:21.000","qu-01-142694","Link Active!","142694","21-34 BROADWAY","New York","NY","11106","Queens","40.76453793","-73.93059918","23 STREET","21 STREET","SW","2017-03-25T00:00:00.000","2017-05-18T00:00:00.000","up","up","up","1","22","45","QN70","Astoria"
"20181120_041521.mn-07-120513","2018-11-20T04:15:21.000","mn-07-120513","Link Active!","120513_120514","230 WEST 97 STREET","New York","NY","10025","Manhattan","40.795171","-73.971048","BROADWAY","AMSTERDAM AVENUE","SE","2016-05-27T00:00:00.000","2016-07-08T00:00:00.000","up","up","up","7","7","183","MN12","Upper West Side"
"20181120_041521.mn-06-121733","2018-11-20T04:15:21.000","mn-06-121733","Link Active!","121733_121860","950 3 AVENUE","New York","NY","10022","Manhattan","40.76013485","-73.9677744","EAST 57 STREET","EAST 56 STREET","SW","2016-02-27T00:00:00.000","2016-03-18T00:00:00.000","up","up","up","6","4","11203","MN19","Turtle Bay-East Midtown"
"20181120_041521.mn-05-108039","2018-11-20T04:15:21.000","mn-05-108039","Link Active!","108039","1149 BROADWAY","New York","NY","10001","Manhattan","40.74424305","-73.98901592","WEST 27 STREET","WEST 26 STREET","NW","2016-10-01T00:00:00.000","2016-11-08T00:00:00.000","up","up","up","5","3","58","MN13","Hudson Yards-Chelsea-Flatiron-Union Square"
