"event_id","event_name","start_date_time","end_date_time","event_agency","event_type","event_borough","event_location","event_street_side","street_closure_type","community_board","police_precinct"
"368421","Big Apple Circus","2017-11-18T19:00:00.000","2017-11-18T20:00:00.000","Parks Department","Special Event","Manhattan","Damrosch Park: Damrosch Park ,Damrosch Park: Tent Area ,Damrosch Park: Tent Area ,Damrosch Park: Bandshell ",,"N/A","7, ","20, "
"330050","Mt. Eden Farmer's Market","2017-11-16T08:00:00.000","2017-11-16T16:00:00.000","Parks Department","Special Event","Bronx","Mount Eden Malls: Mount Eden Malls ",,"N/A","4, ","44, "
"314111","Columbia  Greenmarket Thursday","2017-11-21T08:00:00.000","2017-11-21T17:00:00.000","Street Activity Permit Office","Farmers Market","Manhattan"," BROADWAY between WEST  114 STREET and WEST  116 STREET","East","Sidewalk and Curb Lane Closure ","9, ","26, "
"369850","Lawn Maintenance","2017-11-23T00:00:00.000","2017-11-23T23:58:00.000","Parks Department","Construction","Manhattan","Madison Square Park: Center Lawn ",,"N/A","5, ","13, "
"335783","October, November December model aircraft flying","2017-11-22T09:00:00.000","2017-11-22T20:00:00.000","Parks Department","Special Event","Staten Island","LaTourette Park & Golf Course: Model Airplane Field ",,"N/A","2, ","122, "
"369858","Lawn Maintenance","2017-12-06T00:00:00.000","2017-12-06T23:58:00.000","Parks Department","Construction","Manhattan","Madison Square Park: Dogwood / 25th St Lawn North ",,"N/A","5, ","13, "
"363387","Crab Apple Grove LAWN CLOSURE","2017-11-18T00:00:00.000","2017-11-18T23:59:00.000","Parks Department","Construction","Manhattan","Riverside Park: Crab Apple Grove-RSP ",,"N/A","7, ","24, "
"375193","Build a Wigwam","2017-11-17T09:00:00.000","2017-11-17T14:00:00.000","Parks Department","Special Event","Brooklyn","Dimattina Playground: Dimattina Ballfield ",,"N/A","6, ","76, "
"369134","Tinkergarten class","2017-11-12T10:00:00.000","2017-11-12T11:15:00.000","Parks Department","Special Event","Staten Island","Willowbrook Park: Carousel Lawn ",,"N/A","2, ","122, "
"375525","East Meadow Winter CLosure","2017-11-30T00:00:00.000","2017-11-30T23:59:00.000","Parks Department","Construction","Manhattan","Central Park: East Meadow ",,"N/A","64, ","22, "
"379294","2017 World Day of Remembrance","2017-11-19T12:00:00.000","2017-11-19T14:00:00.000","Parks Department","Special Event","Manhattan","City Hall Park: Broadway Sidewalk ",,"N/A","1, ","1, "
"330050","Mt. Eden Farmer's Market","2017-11-23T08:00:00.000","2017-11-23T16:00:00.000","Parks Department","Special Event","Bronx","Mount Eden Malls: Mount Eden Malls ",,"N/A","4, ","44, "
"358358","Rain Date - PS 60 Turkey Trot 2017","2017-11-10T09:00:00.000","2017-11-10T12:00:00.000","Parks Department","Special Event","Queens","Forest Park: Forest Park Drive (Race) ",,"N/A","82, ","102, "
"325179","Sunset Park BID Sidewalk Sales","2017-11-26T11:00:00.000","2017-11-26T18:00:00.000","Street Activity Permit Office","Sidewalk Sale","Brooklyn"," 5 AVENUE between 38 STREET and 64 STREET","Both","Partial Sidewalk Closure ","7, ","72, "
"365144","Flying Radio Controled Model Planes at field","2017-11-14T08:00:00.000","2017-11-14T19:00:00.000","Parks Department","Special Event","Brooklyn","Marine Park: Hobby Field ",,"N/A","18, ","63, "
"348958","Van Cortlandt - Cross Country Wed","2017-11-29T13:00:00.000","2017-11-29T18:00:00.000","Parks Department","Special Event","Bronx","Van Cortlandt Park: Cross Country Parade Ground Broadway 1 ",,"N/A","26, ","50, "
"376700","OCTOBER SYNTHETIC TURF CARE","2017-11-10T06:00:00.000","2017-11-10T15:00:00.000","Parks Department","Construction","Queens","Grover Cleveland Playground: Soccer-01 ,Grover Cleveland Playground: Soccer-02 ,Murray Playground: Soccer-01 ,Murray Playground: Soccer-02 ,Big Bush Park: Soccer-01 ,Hinton Park: Baseball-01 ,Hinton Park: Softball-02 ,Rockaway Beach Boardwalk: Football-01 ,Flushing Meadows Corona Park: Soccer-04 ,Flushing Meadows Corona Park: Soccer-05 ,Flushing Meadows Corona Park: Soccer-06 ,Kissena Corridor West: Rachel Carson Plgd-Multi Purpose Play Area-01 ,Flushing Meadows Corona Park: Soccer-01 ,Flushing ",,"N/A","01, 02, 03, 05, 07, 10, 12, 13, 14, 2, 81, 82, ","101, 102, 103, 104, 105, 106, 108, 109, 110, 114, 115, "
"380988","Albanian Independence Flag Raising","2017-11-26T14:00:00.000","2017-11-26T15:00:00.000","Parks Department","Special Event","Staten Island","Franklin D Roosevelt Boardwalk and Beach: Parking Lot 8 Lincoln Avenue - BBQ Area ",,"N/A","95, ","122, "
"376356","Billy Johnson Playground Lawn reconstruction","2017-11-20T00:00:00.000","2017-11-20T23:00:00.000","Parks Department","Construction","Manhattan","Central Park: Johnson Playground Lawns ",,"N/A","64, ","22, "
"314119","Forest Hills Greenmarket Sunday","2017-11-12T08:00:00.000","2017-11-12T17:00:00.000","Street Activity Permit Office","Farmers Market","Queens"," QUEENS BOULEVARD between 70 AVENUE and 69 ROAD","South","Sidewalk and Curb Lane Closure ","6, ","112, "
"330659","West Dalehead Arch Landscape Restoration","2017-11-16T00:00:00.000","2017-11-16T23:59:00.000","Parks Department","Construction","Manhattan","Central Park: West Dalehead Arch ",,"N/A","64, ","22, "
"317527","Miscellaneous","2017-12-08T08:00:00.000","2017-12-08T20:00:00.000","Parks Department","Special Event","Manhattan","Union Square Park: Gandhi Statue ,Union Square Park: South Plaza ,Union Square Park: North Plaza ",,"N/A","5, ","13, "
"338048","Radio Control Airplanes","2017-11-21T08:00:00.000","2017-11-21T14:00:00.000","Parks Department","Special Event","Bronx","Ferry Point Park: Ferry Point Park ",,"N/A","10, ","45, "
"369846","Lawn Maintenance","2017-12-05T00:00:00.000","2017-12-05T23:58:00.000","Parks Department","Construction","Manhattan","Madison Square Park: Farragut Lawn ",,"N/A","5, ","13, "
"379630","Miscellaneous","2017-11-22T09:00:00.000","2017-11-22T10:00:00.000","Parks Department","Special Event","Manhattan","J. Hood Wright Park: Recreation Center Sitting Area ",,"N/A","12, ","33, "
"318106","Old Cathedral Outdoor Market","2017-12-01T10:00:00.000","2017-12-01T19:00:00.000","Street Activity Permit Office","Sidewalk Sale","Manhattan"," PRINCE STREET between MOTT STREET and MULBERRY STREET","North","Sidewalk and Street Closure ","2, ","5, "
"338048","Radio Control Airplanes","2017-11-08T08:00:00.000","2017-11-08T14:00:00.000","Parks Department","Special Event","Bronx","Ferry Point Park: Ferry Point Park ",,"N/A","10, ","45, "
"349643","Jackson Heights Relocated Greenmarket","2017-12-03T08:00:00.000","2017-12-03T17:00:00.000","Street Activity Permit Office","Farmers Market","Queens"," 79 STREET between NORTHERN BOULEVARD and 34 AVENUE","East","Sidewalk and Curb Lane Closure ","3, ","115, "
"381179","Pilgrim Hill Winter Closure until April 7, 2018","2017-12-06T00:00:00.000","2017-12-06T23:59:00.000","Parks Department","Construction","Manhattan","Central Park: Pilgrim Hill ",,"N/A","64, ","22, "
"380390","New York Sorta Marathon","2017-11-12T09:00:00.000","2017-11-12T12:00:00.000","Police Department","Parade","Brooklyn"," UNION AVENUE between DRIGGS AVENUE and NORTH   12 STREET,  UNION AVENUE between NORTH   12 STREET and DRIGGS AVENUE,  UNION AVENUE between DRIGGS AVENUE and NORTH   12 STREET","Full","Full Street Closure ","1, ","94, "
"315096","East 67th Street Market","2017-12-02T06:00:00.000","2017-12-02T17:00:00.000","Street Activity Permit Office","Farmers Market","Manhattan","408 EAST   67 STREET between YORK AVENUE and FIRST AVENUE","South","Partial Sidewalk Closure ","8, ","19, "
"358771","Staten Island Athletic Club Fun Run","2017-11-14T09:00:00.000","2017-11-14T11:00:00.000","Parks Department","Special Event","Staten Island","Clove Lakes Park: Trails Clove Lakes ",,"N/A","1, ","120, "
"374769","Miscellaneous","2017-12-08T07:00:00.000","2017-12-08T23:59:00.000","Parks Department","Construction","Manhattan","East River Park: Soccer-01 ,East River Park: Track-01 ",,"N/A","03, ","9, "
"330659","West Dalehead Arch Landscape Restoration","2017-12-02T00:00:00.000","2017-12-02T23:59:00.000","Parks Department","Construction","Manhattan","Central Park: West Dalehead Arch ",,"N/A","64, ","22, "
"370423","Bike Safety Classes","2017-12-03T11:00:00.000","2017-12-03T16:00:00.000","Parks Department","Special Event","Brooklyn","McCarren Park: McCarren Park ",,"N/A","1, ","94, "
"374185","NYRR Open Run - Canarsie Park","2017-11-18T08:00:00.000","2017-11-18T09:00:00.000","Parks Department","Special Event","Brooklyn","Canarsie Park: Canarsie Park ",,"N/A","18, ","75, "
"335206","Juggling","2017-11-27T12:00:00.000","2017-11-27T13:00:00.000","Parks Department","Special Event","Manhattan","Bryant Park: Bryant Park ",,"N/A","5, ","14, "
"364491","CULTURAL ART ENGAGEMENT","2017-11-28T09:00:00.000","2017-11-28T12:00:00.000","Parks Department","Special Event","Brooklyn","Howard Playground: Howard Playground ",,"N/A","16, ","73, "
"314120","Inwood Greenmarket Saturday","2017-11-18T08:00:00.000","2017-11-18T15:00:00.000","Street Activity Permit Office","Farmers Market","Manhattan"," ISHAM STREET between COOPER STREET and SEAMAN AVENUE","Both","Sidewalk and Curb Lane Closure ","12, ","34, "
"328754","Celebration","2017-12-05T14:00:00.000","2017-12-05T16:00:00.000","Parks Department","Special Event","Manhattan","Central Park: Ladies' Pavilion ",,"N/A","64, ","22, "
"334661","GallopNYC Therapeutic Horsemanship at Bowling Green","2017-11-15T09:00:00.000","2017-11-15T16:00:00.000","Parks Department","Special Event","Brooklyn","Parade Ground: Bowling Green Lawn ",,"N/A","14, ","70, "
