"the_geom","objectid_1","borocode","boroname","borocd","coundist","assemdist","stsendist","congdist","siteid","category","installati","address","geocodeadd","street","crossstree","borough","comdist","busroute","bid","latitude","longitude","ntaname","femafldz","femafldt","hrcevac","seatingtyp"
"POINT (-73.98384524707862 40.66433221370896)","444.0","3","Brooklyn","306","39","44","21","9","1921.0","General","2013-05-09T00:00:00.000","412 7th Avenue","412 7th Avenue","7th Avenue","13th & 14th Street","Brooklyn","306.0","B67","Not Applicable","40.6643322137","-73.9838452471","Park Slope","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKLESS 1.0"
"POINT (-73.98150878289019 40.67476959289031)","554.0","3","Brooklyn","306","39","52","25","7","1003.0","General","2013-01-17T00:00:00.000","249 Fifth Avenue","249 Fifth Avenue","5th Avenue","Garfield Street and Carroll Street","Brooklyn","306.0","B63","Fifth Avenue","40.6747695929","-73.9815087829","Park Slope","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKLESS 1.0"
"POINT (-73.97765557314123 40.72556926663563)","1999.0","1","Manhattan","103","2","74","27","12","1938.0","General","2013-07-23T00:00:00.000","157 Avenue C","155-157 Avenue C","Avenue C","9th & 10th Street","Manhattan","103.0","Not Applicable","Not Applicable","40.7255692666","-73.9776555731","East Village","AE",,"1","BACKED 1.0"
"POINT (-73.78932962160363 40.59289898540395)","2231.0","4","Queens","414","31","31","10","5","67.0","sbs","2019-02-05T00:00:00.000","219 Beach 59th St","219 Beach 59th St","Arverne Blvd","Beach 59th Street & Beach 62nd Street","Queens","55.0","q53",,"40.5928989854","-73.7893296216","Rockaway Beach-Arverne-Edgemere","AE",,"1","LEANING BAR"
"POINT (-73.89717766190195 40.862273157905065)","2162.0","2","Bronx","205","15","78","33","15","1194.0","BID","2012-10-22T00:00:00.000","South side Overpass at East Fordham Rd and Grand Concourse","40°51'44.5""N 73°53'49.8""W","East Fordham Road","Grand Concourse East and West","Bronx","205.0","Not Applicable","Fordham Road","40.8622731579","-73.8971776619","Fordham Heights","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKED 1.0"
"POINT (-73.8460384938789 40.68443498354895)","644.0","4","Queens","409","32","38","15","7","3946.0","Bus Route","2017-11-13T00:00:00.000","97-27 Woodhaven Blvd","97-27 Woodhaven Blvd","Woodhaven Blvd","101st Avenue & 97th Avenue","Queens","0.0","Q52","Not Applicable","40.6844349835","-73.8460384939","Ozone Park (North)","X","AREA OF MINIMAL FLOOD HAZARD","6","BACKED 2.0"
"POINT (-73.83073211043418 40.713445779655466)","891.0","4","Queens","409","29","28","14","6","2366.0","Senior Center","2014-02-10T00:00:00.000","80-02 Kew Gardens Road","80-02 Kew Gardens Road","80th Road","Queens Blvd & 80th Road","Queens","409.0","Not Applicable","Not Applicable","40.7134457797","-73.8307321104","Kew Gardens","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKED 1.0"
"POINT (-73.97667271489107 40.59666951319101)","68.0","3","Brooklyn","311","47","47","22","11","3095.0","General","2015-09-09T00:00:00.000","203 Avenue U","203 Avenue U","Avenue U","W 5th Street & W 6th Street","Brooklyn","311.0","Not Applicable","Not Applicable","40.5966695132","-73.9766727149","Gravesend (West)","X","AREA OF MINIMAL FLOOD HAZARD","5","BACKED 1.0"
"POINT (-73.84669383826188 40.68406237252198)","2198.0","4","Queens","409","32","23","15","7","35.0","SBS","2017-11-13T00:00:00.000","94-2 101st Avenue","94-2 101st Avenue","Woodhaven Boulevard","101st Avenue & 103rd Avenue","Queens","50.0","Q53",,"40.6840623725","-73.8466938383","Ozone Park (North)","X","AREA OF MINIMAL FLOOD HAZARD","6","LEANING BAR"
"POINT (-73.9557485633816 40.77452772983168)","1321.0","1","Manhattan","108","5","76","28","12","3688.0","Senior Safety","2017-08-03T00:00:00.000","245 E. 80th Street","245 E. 80th Street","E. 80th Street","2nd Avenue & 3rd Avenue","Manhattan","108.0","Not Applicable","Not Applicable","40.7745277298","-73.9557485634","Upper East Side-Yorkville","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKED 1.0"
"POINT (-73.94536087421963 40.83298180603014)","1664.0","1","Manhattan","112","7","71","31","13","3059.0","General","2015-02-05T00:00:00.000","3740 Broadway","3740 Broadway","Broadway","West 155th Street & West 156th Street","Manhattan","112.0","M4","Not Applicable","40.832981806","-73.9453608742","Washington Heights (South)","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKED 1.0"
"POINT (-73.70137372519845 40.738938019226396)","1035.0","4","Queens","413","23","33","11","3","2019.0","General","2013-10-29T00:00:00.000","267-17 Hillside Avenue","267-17 Hillside Avenue","Hillside Avenue","267th & 268th Street","Queens","413.0","Q43","Not Applicable","40.7389380192","-73.7013737252","Glen Oaks-Floral Park-New Hyde Park","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKLESS 1.0"
"POINT (-73.8185016046541 40.82116571575927)","1585.0","2","Bronx","210","13","82","34","14","3568.0","Bus Route","2017-02-04T00:00:00.000","3948 E Tremont Avenue","3948 E Tremont Avenue","E Tremont Avenue","Sampson Avenue & Cross Bronx Expwy","Bronx","210.0","BX40","Not Applicable","40.8211657158","-73.8185016047","Throgs Neck-Schuylerville","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKLESS 1.0"
"POINT (-73.93851047809216 40.80659305959722)","1500","1","Manhattan","111","9","68","30","13","2776.0","Municipal Facilities","2014-12-08T00:00:00.000","2005 Madison Avenue","91 East 127th Street","East 127th Street","East 127th Street & East 128th Street","Manhattan","111.0","Not Applicable","Not Applicable","40.8065930596","-73.9385104781","East Harlem (North)","X","AREA OF MINIMAL FLOOD HAZARD","5","BACKED 1.0"
