"development_name","borough","account_name","location","meter_amr","meter_scope","tds","edp","rc_code","funding_source","amp","vendor_name","umis_bill_id","revenue_month","service_start_date","service_end_date","days","meter_number","estimated","current_charges","rate_class","bill_analyzed","consumption_therms","es_commodity","underlying_utility"
"ALBANY II","BROOKLYN","ALBANY/ALBANY II","ALBANY II BLD 09","AMR",,"85","524","K008500","FEDERAL","NY005010310P","National Grid NYC","8566316","2020-01-01T00:00:00.000","2019-12-26T00:00:00.000","2020-01-27T00:00:00.000","32","904846","N","295.16","T1A TRAN RES N-Ht","Yes","399.45","UTILITY GAS","NatGrid NYC"
"ALBANY II","BROOKLYN","ALBANY/ALBANY II","ALBANY II BLD 09","AMR",,"85","524","K008500","FEDERAL","NY005010310P","National Grid NYC","8566316","2020-01-01T00:00:00.000","2019-12-26T00:00:00.000","2020-01-27T00:00:00.000","32","924103","N","71.11","T1A TRAN RES N-Ht","Yes","96.24","UTILITY GAS","NatGrid NYC"
"ALBANY","BROOKLYN","ALBANY/ALBANY II","ALBANY II BLD 07","AMR",,"31","524","K003100","FEDERAL","NY005010310P","National Grid NYC","8664879","2020-02-01T00:00:00.000","2020-01-27T00:00:00.000","2020-02-25T00:00:00.000","29","152644","N","276.07","T1A TRAN RES N-Ht","Yes","371.88","UTILITY GAS","NatGrid NYC"
"ALBANY","BROOKLYN","ALBANY/ALBANY II","ALBANY BLD 03","AMR",,"31","524","K003100","FEDERAL","NY005010310P","National Grid NYC","8664879","2020-02-01T00:00:00.000","2020-01-27T00:00:00.000","2020-02-25T00:00:00.000","29","379350","N","0.00","T1A TRAN RES N-Ht","Yes","0","UTILITY GAS","NatGrid NYC"
"ALBANY","BROOKLYN","ALBANY/ALBANY II","ALBANY BLD 04","AMR",,"31","524","K003100","FEDERAL","NY005010310P","National Grid NYC","8664879","2020-02-01T00:00:00.000","2020-01-27T00:00:00.000","2020-02-25T00:00:00.000","29","463027","N","93.82","T1A TRAN RES N-Ht","Yes","126.38","UTILITY GAS","NatGrid NYC"
"ALBANY","BROOKLYN","ALBANY/ALBANY II","ALBANY BLD 04","AMR",,"31","524","K003100","FEDERAL","NY005010310P","National Grid NYC","8664879","2020-02-01T00:00:00.000","2020-01-27T00:00:00.000","2020-02-25T00:00:00.000","29","897493","N","0.00","T1A TRAN RES N-Ht","Yes","0","UTILITY GAS","NatGrid NYC"
"ALBANY","BROOKLYN","ALBANY/ALBANY II","ALBANY BLD 05","AMR",,"31","524","K003100","FEDERAL","NY005010310P","National Grid NYC","8664879","2020-02-01T00:00:00.000","2020-01-27T00:00:00.000","2020-02-25T00:00:00.000","29","898438","N","72.28","T1A TRAN RES N-Ht","Yes","97.37","UTILITY GAS","NatGrid NYC"
"ALBANY","BROOKLYN","ALBANY/ALBANY II","ALBANY BLD 05","AMR",,"31","524","K003100","FEDERAL","NY005010310P","National Grid NYC","8664879","2020-02-01T00:00:00.000","2020-01-27T00:00:00.000","2020-02-25T00:00:00.000","29","4632187","N","264.54","T1A TRAN RES N-Ht","Yes","356.34","UTILITY GAS","NatGrid NYC"
"ALBANY","BROOKLYN","ALBANY/ALBANY II","ALBANY BLD 02","AMR",,"31","524","K003100","FEDERAL","NY005010310P","National Grid NYC","8664879","2020-02-01T00:00:00.000","2020-01-27T00:00:00.000","2020-02-25T00:00:00.000","29","5017528","N","151.50","T1A TRAN RES N-Ht","Yes","204.07","UTILITY GAS","NatGrid NYC"
"ALBANY","BROOKLYN","ALBANY/ALBANY II","ALBANY BLD 02","AMR",,"31","524","K003100","FEDERAL","NY005010310P","National Grid NYC","8664879","2020-02-01T00:00:00.000","2020-01-27T00:00:00.000","2020-02-25T00:00:00.000","29","5062736","N","213.79","T1A TRAN RES N-Ht","Yes","287.98","UTILITY GAS","NatGrid NYC"
"ALBANY","BROOKLYN","ALBANY/ALBANY II","ALBANY BLD 06","AMR",,"31","524","K003100","FEDERAL","NY005010310P","National Grid NYC","8664879","2020-02-01T00:00:00.000","2020-01-27T00:00:00.000","2020-02-25T00:00:00.000","29","5122117","N","79.98","T1A TRAN RES N-Ht","Yes","107.73","UTILITY GAS","NatGrid NYC"
"ALBANY","BROOKLYN","ALBANY/ALBANY II","ALBANY BLD 06","AMR",,"31","524","K003100","FEDERAL","NY005010310P","National Grid NYC","8664879","2020-02-01T00:00:00.000","2020-01-27T00:00:00.000","2020-02-25T00:00:00.000","29","5122121","N","253.01","T1A TRAN RES N-Ht","Yes","340.81","UTILITY GAS","NatGrid NYC"
"ALBANY","BROOKLYN","ALBANY/ALBANY II","ALBANY BLD 03","AMR",,"31","524","K003100","FEDERAL","NY005010310P","National Grid NYC","8664879","2020-02-01T00:00:00.000","2020-01-27T00:00:00.000","2020-02-25T00:00:00.000","29","5739544","N","380.66","T1A TRAN RES N-Ht","Yes","512.76","UTILITY GAS","NatGrid NYC"
"ALBANY","BROOKLYN","ALBANY/ALBANY II","ALBANY BLD 01","AMR",,"31","524","K003100","FEDERAL","NY005010310P","National Grid NYC","8664879","2020-02-01T00:00:00.000","2020-01-27T00:00:00.000","2020-02-25T00:00:00.000","29","6130391","N","0.00","T1A TRAN RES N-Ht","Yes","0","UTILITY GAS","NatGrid NYC"
"ALBANY","BROOKLYN","ALBANY/ALBANY II","ALBANY BLD 01","AMR",,"31","524","K003100","FEDERAL","NY005010310P","National Grid NYC","8664879","2020-02-01T00:00:00.000","2020-01-27T00:00:00.000","2020-02-25T00:00:00.000","29","6591591","N","339.90","T1A TRAN RES N-Ht","Yes","457.86","UTILITY GAS","NatGrid NYC"
"ALBANY II","BROOKLYN","ALBANY/ALBANY II","ALBANY II BLD 07","AMR",,"85","524","K008500","FEDERAL","NY005010310P","National Grid NYC","8664879","2020-02-01T00:00:00.000","2020-01-27T00:00:00.000","2020-02-25T00:00:00.000","29","152643","N","93.82","T1A TRAN RES N-Ht","Yes","126.38","UTILITY GAS","NatGrid NYC"
"ALBANY II","BROOKLYN","ALBANY/ALBANY II","ALBANY II BLD 08","AMR",,"85","524","K008500","FEDERAL","NY005010310P","National Grid NYC","8664879","2020-02-01T00:00:00.000","2020-01-27T00:00:00.000","2020-02-25T00:00:00.000","29","386392","N","402.96","T1A TRAN RES N-Ht","Yes","542.8","UTILITY GAS","NatGrid NYC"
"ALBANY II","BROOKLYN","ALBANY/ALBANY II","ALBANY II BLD 08","AMR",,"85","524","K008500","FEDERAL","NY005010310P","National Grid NYC","8664879","2020-02-01T00:00:00.000","2020-01-27T00:00:00.000","2020-02-25T00:00:00.000","29","482211","N","69.21","T1A TRAN RES N-Ht","Yes","93.23","UTILITY GAS","NatGrid NYC"
"ALBANY II","BROOKLYN","ALBANY/ALBANY II","ALBANY II BLD 09","AMR",,"85","524","K008500","FEDERAL","NY005010310P","National Grid NYC","8664879","2020-02-01T00:00:00.000","2020-01-27T00:00:00.000","2020-02-25T00:00:00.000","29","904846","N","279.15","T1A TRAN RES N-Ht","Yes","376.03","UTILITY GAS","NatGrid NYC"
"ALBANY II","BROOKLYN","ALBANY/ALBANY II","ALBANY II BLD 09","AMR",,"85","524","K008500","FEDERAL","NY005010310P","National Grid NYC","8664879","2020-02-01T00:00:00.000","2020-01-27T00:00:00.000","2020-02-25T00:00:00.000","29","924103","N","72.28","T1A TRAN RES N-Ht","Yes","97.37","UTILITY GAS","NatGrid NYC"
"ALBANY","BROOKLYN","ALBANY/ALBANY II","ALBANY II BLD 07","AMR",,"31","524","K003100","FEDERAL","NY005010310P","National Grid NYC","8764458","2020-03-01T00:00:00.000","2020-02-25T00:00:00.000","2020-03-26T00:00:00.000","30","152644","N","296.32","T1A TRAN RES N-Ht","Yes","397.56","UTILITY GAS","NatGrid NYC"
"ALBANY","BROOKLYN","ALBANY/ALBANY II","ALBANY BLD 03","AMR",,"31","524","K003100","FEDERAL","NY005010310P","National Grid NYC","8764458","2020-03-01T00:00:00.000","2020-02-25T00:00:00.000","2020-03-26T00:00:00.000","30","379350","N","0.00","T1A TRAN RES N-Ht","Yes","0","UTILITY GAS","NatGrid NYC"
"ALBANY","BROOKLYN","ALBANY/ALBANY II","ALBANY BLD 04","AMR",,"31","524","K003100","FEDERAL","NY005010310P","National Grid NYC","8764458","2020-03-01T00:00:00.000","2020-02-25T00:00:00.000","2020-03-26T00:00:00.000","30","463027","N","146.62","T1A TRAN RES N-Ht","Yes","196.71","UTILITY GAS","NatGrid NYC"
"ALBANY","BROOKLYN","ALBANY/ALBANY II","ALBANY BLD 04","AMR",,"31","524","K003100","FEDERAL","NY005010310P","National Grid NYC","8764458","2020-03-01T00:00:00.000","2020-02-25T00:00:00.000","2020-03-26T00:00:00.000","30","897493","N","0.00","T1A TRAN RES N-Ht","Yes","0","UTILITY GAS","NatGrid NYC"
"ALBANY","BROOKLYN","ALBANY/ALBANY II","ALBANY BLD 05","AMR",,"31","524","K003100","FEDERAL","NY005010310P","National Grid NYC","8764458","2020-03-01T00:00:00.000","2020-02-25T00:00:00.000","2020-03-26T00:00:00.000","30","898438","N","81.79","T1A TRAN RES N-Ht","Yes","109.74","UTILITY GAS","NatGrid NYC"
"ALBANY","BROOKLYN","ALBANY/ALBANY II","ALBANY BLD 05","AMR",,"31","524","K003100","FEDERAL","NY005010310P","National Grid NYC","8764458","2020-03-01T00:00:00.000","2020-02-25T00:00:00.000","2020-03-26T00:00:00.000","30","4632187","N","287.05","T1A TRAN RES N-Ht","Yes","385.13","UTILITY GAS","NatGrid NYC"
"ALBANY","BROOKLYN","ALBANY/ALBANY II","ALBANY BLD 02","AMR",,"31","524","K003100","FEDERAL","NY005010310P","National Grid NYC","8764458","2020-03-01T00:00:00.000","2020-02-25T00:00:00.000","2020-03-26T00:00:00.000","30","5017528","N","171.31","T1A TRAN RES N-Ht","Yes","229.84","UTILITY GAS","NatGrid NYC"
"ALBANY","BROOKLYN","ALBANY/ALBANY II","ALBANY BLD 02","AMR",,"31","524","K003100","FEDERAL","NY005010310P","National Grid NYC","8764458","2020-03-01T00:00:00.000","2020-02-25T00:00:00.000","2020-03-26T00:00:00.000","30","5062736","N","214.52","T1A TRAN RES N-Ht","Yes","287.81","UTILITY GAS","NatGrid NYC"
"ALBANY","BROOKLYN","ALBANY/ALBANY II","ALBANY BLD 06","AMR",,"31","524","K003100","FEDERAL","NY005010310P","National Grid NYC","8764458","2020-03-01T00:00:00.000","2020-02-25T00:00:00.000","2020-03-26T00:00:00.000","30","5122117","N","98.77","T1A TRAN RES N-Ht","Yes","132.52","UTILITY GAS","NatGrid NYC"
"ALBANY","BROOKLYN","ALBANY/ALBANY II","ALBANY BLD 06","AMR",,"31","524","K003100","FEDERAL","NY005010310P","National Grid NYC","8764458","2020-03-01T00:00:00.000","2020-02-25T00:00:00.000","2020-03-26T00:00:00.000","30","5122121","N","303.26","T1A TRAN RES N-Ht","Yes","406.87","UTILITY GAS","NatGrid NYC"
"ALBANY","BROOKLYN","ALBANY/ALBANY II","ALBANY BLD 03","AMR",,"31","524","K003100","FEDERAL","NY005010310P","National Grid NYC","8764458","2020-03-01T00:00:00.000","2020-02-25T00:00:00.000","2020-03-26T00:00:00.000","30","5739544","N","372.71","T1A TRAN RES N-Ht","Yes","500.05","UTILITY GAS","NatGrid NYC"
"ALBANY","BROOKLYN","ALBANY/ALBANY II","ALBANY BLD 01","AMR",,"31","524","K003100","FEDERAL","NY005010310P","National Grid NYC","8764458","2020-03-01T00:00:00.000","2020-02-25T00:00:00.000","2020-03-26T00:00:00.000","30","6130391","N","0.00","T1A TRAN RES N-Ht","Yes","0","UTILITY GAS","NatGrid NYC"
"ALBANY","BROOKLYN","ALBANY/ALBANY II","ALBANY BLD 01","AMR",,"31","524","K003100","FEDERAL","NY005010310P","National Grid NYC","8764458","2020-03-01T00:00:00.000","2020-02-25T00:00:00.000","2020-03-26T00:00:00.000","30","6591591","N","384.28","T1A TRAN RES N-Ht","Yes","515.58","UTILITY GAS","NatGrid NYC"
"ALBANY II","BROOKLYN","ALBANY/ALBANY II","ALBANY II BLD 07","AMR",,"85","524","K008500","FEDERAL","NY005010310P","National Grid NYC","8764458","2020-03-01T00:00:00.000","2020-02-25T00:00:00.000","2020-03-26T00:00:00.000","30","152643","N","131.18","T1A TRAN RES N-Ht","Yes","176","UTILITY GAS","NatGrid NYC"
"ALBANY II","BROOKLYN","ALBANY/ALBANY II","ALBANY II BLD 08","AMR",,"85","524","K008500","FEDERAL","NY005010310P","National Grid NYC","8764458","2020-03-01T00:00:00.000","2020-02-25T00:00:00.000","2020-03-26T00:00:00.000","30","386392","N","369.62","T1A TRAN RES N-Ht","Yes","495.91","UTILITY GAS","NatGrid NYC"
"ALBANY II","BROOKLYN","ALBANY/ALBANY II","ALBANY II BLD 08","AMR",,"85","524","K008500","FEDERAL","NY005010310P","National Grid NYC","8764458","2020-03-01T00:00:00.000","2020-02-25T00:00:00.000","2020-03-26T00:00:00.000","30","482211","N","59.42","T1A TRAN RES N-Ht","Yes","79.72","UTILITY GAS","NatGrid NYC"
"ALBANY II","BROOKLYN","ALBANY/ALBANY II","ALBANY II BLD 09","AMR",,"85","524","K008500","FEDERAL","NY005010310P","National Grid NYC","8764458","2020-03-01T00:00:00.000","2020-02-25T00:00:00.000","2020-03-26T00:00:00.000","30","904846","N","292.46","T1A TRAN RES N-Ht","Yes","392.38","UTILITY GAS","NatGrid NYC"
"ALBANY II","BROOKLYN","ALBANY/ALBANY II","ALBANY II BLD 09","AMR",,"85","524","K008500","FEDERAL","NY005010310P","National Grid NYC","8764458","2020-03-01T00:00:00.000","2020-02-25T00:00:00.000","2020-03-26T00:00:00.000","30","924103","N","69.45","T1A TRAN RES N-Ht","Yes","93.18","UTILITY GAS","NatGrid NYC"
"ALBANY","BROOKLYN","ALBANY/ALBANY II","ALBANY II BLD 07","AMR",,"31","524","K003100","FEDERAL","NY005010310P","National Grid NYC","8860732","2020-04-01T00:00:00.000","2020-03-26T00:00:00.000","2020-04-27T00:00:00.000","32","152644","N","323.07","T1A TRAN RES N-Ht","Yes","435.12","UTILITY GAS","NatGrid NYC"
"ALBANY","BROOKLYN","ALBANY/ALBANY II","ALBANY BLD 03","AMR",,"31","524","K003100","FEDERAL","NY005010310P","National Grid NYC","8860732","2020-04-01T00:00:00.000","2020-03-26T00:00:00.000","2020-04-27T00:00:00.000","32","379350","N","1.54","T1A TRAN RES N-Ht","Yes","2.07","UTILITY GAS","NatGrid NYC"
"ALBANY","BROOKLYN","ALBANY/ALBANY II","ALBANY BLD 04","AMR",,"31","524","K003100","FEDERAL","NY005010310P","National Grid NYC","8860732","2020-04-01T00:00:00.000","2020-03-26T00:00:00.000","2020-04-27T00:00:00.000","32","463027","N","216.40","T1A TRAN RES N-Ht","Yes","291.46","UTILITY GAS","NatGrid NYC"
