"the_geom","segmentid","boroughcod","oftcode","onstreetna","fromstreet","tostreetna","wkt","manualrati","ratinglaye","inspection","shape_stle"
"MULTILINESTRING ((-73.72966831672117 40.65429663438809, -73.72970452412575 40.653589900232895))","62694","Q","427280423120423130","259 STREET","148 DRIVE","148 ROAD","LINESTRING (1059259.0602999926 177770.0326000005, 1059249.8084000051 177512.51999999583)","7","FAIR","2022-10-18T00:00:00.000","257.678747309"
"MULTILINESTRING ((-73.81160983497072 40.59047453738336, -73.81167374459396 40.591298838779664))","53894","Q","432840435290441700","BEACH 86 STREET","BEACH CHANNEL DRIVE","DEAD END","LINESTRING (1036572.7580000013 154458.4756000042, 1036554.3622000068 154758.75059999526)","8","GOOD","2023-02-06T00:00:00.000","300.83796482"
"MULTILINESTRING ((-73.72970452412575 40.653589900232895, -73.72973319539894 40.652869451370385))","62692","Q","427280423120423170","259 STREET","148 DRIVE","149 AVENUE","LINESTRING (1059249.8084000051 177512.51999999583, 1059242.6625999957 177250.01719999313)","7","FAIR","2022-10-18T00:00:00.000","262.600042778"
"MULTILINESTRING ((-73.81226881249728 40.58857486824097, -73.81241574285079 40.59004838554581))","192033","Q","432890435290460820","BEACH 87 STREET","BEACH CHANNEL DRIVE","ROCKAWAY FREEWAY","LINESTRING (1036339.3167999983 154467.59309999645, 1036349.2610000074 154302.73770000041, 1036391.2196000069 153765.98680000007)","8","GOOD","2021-08-25T00:00:00.000","538.388384686"
"MULTILINESTRING ((-73.80013818489725 40.586895100105984, -73.80045416315907 40.58682491299652))","214095","Q","435300412725462200","BEACH FRONT ROAD","WATER WAY","SHORE FRONT PARKWAY","LINESTRING (1039761.819600001 153161.4606000036, 1039674.1148999929 153135.68960000575)","6","FAIR","2023-02-06T00:00:00.000","91.4125748701"
"MULTILINESTRING ((-74.18804870802602 40.54425271970777, -74.18892218928673 40.5441436456966))","2995","S","548070532650534597","SINCLAIR AVENUE","HEENAN AVENUE","JEFFERSON BOULEVARD","LINESTRING (931985.92640000582 137618.56910000741, 931743.07580000162 137579.3533000052)","6","FAIR","2015-08-12T00:00:00.000","245.996530244"
"MULTILINESTRING ((-73.80242461893565 40.7000952756525, -73.80210075579176 40.70064256426428))","57397","Q","435390423290423790","BEAVER ROAD","150 STREET","157 STREET","LINESTRING (1039123.0905999988 194601.42890000343, 1039033.7404000014 194401.8329000026, 1038939.3869999945 194041.0067999959)","7","FAIR","2023-02-15T00:00:00.000","218.682467189"
"MULTILINESTRING ((-73.81215722058353 40.587445103750966, -73.81220758234697 40.587954972603455))","53880","Q","432890460790460820","BEACH 87 STREET","ROCKAWAY BEACH BOULEVARD","ROCKAWAY FREEWAY","LINESTRING (1036391.2196000069 153765.98680000007, 1036408.7099000067 153540.18019999564, 1036423.0962000042 153354.4523999989)","5","FAIR","2022-09-14T00:00:00.000","186.284141352"
"MULTILINESTRING ((-74.15140225130104 40.63697089999214, -74.15188212558262 40.63404701609196))","220732","S","548050532950545050","SIMONSON AVENUE","HEUSDEN STREET","RICHMOND TERRACE","LINESTRING (942229.38979999721 171378.3655000031, 942094.3574000001 170313.34819999337, 942075.41380000114 170163.64720000327)","7","FAIR","2023-08-02T00:00:00.000","1073.54347763"
"MULTILINESTRING ((-73.7071386538699 40.73152576170206, -73.7064802828874 40.72971129865261))","102898","Q","427280417590417690","259 STREET","87 AVENUE","87 ROAD","LINESTRING (1065416.2853000015 205926.81599999964, 1065600.9666000009 205266.36470000446)","8","GOOD","2023-05-23T00:00:00.000","685.786484436"
"MULTILINESTRING ((-74.19852975238035 40.54134227095741, -74.19904595358948 40.54120255167571))","2135","S","548070527425543790","SINCLAIR AVENUE","ELLSWORTH AVENUE","POWELL STREET","LINESTRING (929070.54839999974 136564.65379999578, 928926.95960000157 136514.07639999688, 928826.71709999442 136475.66760000587)","9","GOOD","2019-01-16T00:00:00.000","152.236056424"
"MULTILINESTRING ((-73.81067618134064 40.75968850699785, -73.80974574324473 40.759583721127))","91805","Q","435590423640423740","BEECH AVENUE","155 STREET","156 STREET","LINESTRING (1036698.824000001 216108.40299999714, 1036956.6679999977 216070.78479999304)","8","GOOD","2023-07-07T00:00:00.000","260.57370801"
"MULTILINESTRING ((-73.83974871116109 40.71566841782136, -73.83929954597562 40.7152677456596))","131173","Q","435625415590415740","BEECHKNOLL ROAD","74 AVENUE","75 ROAD","LINESTRING (1028392.1149999946 200329.62279999256, 1028458.1061999947 200267.82160000503, 1028602.9979999959 200128.51459999382, 1028651.0708000064 200077.08900000155, 1028674.1420000046 200054.45020000637, 1028798.9254000038 199908.70160000026)","6","FAIR","2015-01-23T00:00:00.000","191.868578248"
"MULTILINESTRING ((-73.72104016401347 40.75210741246029, -73.71989808703701 40.75205705707028))","182546","Q","427284427240452870","260 STREET","252 STREET","LANGSTON AVENUE","LINESTRING (1062047.7194000036 213311.73190000653, 1062022.0600000024 213335.91509999335, 1061992.8048000038 213356.77459999919, 1061960.6492000073 213373.5692999959, 1061926.4761999995 213385.74439999461, 1061891.289199993 213393.02789999545, 1061856.11","8","GOOD","2023-02-16T00:00:00.000","316.959848109"
"MULTILINESTRING ((-73.84052661518783 40.716255152109305, -73.8400048612601 40.715872062815365))","131170","Q","435625415590415740","BEECHKNOLL ROAD","74 AVENUE","75 ROAD","LINESTRING (1028392.1149999946 200329.62279999256, 1028458.1061999947 200267.82160000503, 1028602.9979999959 200128.51459999382, 1028651.0708000064 200077.08900000155, 1028674.1420000046 200054.45020000637, 1028798.9254000038 199908.70160000026)","6","FAIR","2015-01-23T00:00:00.000","200.997696404"
"MULTILINESTRING ((-73.75801266796483 40.67607767584271, -73.75822488747417 40.67369862837631))","62975","Q","435670422390435807","BELKNAP STREET","137 AVENUE","BENNETT STREET","LINESTRING (1051372.439199999 185682.451000005, 1051315.9661999941 184815.53659999371)","8","GOOD","2022-09-01T00:00:00.000","868.751849884"
"MULTILINESTRING ((-73.75945961111856 40.67834588207958, -73.75924038315868 40.67804143571639))","129390","Q","435670422130455020","BELKNAP STREET","134 AVENUE","MATHEWSON COURT","LINESTRING (1050906.7544 186620.09020000696, 1050968.8180000037 186507.71510000527, 1051029.9300000072 186396.96400000155)","7","FAIR","2023-05-13T00:00:00.000","126.493014418"
"MULTILINESTRING ((-73.82221442145465 40.58560874543391, -73.82248899786855 40.58603937523611))","222969","Q","433490435290460820","BEACH 100 STREET","BEACH CHANNEL DRIVE","ROCKAWAY FREEWAY","LINESTRING (1033545.7824999988 152855.29979999363, 1033554.4996999949 152836.32680000365, 1033631.0829000026 152679.59260000288, 1033667.8235000074 152604.39959999919, 1033698.0867999941 152542.46259999275, 1033756.6930000037 152419.92049999535)","5","FAIR","2019-09-23T00:00:00.000","174.443675647"
"MULTILINESTRING ((-73.81979205205212 40.75671305681302, -73.81950349511013 40.756908834523756))","91510","Q","435590454550459000","BEECH AVENUE","MAGNOLIA PLACE","PHLOX PLACE","LINESTRING (1034175.6664000005 215019.02519999444, 1034255.4627999961 215090.51780000329)","9","GOOD","2022-12-15T00:00:00.000","107.138495921"
"MULTILINESTRING ((-73.82248899786855 40.58603937523611, -73.82252024382989 40.58609149998346))","184817","Q","433490435290460820","BEACH 100 STREET","BEACH CHANNEL DRIVE","ROCKAWAY FREEWAY","LINESTRING (1033545.7824999988 152855.29979999363, 1033554.4996999949 152836.32680000365, 1033631.0829000026 152679.59260000288, 1033667.8235000074 152604.39959999919, 1033698.0867999941 152542.46259999275, 1033756.6930000037 152419.92049999535)","5","FAIR","2019-09-23T00:00:00.000","20.8797582455"
"MULTILINESTRING ((-74.14092528350794 40.60808963137724, -74.14090265769087 40.607811037384906))","160173","S","556370523908540625","WOOLLEY AVENUE","STATEN ISLAND EXPRESSWAY","NORTH GANNON AVENUE","LINESTRING (945120.26669999957 160851.31710000336, 945126.38549999893 160749.80799999833, 945130.827700004 160706.9768999964)","7","FAIR","2022-08-15T00:00:00.000","101.693348343"
"MULTILINESTRING ((-73.79017185052959 40.58868078835366, -73.79104723033888 40.588496310618815))","235048","Q","435300431610431640","BEACH FRONT ROAD","BEACH 61 STREET","BEACH 62 STREET","LINESTRING (1042528.4156000018 153818.50300000608, 1042285.4451999962 153750.71220000088)","6","FAIR","2022-12-01T00:00:00.000","252.250288095"
"MULTILINESTRING ((-74.09692065342058 40.62860608691553, -74.09705945378471 40.628568039914626, -74.09719201132701 40.62851241086395, -74.09731270155646 40.628440348205935, -74.09741651665236 40.62835437767748, -74.09749977419857 40.62825809552246, -74.09756051831603 40.62815567285361))","118524","S","547950529150553000","SILVER LAKE PARK ROAD","FOREST AVENUE","VICTORY BOULEVARD","LINESTRING (957625.874300003 169444.83630000055, 957618.78779999912 169409.07209999859, 957617.488499999 169371.65399999917, 957622.38359999657 169334.02290000021, 957633.40719999373 169297.70739999413, 957649.98839999735 169264.1412999928, 957671.163000","9","GOOD","2013-08-05T00:00:00.000","251.032044384"
