"mailed_date","boro","block","lot","ease","address_1","address_2","address_3","city_state_zip","country","tax_class","bld_class","original_market_value","original_assessed_value","original_exemption","original_transitional_assessed_value","original_transitional_exemption","original_taxable_value","revised_market_value","revised_assessed_value","revised_exemption","revised_transitional_assessed_value","revised_transitional_exemption","revised_taxable_value","rc_1","rc2","rc3","rc4","rc5","borough","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta"
"2016-03-18T00:00:00.000","1","803","1021",,"VICTORIA GODFREY","1139      GARFIELD AVE",,"VENICE               CA 90291-4936",,"2","R4","302339","136053","0","104994","0","104994","302339","136053","0","101013","0","101013","E1",,,,,,,,,,,,,,
"2016-03-18T00:00:00.000","1","691","1029",,,"49        ROGERS ROAD","SHIPPAN POINT","STAMFORD             CT 06902",,"2","R4","310166","139575","54989","120196","47237","72959","310166","139575","54989","118693","46636","72057","E1","X",,,,,,,,,,,,,
"2016-03-18T00:00:00.000","1","691","1030",,,"36        ANDREWS FARM RD",,"GREENWICH            CT 06831-3100",,"2","R4","613390","276026","108747","237694","93414","144280","613390","276026","108747","234720","92225","142495","E1","X",,,,,,,,,,,,,
"2016-02-19T00:00:00.000","1","1018","1134",,,,,,,"2","R4","377626","169932","64339","141590","53002","88588","377626","169932","64339","139885","52320","87565","E1","X",,,,,,,,,,,,,
"2016-02-23T00:00:00.000","1","343","61",,,"65        PITT ST",,"NEW YORK             NY 10002-3504",,"1","B2","2298000","62520","5690","0","0","56830","2758000","62520","5690","0","0","56830","M",,,,,"MANHATTAN","10002","40.717979","-73.982666","3","1","12","1077600","1003430061","Lower East Side"
"2016-02-23T00:00:00.000","1","542","42",,,"155       JOHNSON RD",,"FALLS VILLAGE        CT 06031-1618",,"1","B1","4799000","96920","1550","0","0","95370","5718000","96920","1550","0","0","95370","M",,,,,,,,,,,,,,
"2016-03-18T00:00:00.000","1","691","1031",,"C/O DIKMAN","37 W 20TH SUITE 703",,"NEW YORK             NY 10011-3717",,"2","R4","679579","305811","120482","263344","103495","159849","679579","305811","120482","260051","102178","157873","E1","X",,,,,,,,,,,,,
"2016-02-23T00:00:00.000","3","7290","39",,,"2162      OCEAN PKWY",,"BROOKLYN             NY 11223-4829",,"1","B2","650000","35512","0","0","0","35512","670000","35512","0","0","0","35512","M",,,,,"BROOKLYN","11223","40.596573","-73.965244","15","47","394","3192993","3071320033","Homecrest"
"2016-02-23T00:00:00.000","3","7291","108",,,"1958      E 13TH ST",,"BROOKLYN             NY 11229-3302",,"1","A1","1053000","58711","0","0","0","58711","1085000","58711","0","0","0","58711","M",,,,,"BROOKLYN","11229","40.601924","-73.958889","15","48","556","3196695","3072910108","Homecrest"
"2016-03-18T00:00:00.000","1","1006","1170",,,"190       STONESTEPS WAY",,"ENCINITAS            CA 92024-1557",,"2","R4","650161","292572","0","224221","0","224221","235986","106194","0","79932","0","79932","E1","P",,,,,,,,,,,,,
"2016-02-23T00:00:00.000","3","7293","64",,,"1957      E 14TH ST",,"BROOKLYN             NY 11229-3311",,"1","A1","1116000","51520","0","0","0","51520","1150000","51520","0","0","0","51520","M",,,,,"BROOKLYN","11229","40.602061","-73.957953","15","48","556","3196803","3072930064","Homecrest"
"2016-02-23T00:00:00.000","3","7301","9",,,"2224      AVENUE S",,"BROOKLYN             NY 11229-3622",,"1","A1","986000","48469","0","0","0","48469","1016000","48469","0","0","0","48469","M",,,,,"BROOKLYN","11229","40.604267","-73.950029","15","48","560","3197153","3073010009","Madison"
"2016-02-23T00:00:00.000","3","7316","55",,,"2061      E 12TH ST",,"BROOKLYN             NY 11229-2705",,"1","B1","1025000","33072","1550","0","0","31522","953000","33072","1550","0","0","31522","M",,,,,"BROOKLYN","11229","40.59938","-73.960245","15","48","582","3197943","3073160055","Homecrest"
"2016-02-23T00:00:00.000","3","7343","46",,,"PO BOX 417",,"GREENVALE            NY 11548-0417",,"1","B1","738000","34992","0","0","0","34992","760000","34992","0","0","0","34992","M",,,,,,,,,,,,,,
"2016-02-23T00:00:00.000","4","2207","24",,,"11037     69TH AVE",,"FOREST HILLS         NY 11375-3915",,"1","A3","2120000","116532","0","0","0","116532","2187000","116532","0","0","0","116532","M",,,,,"QUEENS","11375","40.725759","-73.842871","6","29","75702","4052467","4022280048","Forest Hills"
"2016-02-23T00:00:00.000","4","2717","13",,,"58        RAMAPO RIVER TRCE",,"OAKLAND              NJ 07436-2358",,"1","B1","619000","30118","0","0","0","30118","1050000","30118","0","0","0","30118","M",,,,,,,,,,,,,,
"2016-02-23T00:00:00.000","4","2900","9",,,"8418      60TH RD",,"FLUSHING             NY 11379-5407",,"1","C0","1095000","54282","1550","0","0","52732","1037000","54282","1550","0","0","52732","M",,,,,"QUEENS","11379","40.728738","-73.874795","5","29","505","4433795","4029000009","Middle Village"
"2016-02-23T00:00:00.000","4","3042","24",,,"6546      80TH ST",,"MIDDLE VILLAGE       NY 11379-2724",,"1","A2","687000","16123","1550","0","0","14573","599000","16123","1550","0","0","14573","M",,,,,"QUEENS","11379","40.716949","-73.872256","5","30","65703","4071046","4030420024","Middle Village"
"2016-03-18T00:00:00.000","1","1423","1217",,,"4040      E. BROOKHAVEN DRIVE",,"ATLANTA              GA 30319",,"2","R4","260953","117429","0","104438","0","104438","260953","117429","0","102624","0","102624","E1",,,,,,,,,,,,,,
"2016-02-23T00:00:00.000","4","3089","7",,,"25433     PEMBROKE AVE",,"GREAT NECK           NY 11020-1016",,"1","C0","998000","42466","0","0","0","42466","890000","42466","0","0","0","42466","M",,,,,"QUEENS","11362","40.771461","-73.733655","11","19","150702",,,"Douglas Manor-Douglaston-Little Neck"
"2016-04-01T00:00:00.000","1","609","1009",,,"128       CRISPELL LN",,"NEW PALTZ            NY 12561-4135",,"2","R4","490378","220670","0","187269","0","187269","439324","197696","0","182674","0","182674","E1",,,,,,,,,,,,,,
