"permit_year","project_title","institution","borough","park_name","location_within_park","taxa_or_area_of_study"
"2017","Wetlands Delineation Conference House Park","AKRF Inc.","Staten Island","Conference House Park",,"Other"
"2017","PIN X731.27 Bruckner Expressway Access and Connectivity Improvements, Bronx County","AKRF Inc.","Bronx","Van Cortlandt Park",,"Plants"
"2017","Mapping coyote habitat and dispersal corridors in the greater NYC metropolitan area","American Museum of Natural History","Bronx, Brooklyn, Manhattan, Queens, Staten Island","Alley Pond Park, Astoria Park, Baisley Pond Park, Central Park, Claremont Park, Crotona Park, Cunningham Park, Ferry Point Park, Flushing Meadows Corona Park, Forest Park, Fort Washington Park, Francis Lewis Park, Henry Hudson Park, Highbridge Park, Idlewild Park, Inwood Hill Park, Kissena Park, Pelham Bay Park, Powell's Cove Park, Prospect Park, Pugsley Creek Park, Railroad Park, Randall’s/Wards Island Park, Riverdale Park, Riverside Park, Roy Wilkins Park, Seton Falls park, Spuyten Duyvil Shorefront Park, St Mary's Park, Starlight Park, The Greenbelt, Van Cortlandt Park",,"Mammals"
"2017","Opportunistic GPS Telemetry of Relocated Coyotes in New York City","American Museum of Natural History","Bronx, Brooklyn, Manhattan, Queens, Staten Island","Multiple",,"Mammals"
"2017","Geological Mapping of Outcrops in Central Park","American Museum of Natural History","Manhattan","Central Park",,"Other"
"2017","Using DNA barcoding to identify invertebrates in soil samples from East River Park","Bard High School Early College","Manhattan","East River Park",,"Arthropods"
"2017","Reconnaissance investigation of urine-marking by domestic dogs (Canis familiaris)","Barnard College","Manhattan","Riverside Park",,"Mammals"
"2017","Heavy metal resistant microbes on New York City greenroofs","Barnard College","Bronx, Brooklyn, Manhattan, Staten Island","Brownville Recreation Center, Chelsea Recreation Center, Hansborough Recreation Center, Jackie Robinson Park, Lost Battalion Hall Recreation Center, Lyons Pool, Sorrentino Recreation Center, St John’s Recreation Center, St Mary's Recreation Center, Sunset Park","Rec Center Green Roof","Microorganisms, Soil"
"2017","Plant communities of disturbed urban soils: Implications for ecological restoration","Bates College","Bronx, Brooklyn, Queens","Alley Pond Park, Conference House Park, Cunningham Park, Idlewild Park, Inwood Hill Park, Jamaica Bay Park, Paerdegat Basin, Pelham Bay Park, Prospect Park, Rockaway Community Park, Van Cortlandt Park, Willowbrook Park",,"Plants, Soil"
"2017","Project TRUE, Teens Researching Urban Ecology","WCS-Bronx Zoo","Bronx, Brooklyn, Manhattan, Queens","Bronx River Park, Brooklyn Bridge Park, Central Park, Chelsea Recreation Center, Hansborough Recreation Center, Highbridge Park, Idlewild Park, Jackie Robinson Park, Lost Battalion Hall Recreation Center, Lyons Pool, Pelham Bay Park, Prospect Park, Randall’s/Wards Island Park, Riverside Park, Saw Mill Creek, Sorrentino Recreation Center, Spring Creek Park, St Mary's Park, Sunset Park, Udall's Cove Park","Some work was performed at Rec Center Green Roof","Amphibians/Reptiles, Invertebrates, Mammals, Plants, Soil"
"2017","Environmental Field Investigations Course","Brooklyn College","Brooklyn","Marine Park",,"Soil, Water quality/Hydrology"
"2017","Electrical Resistvity Imaging of Tidal Forcing of the Water Table in Heterogeneous Sediment","City College of New York","Manhattan","Inwood Hill Park",,"Water quality/Hydrology"
"2017","DNA Barcoding Brooklyn: An Assessment of Biodiversity in Marine Park","Cold Spring Harbor Laboratory","Brooklyn","Marine Park",,"Arthropods, Plants"
"2017","Freshkills Turtle Project","College of Staten Island","Staten Island","High Rock Park, La Tourette Park, Long Pond Park, The Greenbelt",,"Amphibians/Reptiles, Arthropods, Fish"
"2017","Urban Barcode Project - General Plant Diversity","Columbia Prep","Manhattan","Central Park",,"Plants, Urban Barcode Project"
"2017","Seed dispersal and habitat connectivity of green spaces in New York City","Columbia University","Manhattan","Morningside Park, Riverside Park",,"Plants"
"2017","Crave Crush Behavioral Study","Columbia University","Manhattan","Bryant Park, Central Park, Union Square Park, Washington Square Park",,"Human Health/Perceptions"
"2013,2014,2015,2016,2017,2018","Green Infrastructure Monitoring","Drexel University","Bronx, Brooklyn, Queens","Alley Pond Park, Colfax St/Murdock Ave/211 Street, Crotona Park, Flushing Meadows Corona Park, Furmanville Ave/80th St/Dry Harbor Rd, Nashville Blvd/116 Ave/209 Street, Sagamore St/Cruger Ave, Shoelace Park, St Mary's Recreation Center, Sixth Street (BK)",,"Other, Water quality/Hydrology"
"2017","Insect Walk in Central Park","Fairleigh Dickinson University","Manhattan","Central Park",,"Invertebrates"
"2017","Effects of a beach nourishment project on horseshoe crab (Limulus polyphemus) spawning activity, egg deposition, and juvenile habitat use","Fordham University","Brooklyn","Plumb Beach",,"Crustaceans/Mollusks, Soil"
"2017","Cityscape Genomics of Rats (Rattus norvegicus) in New York City","Fordham University","Bronx, Brooklyn, Manhattan, Queens, Staten Island","Permitted for all parks",,"Mammals"
"2017","The Effect of Salt Marsh Restoration on Ant Biodiversity","Forest Hills High School","Queens","Flushing Meadows Corona Park",,"Arthropods"
"2017","Wetland Stewardship for a Healthier Bronx","Friends of Van Cortlandt Park","Bronx","Van Cortlandt Park",,"Water quality/Hydrology"
"2017","Black Skimmer Decoy","NYSDEC","Queens","Arverne-by-the-Sea",,"Birds"
"2017","Urban Barcode Project - Algal Divserity","Friends Seminary","Manhattan","Central Park, East River Park, Hudson River Park",,"Algae/Aquatic Vegetation, Urban Barcode Project"
"2017","Park Visitor Perceptions of Resident Coyotes","American Natural History Museum","Bronx","Pelham Bay Park, Riverdale Park",,"Human Health/Perceptions"
"2017","Reed Boats from Invasive Phragmites","HarborLAB","Queens","Alley Pond Park",,"Plants"
"2017","Alley Creek Benthic/Vegetation Baseline Survey","Hazen and Sawyer","Queens","Alley Pond Park",,"Arthropods, Crustaceans/Mollusks, Plants, Water quality/Hydrology"
"2017","Raccoon and opossum census of Ruler's Bar Hassock","Hofstra University","Queens","Broad Channel American Park, Sunset Cove Park",,"Mammals"
"2017","Selective behavior by rodents in the built environment: A pilot","Hofstra University","Manhattan","Columbus Park, Vito Locascio Field",,"Mammals"
"2017","How does red fox population density affect Lyme disease incidence?","Hofstra University","Queens","Alley Pond Park",,"Invertebrates, Mammals"
"2017","eHealth intervention to increase sun protection in Latinos","Icahn School of Medicine at Mount Sinai","Bronx, Brooklyn, Manhattan, Queens","Astoria Park, Bronx River Park, Central Park, Prospect Park, Randall’s/Wards Island Park",,"Human Health/Perceptions"
"2017","Canada goose and mute swan nest management","NYNJ Port Authority","Bronx, Manhattan, Queens","Baisley Pond Park, Brookville Park, Flushing Meadows Corona Park, Idlewild Park, Mill Rock Park, North Brother Island, Randall’s/Wards Island Park, South Brother Island, Springfield Park",,"Birds"
"2017","Gull Deterrence at World's Fair Marina","NYNJ Port Authority","Queens","World's Fair Marina",,"Birds"
"2017","Forensic Anthropology execise - Recovery of remains","John Jay College of Criminal Justice","Manhattan","Central Park",,"Other"
"2017","Successional Dynamics of the Carrion Insect Community in an Urban Environment","John Jay College of Criminal Justice","Manhattan","Central Park",,"Arthropods"
"2017","The Analysis of the Surface Microbiome of Decomposing Remains to Aid in Postmortem Interval (PMI) Identification","John Jay College of Criminal Justice","Manhattan","Central Park",,"Microorganisms"
"2017","Biodiversity of Nature's recyclers","LaGuardia Community College","Queens","Alley Pond Park, Cunningham Park, Forest Park",,"Arthropods, Plants, Soil"
"2017","Variation of DNA in Invasive Species of Poison Ivy and Goutweed","Leon M. Goldstein High School","Brooklyn","Prospect Park",,"Plants, Urban Barcode Project"
"2017","Plants of Pelham Bay Park","New York Botanical Garden","Bronx","Pelham Bay Park",,"Plants"
"2017","Documenting the Native and Naturalized Flora of New York City","New York Botanical Garden","Bronx, Brooklyn, Manhattan","Bronx River Park, Central Park, Fort Washington Park, Marine Park",,"Plants"
"2017","BOP Oyster Gardening Program","New York Harbor School","Bronx, Brooklyn, Manhattan, Queens, Staten Island","79th St Boat Basin, Battery Park, Bush Terminal Park, Conference House Park, Faber Park, Harlem River Park, Hudson River Park, Hunter's Point South Park, Jefferson Park, Kaiser Park, Mill Pond Park, Randall’s/Wards Island Park, Riverside Park, Sherman Creek Park, West Harlem Piers Park, WNYC Transmitter Park, World's Fair Marina",,"Arthropods, Crustaceans/Mollusks, Fish, Water quality/Hydrology"
"2017","Archaeological Survey for NYSDOT Bruckner and Hutchinson Parkway renovations","New York State Museum's Cultural Resources Survey Program","Bronx","Pelham Bay Park",,"Other"
"2017","Billion Oyster Project, Community Reefs Program","NY Harbor Foundation","Brooklyn, Staten Island","Bush Terminal Park, Lemon Creek Park","Princess Bay Marina","Crustaceans/Mollusks, Water quality/Hydrology"
"2017","Soundview Community Oyster Reef","NY/NJ Baykeeper","Bronx","Soundview Park",,"Algae/Aquatic Vegetation, Arthropods, Crustaceans/Mollusks, Fish"
"2017","The Urban Oasis in McGolrick Park","NYC Audubon","Brooklyn","McGolrick Park",,"Arthropods, Birds"
"2017","Birds of New York City","NYC Audubon","Bronx, Brooklyn, Manhattan, Queens, Staten Island","Goose Island, Isle of Meadows, Mill Rock Park, North Brother Island, Prall's Island, Shooters Island, South Brother Island, U Thant Island, Wolfe's Pond Park",,"Birds"
"2017","Life Track Egret","NYC Audubon","Staten Island","Wolfe's Pond Park",,"Birds"
"2017","Capital Project HWQ-724B Brookville and Edgewood Triangle","NYC Department of Design and Construction","Queens","Brookville Park","Conselyeas Pond","Water quality/Hydrology"
"2017","Jamaica Bay Ecological Pilot Projects: Wave Attentuation","NYCDEP","Queens","Brant Point Wildlife Sanctuary",,"Water quality/Hydrology"
"2017","Resident Canada Goose Egg and Nest Depredation","NYCDEP","Bronx, Brooklyn, Manhattan, Queens, Staten Island","Multiple","Initial surveys for CAGO nests - 123 Parks citywid","Birds"
"2017","Biological Condition Estimation for New York State Lakes: Application and Evaluation of Lake Assessment Biological Metrics","NYS DEC","Queens","Kissena Park",,"Invertebrates"
"2017","Acme Pond Fish Community Survey","NYSDEC","Staten Island","Wolfe's Pond Park","Acme Pond","Fish"
"2017","Kudzu Control Project","NYSDEC","Bronx, Queens, Staten Island","Blue Heron Park, Hilton Holiday Gardens, Pelham Bay Park, Railroad Park, Wolfe's Pond Park",,"Plants"
"2017","Avian Acoustic Ecology Project","NYU","Bronx, Brooklyn, Queens, Staten Island","Blue Heron Park, Four Sparrow Marsh Preserve, High Rock Park, Jamaica Bay Park, Raoul Wallenberg Forest Preserve, Riverdale Park, Seton Falls park, William T. Davis Wildlife Refuge, Wolfe's Pond Park",,"Birds"
"2017","Observing Wildlife Longitudinally in Washington Square Park","NYU","Manhattan","Washington Square Park",,"Birds, Mammals"
"2017","Oil to Soil","NYU","Brooklyn","Brooklyn Street Trees - Crown Heights",,"Plants, Soil"
"2017","Plant-Environment Interactions Practical Task","Open University","Manhattan","Carl Schurz Park, John Jay Park",,"Plants"
"2017","Case studies of Urban Restoration Projects in New York City","Oregon State University","Bronx, Queens","Alley Pond Park, Cunningham Park, Forest Park, Kissena Park, Pelham Bay Park, Van Cortlandt Park",,"Plants"
"2017","The Identification of Cutaneous Bacteria on Salamanders that Inhibit the Chytrid Fungus Batrachochytrium dendrobatidis between Habitat Types","Ossining High School","Bronx","Pelham Bay Park, Van Cortlandt Park",,"Amphibians/Reptiles, Microorganisms, Soil"
"2017","Salt marsh wetlands","PS 277","Brooklyn","Marine Park",,"Arthropods, Crustaceans/Mollusks, Fish, Soil, Water quality/Hydrology"
"2017","Alley Creek Benthic/Vegetation Baseline Survey","Hazen and Sawyer","Queens","Alley Pond Park","Alley Creek","Invertebrates"
"2017","Demographic andBehavioral Impacts of an Intensive Male Sterilization Program for Freeranging Whitetailed Deer on Staten Island, New York","White Buffalo, Inc.","Staten Island","All Staten Island properties",,"Mammals"
