"borough_location","park_location","sports_played","week_start_date","week_end_date","sunday_s_attendance","monday_s_attendance","tuesday_s_attendance","wednesday_s_attendance","thursday_s_attendance","friday_s_attendance","saturday_s_attendance","attendance_sum"
"Queens","Playground for All Children","Soccer, Basketball, ultimate Frisbee","2017-04-23T00:00:00.000","2017-04-22T00:00:00.000","25","20","30","26","22","100","37","260"
"Queens","Playground for All Children","Basketball","2017-04-30T00:00:00.000","2017-05-06T00:00:00.000","250","95","120","180","400","0","0","1045"
"Queens","Playground for All Children","Soccer","2017-05-07T00:00:00.000","2017-05-13T00:00:00.000","590","180","250","440","550","730","0","2740"
"Queens","Playground for All Children","Pillow Polo","2017-05-14T00:00:00.000","2017-05-20T00:00:00.000","550","708","58","680","975","333","670","3974"
"Queens","Playground for All Children","All sports","2017-05-21T00:00:00.000","2017-05-27T00:00:00.000","300","375","280","200","0","370","800","2325"
"Queens","Playground for All Children","All Sports","2017-05-28T00:00:00.000","2017-06-03T00:00:00.000","0","210","320","280","200","310","210","1530"
"Queens","Playground for All Children","All Sports","2017-04-23T00:00:00.000","2017-04-29T00:00:00.000","0","225","320","280","200","310","210","1545"
"Queens","Playground for All Children","Soccer","2017-05-28T00:00:00.000","2017-06-03T00:00:00.000","1450","0","810","560","850","1250","0","4920"
"Queens","Playground for All Children","SoftBall","2017-06-04T00:00:00.000","2017-06-10T00:00:00.000","850","380","0","325","520","950","700","3725"
"Queens","Playground for All Children","Numerous Sports","2017-06-11T00:00:00.000","2017-06-17T00:00:00.000","0","0","775","495","475","75","395","2215"
"Queens","Playground for All Children","Basketball, Rugby, Soccer, Dodgeball, Pillo Polo, Ultimate Frisbee","2017-06-19T00:00:00.000","2017-06-24T00:00:00.000","0","175","500","520","626","400","575","2796"
"Bronx","Williamsbridge Oval","Basketball, soccer, football, track,","2017-05-07T00:00:00.000","2017-05-13T00:00:00.000","0","0","25","20","23","26","27","121"
"Bronx","Williamsbridge Oval","Basketball, soccer, table tennis, football, track","2017-05-14T00:00:00.000","2017-05-20T00:00:00.000","0","0","20","22","23","21","20","106"
"Bronx","Williamsbridge Oval","Soccer, basketball, tennis, track, football, kickball","2017-05-21T00:00:00.000","2017-05-27T00:00:00.000","0","0","23","26","25","26","27","127"
"Bronx","Williamsbridge Oval","Soccer, Basketball, Kickball, Football, table tennis","2017-05-28T00:00:00.000","2017-06-03T00:00:00.000","0","0","10","30","29","26","15","110"
"Bronx","Williamsbridge Oval","Basketball. soccer, table tennis, football, kickball,","2017-06-04T00:00:00.000","2017-06-10T00:00:00.000","0","0","25","27","28","27","20","127"
"Bronx","Williamsbridge Oval","Basketball, Table tennis, soccer, football, kickball","2017-06-11T00:00:00.000","2017-06-17T00:00:00.000","0","0","13","20","23","22","12","90"
"Bronx","Williamsbridge Oval","Basketball, baseball, football, soccer, table tennis, track, group games","2017-06-18T00:00:00.000","2017-06-24T00:00:00.000","0","0","41","30","39","32","30","172"
"Queens","Playground for All Children","Soccer, Rugby, softball, basketball, and Ultimate Frisbee","2017-06-25T00:00:00.000","2017-07-01T00:00:00.000","0","575","450","600","680","675","0","2980"
"Brooklyn","Sunset Park","Basketball","2017-07-05T00:00:00.000","2017-07-07T00:00:00.000","0","0","0","13","18","23","0","54"
"Brooklyn","Sunset Park","Soccer","2017-07-05T00:00:00.000","2017-07-07T00:00:00.000","0","0","0","12","32","17","0","61"
"Brooklyn","Sunset Park","Volleyball","2017-07-05T00:00:00.000","2017-07-07T00:00:00.000","0","0","0","13","26","0","0","39"
"Brooklyn","Sunset Park","Field Games","2017-07-05T00:00:00.000","2017-07-07T00:00:00.000","0","0","0","8","0","9","0","17"
"Brooklyn","Sunset Park","Softball","2017-07-05T00:00:00.000","2017-07-07T00:00:00.000","0","0","0","0","0","14","0","14"
"Brooklyn","Sunset Park","Flag Football","2017-07-05T00:00:00.000","2017-07-07T00:00:00.000","0","0","0","0","21","0","0","21"
"Brooklyn","Sunset Park","Kickball","2017-07-05T00:00:00.000","2017-07-07T00:00:00.000","0","0","0","0","20","0","0","20"
"Bronx","Williamsbridge Oval","Basketball, soccer, baseball, kickball, flag football, ping pong","2017-06-25T00:00:00.000","2017-07-01T00:00:00.000","0","0","45","60","42","36","47","230"
"Queens","Playground for All Children","Basketball, Rugby, Baseball, dodgeball,","2017-07-02T00:00:00.000","2017-07-08T00:00:00.000","0","550","450","500","400","100","600","2600"
"Brooklyn","Sunset Park","Basketball","2017-07-10T00:00:00.000","2017-07-10T00:00:00.000","0","31","0","0","0","0","0","31"
"Brooklyn","Sunset Park","Track","2017-07-10T00:00:00.000","2017-07-10T00:00:00.000","0","29","0","0","0","0","0","29"
