"borough","block","lot","address","zip_code","final_18_19_actual_av","tax_class","bldg_class","rpie_year","status","x_coordinate","ycoordinate","latitude","longitude","community_district","city_council_district","census_tract","bin","bbl","nta"
"Manhattan","8","39","32 PEARL STREET","10004","5982300","4","H3","2017","Nonfiler","980806","195484","40.703235","-74.012421","101","1","9","1078968","1000080039","Battery Park City-Lower Manhattan"
"Manhattan","17","1205","50 WEST STREET  #COMM2","10006","67511","4","RB","2017","Nonfiler","979940","197211","40.707975","-74.015546","101","1","13","1000000","1000177501","Battery Park City-Lower Manhattan"
"Manhattan","17","1207","50 WEST STREET  #COMM4","10006","76370","4","RB","2017","Nonfiler","979940","197211","40.707975","-74.015546","101","1","13","1000000","1000177501","Battery Park City-Lower Manhattan"
"Manhattan","17","1210","50 WEST STREET  #COMM7","10006","92295","4","RB","2017","Nonfiler","979940","197211","40.707975","-74.015546","101","1","13","1000000","1000177501","Battery Park City-Lower Manhattan"
"Manhattan","17","1213","50 WEST STREET  #COMM1","10006","68856","4","RB","2017","Nonfiler","979940","197211","40.707975","-74.015546","101","1","13","1000000","1000177501","Battery Park City-Lower Manhattan"
"Manhattan","17","1214","50 WEST STREET  #COMM1","10006","58203","4","RB","2017","Nonfiler","979940","197211","40.707975","-74.015546","101","1","13","1000000","1000177501","Battery Park City-Lower Manhattan"
"Manhattan","17","1215","50 WEST STREET  #COMM1","10006","76146","4","RB","2017","Nonfiler","979940","197211","40.707975","-74.015546","101","1","13","1000000","1000177501","Battery Park City-Lower Manhattan"
"Manhattan","19","19","46 TRINITY PLACE","10006","2022750","4","O5","2017","Nonfiler","980609","197050","40.707533","-74.013133","101","1","13","1000799","1000190019","Battery Park City-Lower Manhattan"
"Manhattan","24","1168","40 BROAD STREET  #COMM4B","10004","574718","4","RB","2017","Nonfiler","981108","196499","40.706021","-74.011332","101","1","9","1078985","1000247501","Battery Park City-Lower Manhattan"
"Manhattan","29","45","13 SOUTH WILLIAM STREET","10004","1344600","4","O5","2017","Nonfiler","981336","195995","40.704638","-74.01051","101","1","9","1000843","1000290045","Battery Park City-Lower Manhattan"
"Manhattan","30","33","42 WATER STREET","10004","650500","2A","S9","2017","Nonfiler","981452","195556","40.703433","-74.010091","101","1","9","1000857","1000300033","Battery Park City-Lower Manhattan"
"Manhattan","33","1001","99 WALL STREET  #COMMA","10005","657782","4","RK","2017","Nonfiler","982266","196127","40.705","-74.007156","101","1","7","1000865","1000337501","Battery Park City-Lower Manhattan"
"Manhattan","33","1002","99 WALL STREET  #COMMB","10005","113618","4","RK","2017","Nonfiler","982266","196127","40.705","-74.007156","101","1","7","1000865","1000337501","Battery Park City-Lower Manhattan"
"Manhattan","37","13","129 FRONT STREET","10005","4272750","4","H3","2017","Nonfiler","982484","196195","40.705187","-74.006369","101","1","7","1000873","1000370013","Battery Park City-Lower Manhattan"
"Manhattan","40","1001","73 PINE STREET  #1","10005","5521133","4","RB","2017","Nonfiler","982096","196572","40.706222","-74.007769","101","1","7","1001003","1000407501","Battery Park City-Lower Manhattan"
