"the_geom","boro","block","lot","bbl","type","shape_star","shape_stle"
"MULTIPOLYGON (((-73.95269532132335 40.63235788075958, -73.95268765767285 40.632315419917305, -73.9528374484527 40.6322991406311, -73.95284511232667 40.632339744592514, -73.95269532132335 40.63235788075958)))","3","27002","9997","3270029997","3","642.442077637","114.655738568"
"MULTIPOLYGON (((-73.99455450814115 40.702149316309615, -73.99446941740713 40.70212686789539, -73.99448670187822 40.70209012874188, -73.99457066491809 40.70211272027167, -73.99455450814115 40.702149316309615)))","3","27002","9995","3270029995","3","351.134719849","77.9461664675"
"MULTIPOLYGON (((-73.98755511217183 40.700617489621294, -73.98755209125608 40.70070059484727, -73.98751352178317 40.70069925611072, -73.98751754497651 40.700615960085884, -73.98755511217183 40.700617489621294)))","3","27002","9994","3270029994","3","320.473937988","81.7940514674"
"MULTIPOLYGON (((-73.98828964349742 40.70072474383702, -73.98824143195816 40.70072283343839, -73.98824708234015 40.70063968073603, -73.98829623330248 40.70064159212834, -73.98828964349742 40.70072474383702)))","3","27002","9993","3270029993","3","410.108215332","87.717552522"
"MULTIPOLYGON (((-73.98768715210741 40.70091219367471, -73.9876890364539 40.70087669299205, -73.98777262415156 40.70087979966348, -73.98777042629277 40.700915300314186, -73.98768715210741 40.70091219367471)))","3","27002","9992","3270029992","3","299.847961426","72.2151223648"
"MULTIPOLYGON (((-73.98771197953528 40.70042621520665, -73.98771448999966 40.70038952321075, -73.98780245974851 40.700392630328416, -73.98780026174731 40.700429083723634, -73.98771197953528 40.70042621520665)))","3","27002","9991","3270029991","3","326.301834106","75.6006728654"
"MULTIPOLYGON (((-73.9874162813165 40.700017688470226, -73.98741930650712 40.69991266297532, -73.98746413706236 40.699914193334315, -73.98746236371436 40.70001959988333, -73.9874162813165 40.700017688470226)), ((-73.98741297957102 40.70026511731049, -73.9874150027709 40.70015913896769, -73.98746033399385 40.70016066848231, -73.98745780918009 40.70026664677119, -73.98741297957102 40.70026511731049)), ((-73.98741550928517 40.70012728791085, -73.9874167768846 40.700050091650986, -73.98746160634899 40.70005162201076, -73.98746034002055 40.70012862736271, -73.98741550928517 40.70012728791085)))","3","27002","9990","3270029990","3","1315.92224121","285.243753774"
"MULTIPOLYGON (((-73.99754639183416 40.639267440911055, -73.99751081376944 40.63924599609702, -73.99757454393739 40.63918524036926, -73.99761051211736 40.6392060890285, -73.99754639183416 40.639267440911055)))","3","27002","9989","3270029989","3","357.525024414","82.0395133902"
"MULTIPOLYGON (((-73.98433543664339 40.69326683377659, -73.9842302601057 40.69326338845868, -73.98423277545052 40.69321802366622, -73.98433795196141 40.69322127897366, -73.98433543664339 40.69326683377659)))","3","27002","9988","3270029988","3","483.915145874","91.5379286199"
"MULTIPOLYGON (((-73.9750471053652 40.61999726821065, -73.97499738613911 40.62000297571292, -73.97497554290821 40.61988646071792, -73.97502619859004 40.61988242119247, -73.9750471053652 40.61999726821065)))","3","27000","247","3270000247","1","597.739898682","113.220855897"
"MULTIPOLYGON (((-74.01841952402233 40.636647592217344, -74.01633543129472 40.63607135715503, -74.0167445680251 40.635642527011576, -74.01697036611353 40.63579863729618, -74.01720086987702 40.63595070444721, -74.01743595461832 40.63609864617905, -74.0176754931588 40.636242382437906, -74.01791935590722 40.636381835445135, -74.01816741092996 40.63651692973936, -74.01841952402233 40.636647592217344)))","3","20014","9999","3200149999","2","52446.9976959","1400.90488989"
"MULTIPOLYGON (((-73.99088378489994 40.68614244010035, -73.99086774059236 40.68616596654871, -73.99083663841606 40.68615367656728, -73.99085268273181 40.68613014922271, -73.99088378489994 40.68614244010035)))","3","27000","236","3270000236","1","93.8612670898","38.7530058601"
"MULTIPOLYGON (((-73.98506890047814 40.69055535508191, -73.98505012130857 40.69054760913106, -73.9850599224057 40.690533842457924, -73.9850787015725 40.690541588407164, -73.98506890047814 40.69055535508191)))","3","27000","336","3270000336","1","33.7910003662","23.25611533"
"MULTIPOLYGON (((-73.98171580808788 40.69040738333594, -73.98171214010615 40.690409342269824, -73.98170955828324 40.69040654306451, -73.98171322626513 40.690404583230176, -73.98171580808788 40.69040738333594)))","3","27000","26","3270000026","1","1.54867553711","4.97782376753"
"MULTIPOLYGON (((-73.98729686211801 40.69233969476757, -73.98728981923773 40.692339693989965, -73.98728982016881 40.69233480960769, -73.9872968630486 40.692334810385326, -73.98729686211801 40.69233969476757)))","3","27000","174","3270000174","1","3.4755859375","7.4652081728"
"MULTIPOLYGON (((-73.99015580486581 40.69241564313395, -73.99013976240344 40.69241474755119, -73.99014086080753 40.69240333904662, -73.99015690326736 40.692404233728695, -73.99015580486581 40.69241564313395)))","3","27000","415","3270000415","1","18.5911865234","17.2569481973"
"MULTIPOLYGON (((-73.99190354950458 40.694142066117614, -73.99188007404842 40.69413342764576, -73.9918894993461 40.69411858876056, -73.99191297479825 40.69412722723046, -73.99190354950458 40.694142066117614)))","3","27000","24","3270000024","1","43.4198303223","26.4712696864"
"MULTIPOLYGON (((-73.98612365669264 40.69219627506478, -73.9861060488762 40.692196571010136, -73.98610555670375 40.69217959628085, -73.98612316451572 40.69217930033555, -73.98612365669264 40.69219627506478)))","3","27000","25","3270000025","1","30.2123718262","22.1399402999"
"MULTIPOLYGON (((-73.97879255969262 40.68378091904665, -73.97877130086718 40.68377105179731, -73.97878200471145 40.68375768654243, -73.9788032647169 40.68376755469052, -73.97879255969262 40.68378091904665)))","3","27000","27","3270000027","1","39.38331604","25.2174772135"
"MULTIPOLYGON (((-73.98310840826571 40.67732946390228, -73.98309593068355 40.67732507746391, -73.9831031547842 40.677313165616695, -73.98311563236444 40.67731755295479, -73.98310840826571 40.67732946390228)))","3","27000","28","3270000028","1","18.2220611572","17.1842610444"
"MULTIPOLYGON (((-73.9883220323573 40.67083289639607, -73.9883163996234 40.67083025191111, -73.9883202643377 40.67082548047273, -73.9883258970712 40.67082812585799, -73.9883220323573 40.67083289639607)))","3","27000","29","3270000029","1","3.74909973145","7.75602308731"
"MULTIPOLYGON (((-73.9930942797366 40.66520326073213, -73.99308912858946 40.665200784904464, -73.9930930600414 40.6651960412226, -73.99309821118841 40.66519851614957, -73.9930942797366 40.66520326073213)))","3","27000","30","3270000030","1","3.45364379883","7.46723018699"
"MULTIPOLYGON (((-73.99807690600124 40.66041526505444, -73.9980711460796 40.66041155302922, -73.99807512297953 40.660407973542966, -73.99808088290105 40.660411685567986, -73.99807690600124 40.66041526505444)))","3","27000","31","3270000031","1","3.57626342773","7.60352338129"
"MULTIPOLYGON (((-74.00354198963882 40.65515677357964, -74.00353809464993 40.65515502669655, -74.00354065914601 40.655151710914105, -74.00354455413483 40.65515345779707, -74.00354198963882 40.65515677357964)))","3","27000","32","3270000032","1","1.75843811035","5.3124566689"
"MULTIPOLYGON (((-74.01003384966171 40.64892008470653, -74.01002563794849 40.6489163329657, -74.01003150227308 40.64890888607398, -74.01003971398585 40.64891263871492, -74.01003384966171 40.64892008470653)))","3","27000","33","3270000033","1","8.40657043457","11.6417373225"
"MULTIPOLYGON (((-74.01404418710545 40.64506798622487, -74.01403278205093 40.645062558393924, -74.01404099416555 40.64505254633261, -74.01405239921903 40.64505797416278, -74.01404418710545 40.64506798622487)))","3","27000","34","3270000034","1","16.0515289307","16.0660997747"
"MULTIPOLYGON (((-74.01794823960586 40.641309671582235, -74.01794346409473 40.64130706172461, -74.01794730034256 40.64130298808116, -74.01795207585329 40.64130559703812, -74.01794823960586 40.641309671582235)))","3","27000","35","3270000035","1","2.97930908203","6.91536434467"
"MULTIPOLYGON (((-74.0233801561275 40.63498836508886, -74.02335839174972 40.63498438021285, -74.02336344773745 40.6349683544491, -74.02338521092821 40.63497233932443, -74.0233801561275 40.63498836508886)))","3","27000","36","3270000036","1","37.3056335449","24.4348613652"
"MULTIPOLYGON (((-74.02552647894241 40.62973310919392, -74.02550459081563 40.629729004980575, -74.02550995888453 40.62971238380054, -74.02553184700584 40.629716487112276, -74.02552647894241 40.62973310919392)))","3","27000","37","3270000037","1","39.0195159912","24.9862777821"
