"cmplnt_num","addr_pct_cd","boro_nm","cmplnt_fr_dt","cmplnt_fr_tm","cmplnt_to_dt","cmplnt_to_tm","crm_atpt_cptd_cd","hadevelopt","housing_psa","jurisdiction_code","juris_desc","ky_cd","law_cat_cd","loc_of_occur_desc","ofns_desc","parks_nm","patrol_boro","pd_cd","pd_desc","prem_typ_desc","rpt_dt","station_name","susp_age_group","susp_race","susp_sex","transit_district","vic_age_group","vic_race","vic_sex","x_coord_cd","y_coord_cd","latitude","longitude","lat_lon","geocoded_column"
"264551409","43","BRONX","2023-03-04T00:00:00.000","12:55:00",,"(null)","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","105","FELONY","INSIDE","ROBBERY","(null)","PATROL BORO BRONX","360","ROBBERY,ATM LOCATION","BANK","2023-03-04T00:00:00.000","(null)","UNKNOWN","BLACK","M",,"18-24","WHITE HISPANIC","M","1026061","239111","40.822882","-73.848929","(40.822882, -73.848929)","POINT (-73.848929 40.822882)"
"268554247H1",,"STATEN ISLAND","2023-05-19T00:00:00.000","15:52:00",,"(null)","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","101","FELONY","OUTSIDE","MURDER & NON-NEGL. MANSLAUGHTER","(null)","PATROL BORO STATEN ISLAND",,"(null)","(null)","2023-05-19T00:00:00.000","(null)","<18","BLACK","M",,"<18","BLACK","M",,,,,,
"270383297","52","BRONX","2023-06-24T00:00:00.000","14:35:00",,"(null)","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","578","VIOLATION","INSIDE","HARRASSMENT 2","(null)","PATROL BORO BRONX","638","HARASSMENT,SUBD 3,4,5","(null)","2023-06-24T00:00:00.000","(null)","25-44","BLACK","M",,"45-64","BLACK","F","1010975","255273","40.8673","-73.903374","(40.8673, -73.903374)","POINT (-73.903374 40.8673)"
"267154459","32","MANHATTAN","2022-04-01T00:00:00.000","15:00:00","2023-04-01T00:00:00.000","15:00:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","341","MISDEMEANOR","INSIDE","PETIT LARCENY","(null)","PATROL BORO MAN NORTH","307","LARCENY,PETIT BY DISHONEST EMP","OTHER","2023-04-17T00:00:00.000","(null)","25-44","ASIAN / PACIFIC ISLANDER","M",,"UNKNOWN","UNKNOWN","E","999439","236537","40.815904","-73.945123","(40.815904, -73.945123)","POINT (-73.945123 40.815904)"
"262715874","30","MANHATTAN","2022-12-29T00:00:00.000","00:00:00","2023-01-29T00:00:00.000","16:00:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","361","MISDEMEANOR","INSIDE","OFF. AGNST PUB ORD SENSBLTY &","(null)","PATROL BORO MAN NORTH","662","MATERIAL              OFFENSIV","RESIDENCE - APT. HOUSE","2023-01-29T00:00:00.000","(null)","18-24","BLACK","M",,"18-24","BLACK HISPANIC","F","999990","240313","40.826268","-73.943126","(40.826268, -73.943126)","POINT (-73.943126 40.826268)"
"265337497","90","BROOKLYN","2019-05-19T00:00:00.000","18:30:00","2019-05-19T00:00:00.000","18:35:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","578","VIOLATION","INSIDE","HARRASSMENT 2","(null)","PATROL BORO BKLYN NORTH","638","HARASSMENT,SUBD 3,4,5","RESIDENCE - APT. HOUSE","2023-03-19T00:00:00.000","(null)","UNKNOWN","WHITE","M",,"45-64","UNKNOWN","M","994736","196154","40.705069","-73.962177","(40.705069, -73.962177)","POINT (-73.962177 40.705069)"
"265417639","67","BROOKLYN","2020-08-20T00:00:00.000","09:00:00","2023-03-13T00:00:00.000","09:00:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","341","MISDEMEANOR","(null)","PETIT LARCENY","(null)","PATROL BORO BKLYN SOUTH","321","LARCENY,PETIT FROM AUTO","GAS STATION","2023-03-21T00:00:00.000","(null)","(null)","(null)","(null)",,"25-44","BLACK","F","1009295","177254","40.653165","-73.90974","(40.653165, -73.90974)","POINT (-73.90974 40.653165)"
"267991366","106","QUEENS","2001-05-01T00:00:00.000","06:00:00","2001-05-31T00:00:00.000","12:00:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","104","FELONY","INSIDE","RAPE","(null)","PATROL BORO QUEENS SOUTH","153","RAPE 3","RESIDENCE-HOUSE","2023-05-09T00:00:00.000","(null)","UNKNOWN","BLACK","M",,"25-44","BLACK","F","1028607","187930","40.682398279333","-73.8400721577516","(40.682398279333, -73.8400721577516)","POINT (-73.8400721577516 40.682398279333)"
"261204342","42","BRONX","2023-01-01T00:00:00.000","14:00:00","2023-01-01T00:00:00.000","14:40:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","578","VIOLATION","INSIDE","HARRASSMENT 2","(null)","PATROL BORO BRONX","638","HARASSMENT,SUBD 3,4,5","RESIDENCE - APT. HOUSE","2023-01-01T00:00:00.000","(null)","(null)","(null)","(null)",,"65+","UNKNOWN","M","1014170","241447","40.829342","-73.891884","(40.829342, -73.891884)","POINT (-73.891884 40.829342)"
"261359508","47","BRONX","2022-11-19T00:00:00.000","14:00:00","2022-12-10T00:00:00.000","17:30:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","109","FELONY","FRONT OF","GRAND LARCENY","(null)","PATROL BORO BRONX","458","LARCENY,GRAND FROM RESIDENCE/BUILDING,UNATTENDED, PACKAGE THEFT INSIDE","RESIDENCE-HOUSE","2023-01-04T00:00:00.000","(null)","UNKNOWN","UNKNOWN","U",,"45-64","BLACK","F","1024405","267089","40.899682","-73.854746","(40.899682, -73.854746)","POINT (-73.854746 40.899682)"
