"development_name","borough","account_name","location","meter_amr","meter_scope","tds","edp","rc_code","funding_source","amp","vendor_name","umis_bill_id","revenue_month","service_start_date","service_end_date","days","meter_number","estimated","current_charges","rate_class","bill_analyzed","consumption_mlbs"
"CAMPOS PLAZA I","MANHATTAN","CAMPOS PLAZA I/CAMPOS PLAZA II","CAMPOS PLAZA I BLD 02","AMR","CAMPOS PLAZA I ALL","257","544","M025700","SECTION 8","NY005012570P","CONSOLIDATED EDISON COMPANY OF NY","12170004","2023-01","2022-12-30T00:00:00.000","2023-01-31T00:00:00.000","32","632026-544","N","11811.36","SC3","Yes","377.73"
"CAMPOS PLAZA II","MANHATTAN","CAMPOS PLAZA I/CAMPOS PLAZA II","CAMPOS PLAZA I BLD 02","AMR","CAMPOS PLAZA II ALL","286","593","M028600","FEDERAL","NY005012570P","CONSOLIDATED EDISON COMPANY OF NY","12170004","2023-01",,,,"630022-593","N","15305697.23","SC3","Yes","842.13"
"CAMPOS PLAZA II","MANHATTAN","CAMPOS PLAZA I/CAMPOS PLAZA II","CAMPOS PLAZA I BLD 02","AMR","CAMPOS PLAZA II ALL","286","593","M028600","FEDERAL","NY005012570P","CONSOLIDATED EDISON COMPANY OF NY","12170004","2023-01",,,,"632026-593","N","7618407.02","SC3","Yes","419.17"
"CAMPOS PLAZA I","MANHATTAN","CAMPOS PLAZA I/CAMPOS PLAZA II","CAMPOS PLAZA I BLD 02","AMR","CAMPOS PLAZA I ALL","257","544","M025700","SECTION 8","NY005012570P","CONSOLIDATED EDISON COMPANY OF NY","12170004","2023-01","2022-12-30T00:00:00.000","2023-01-31T00:00:00.000","32","630022-544","N","23729.35","SC3","Yes","758.87"
"WSUR (SITE B) 74 WEST 92ND STREET","MANHATTAN","WEST SIDE URBAN RENEWAL (SITE B)","BLD 05","AMR",,"173","259","M017300","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","12170011","2023-01","2022-12-30T00:00:00.000","2023-01-31T00:00:00.000","32","7220047","N","11004.45","SC3","Yes","322.29"
"WSUR (SITE B) 74 WEST 92ND STREET","MANHATTAN","WEST SIDE URBAN RENEWAL (SITE B)","BLD 05","AMR",,"173","259","M017300","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","12170011","2023-01","2022-12-30T00:00:00.000","2023-01-31T00:00:00.000","32","7310022","N","52679.95","SC3","Yes","1542.85"
"FULTON","MANHATTAN","FULTON","BLD 01","AMR",,"136","252","M013600","FEDERAL","NY005001360P","CONSOLIDATED EDISON COMPANY OF NY","12170018","2023-01","2022-12-30T00:00:00.000","2023-01-31T00:00:00.000","32","64031","N","245786.25","SC3","Yes","8007"
"FULTON","MANHATTAN","FULTON","BLD 01","AMR",,"136","252","M013600","FEDERAL","NY005001360P","CONSOLIDATED EDISON COMPANY OF NY","12170018","2023-01","2022-12-30T00:00:00.000","2023-01-31T00:00:00.000","32","63121","N","113730.25","SC3","Yes","3705"
"WSUR (BROWNSTONES)","MANHATTAN","WEST SIDE URBAN RENEWAL (BROWNSTONES)","BLD 19","AMR",,"178","279","M017800","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","12170025","2023-01","2022-12-30T00:00:00.000","2023-01-31T00:00:00.000","32","622092","N","11106.71","SC3","Yes","312.51"
"WSUR (BROWNSTONES)","MANHATTAN","WEST SIDE URBAN RENEWAL (BROWNSTONES)","BLD 19","AMR",,"178","279","M017800","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","12170025","2023-01","2022-12-30T00:00:00.000","2023-01-31T00:00:00.000","32","621044","N","23303.44","SC3","Yes","655.69"
"WSUR (SITE C) 589 AMSTERDAM AVENUE","MANHATTAN","WEST SIDE URBAN RENEWAL (SITE C)","BLD 01","AMR",,"174","259","M017400","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","12170030","2023-01","2022-12-30T00:00:00.000","2023-01-31T00:00:00.000","32","7210262","N","10430.82","SC3","Yes","312.07"
"WSUR (SITE C) 589 AMSTERDAM AVENUE","MANHATTAN","WEST SIDE URBAN RENEWAL (SITE C)","BLD 01","AMR",,"174","259","M017400","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","12170030","2023-01","2022-12-30T00:00:00.000","2023-01-31T00:00:00.000","32","7310053","N","29535.33","SC3","Yes","883.64"
"WSUR (SITE A) 120 WEST 94TH STREET","MANHATTAN","WEST SIDE URBAN RENEWAL (SITE A)","BLD 03","AMR",,"151","259","M015100","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","12170036","2023-01","2022-12-30T00:00:00.000","2023-01-31T00:00:00.000","32","622030","N","6721.87","SC3","Yes","186.82"
"WSUR (SITE A) 120 WEST 94TH STREET","MANHATTAN","WEST SIDE URBAN RENEWAL (SITE A)","BLD 03","AMR",,"151","259","M015100","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","12170036","2023-01","2022-12-30T00:00:00.000","2023-01-31T00:00:00.000","32","621295","N","16078.95","SC3","Yes","446.88"
