"community_district","district_currently_eligible","district_currently_receiving","total_number_of_addresses","total_number_of_households","total_number_of_interested","percent_of_interested","total_number_of_addresses_1","percent_of_addresses_receiving","total_number_of_addresses_2","percent_of_addresses_waiting","total_number_of_addresses_3","percent_of_addresses_not","total_number_of_interested_1","percent_of_interested_1","total_number_households","percent_of_households","total_number_of_households_1","percent_of_households_waiting","total_number_of_households_2","percent_of_households_not"
"BK01","true","true","14904","92610","2543","0.171","2,078","13.9%","28","0.2%","437","2.9%","30525","0.33","12,096","13.1%","67","0.1%","18,362","19.8%"
"BK02","true","true","8205","70151","2562","0.312","2,211","26.9%","12","0.1%","339","4.1%","41320","0.589","18,104","25.8%","97","0.1%","23,119","33.0%"
"BK03","false","false","16865","73568","1798","0.107","NA","NA","NA","NA","NA","NA","11227","0.153","NA","NA","NA","NA","NA","NA"
"BK04","false","false","11183","45324","993","0.089","NA","NA","NA","NA","NA","NA","7267","0.16","NA","NA","NA","NA","NA","NA"
"BK05","false","false","20970","67699","182","0.009","NA","NA","NA","NA","NA","NA","3117","0.046","NA","NA","NA","NA","NA","NA"
"BK06","true","true","13819","55816","4886","0.354","4,655","33.7%","18","0.1%","213","1.5%","24522","0.439","18,180","32.6%","71","0.1%","6,271","11.2%"
"BK07","true","true","13316","42166","2336","0.175","2,215","16.6%","9","0.1%","112","0.8%","10757","0.255","7,628","18.1%","44","0.1%","3,085","7.3%"
"BK08","false","false","8024","48712","1347","0.168","NA","NA","NA","NA","NA","NA","18286","0.375","NA","NA","NA","NA","NA","NA"
"BK09","false","false","6956","40967","620","0.089","NA","NA","NA","NA","NA","NA","14334","0.35","NA","NA","NA","NA","NA","NA"
"BK10","true","false","17080","53630","1121","0.066","NA","NA","1,004","5.9%","117","0.7%","9146","0.171","NA","NA","2,320","4.3%","6,826","12.7%"
"BK11","true","false","21810","66719","387","0.018","NA","NA","357","1.6%","30","0.1%","2288","0.034","NA","NA","900","1.3%","1,388","2.1%"
"BK12","true","false","19331","62497","617","0.032","NA","NA","524","2.7%","93","0.5%","7852","0.126","NA","NA","2,230","3.6%","5,622","9.0%"
"BK13","true","false","6751","47398","149","0.022","NA","NA","109","1.6%","40","0.6%","12624","0.266","NA","NA","290","0.6%","12,334","26.0%"
"BK14","false","false","11695","63024","700","0.06","NA","NA","NA","NA","NA","NA","13831","0.219","NA","NA","NA","NA","NA","NA"
"BK15","true","false","23333","65323","496","0.021","NA","NA","449","1.9%","47","0.2%","5613","0.086","NA","NA","730","1.1%","4,883","7.5%"
"BK16","true","false","8130","39094","271","0.033","NA","NA","245","3.0%","26","0.3%","5094","0.13","NA","NA","757","1.9%","4,337","11.1%"
"BK17","false","false","18258","60208","296","0.016","NA","NA","NA","NA","NA","NA","3574","0.059","NA","NA","NA","NA","NA","NA"
"BK18","false","false","35597","65610","257","0.007","NA","NA","NA","NA","NA","NA","1180","0.018","NA","NA","NA","NA","NA","NA"
"BX01","true","false","4006","43509","92","0.023","NA","NA","65","1.6%","27","0.7%","4639","0.107","NA","NA","575","1.3%","4,064","9.3%"
"BX02","true","false","2990","20628","58","0.019","NA","NA","39","1.3%","19","0.6%","1433","0.069","NA","NA","179","0.9%","1,254","6.1%"
"BX03","true","false","3691","36126","63","0.017","NA","NA","48","1.3%","15","0.4%","1421","0.039","NA","NA","130","0.4%","1,291","3.6%"
"BX04","true","false","3364","54550","97","0.029","NA","NA","51","1.5%","46","1.4%","4444","0.081","NA","NA","1,366","2.5%","3,078","5.6%"
"BX05","true","false","3278","52332","60","0.018","NA","NA","34","1.0%","26","0.8%","1880","0.036","NA","NA","256","0.5%","1,624","3.1%"
"BX06","true","false","4148","34889","101","0.024","NA","NA","66","1.6%","35","0.8%","2215","0.063","NA","NA","370","1.1%","1,845","5.3%"
"BX07","true","false","3606","53276","151","0.042","NA","NA","56","1.6%","95","2.6%","8351","0.157","NA","NA","358","0.7%","7,993","15.0%"
"BX08","true","true","4987","45571","919","0.184","781","15.7%","1","0.0%","137","2.7%","21821","0.479","9,651","21.2%","1","0.0%","12,169","26.7%"
"BX09","true","false","11016","66237","222","0.02","NA","NA","184","1.7%","38","0.3%","19747","0.298","NA","NA","744","1.1%","19,003","28.7%"
"BX10","true","false","15217","50092","575","0.038","NA","NA","549","3.6%","26","0.2%","7124","0.142","NA","NA","1,942","3.9%","5,182","10.3%"
"BX11","true","false","12713","52758","397","0.031","NA","NA","354","2.8%","43","0.3%","14450","0.274","NA","NA","574","1.1%","13,876","26.3%"
"BX12","true","false","20639","55877","512","0.025","NA","NA","494","2.4%","18","0.1%","4212","0.075","NA","NA","950","1.7%","3,262","5.8%"
"MN01","true","false","1455","43777","238","0.164","NA","NA","89","6.1%","149","10.2%","32502","0.742","NA","NA","5,222","11.9%","27,280","62.3%"
"MN02","true","false","4703","60499","712","0.151","NA","NA","297","6.3%","415","8.8%","27355","0.452","NA","NA","8,257","13.6%","19,098","31.6%"
"MN03","true","false","4292","82928","755","0.176","NA","NA","247","5.8%","508","11.8%","35982","0.434","NA","NA","10,051","12.1%","25,931","31.3%"
"MN04","true","false","3415","87884","634","0.186","NA","NA","176","5.2%","458","13.4%","53987","0.614","NA","NA","10,838","12.3%","43,149","49.1%"
"MN05","true","false","2979","44525","191","0.064","NA","NA","51","1.7%","140","4.7%","23149","0.52","NA","NA","1,356","3.0%","21,793","48.9%"
"MN06","true","true","2802","105927","535","0.191","135","4.8%","4","0.1%","396","14.1%","67092","0.633","19,854","18.7%","28","0.0%","47,210","44.6%"
"MN07","true","true","4429","129211","1631","0.368","746","16.8%","2","0.0%","883","19.9%","86296","0.668","32,830","25.4%","14","0.0%","53,452","41.4%"
"MN08","true","false","5508","151545","1091","0.198","NA","NA","232","4.2%","859","15.6%","73930","0.488","NA","NA","7,809","5.2%","66,121","43.6%"
"MN09","true","false","2458","45245","586","0.238","NA","NA","290","11.8%","296","12.0%","21898","0.484","NA","NA","7,827","17.3%","14,071","31.1%"
"MN10","true","false","4334","60954","772","0.178","NA","NA","429","9.9%","343","7.9%","23452","0.385","NA","NA","3,919","6.4%","19,533","32.0%"
"MN11","true","false","3094","58580","354","0.114","NA","NA","163","5.3%","191","6.2%","23311","0.398","NA","NA","2,620","4.5%","20,691","35.3%"
"MN12","true","false","2732","73930","662","0.242","NA","NA","158","5.8%","504","18.4%","35386","0.479","NA","NA","8,155","11.0%","27,231","36.8%"
"QN01","false","false","19366","90963","1289","0.067","NA","NA","NA","NA","NA","NA","21550","0.237","NA","NA","NA","NA","NA","NA"
"QN02","true","false","10759","83062","922","0.086","NA","NA","702","6.5%","220","2.0%","29349","0.353","NA","NA","3,007","3.6%","26,342","31.7%"
"QN03","false","false","14663","53596","354","0.024","NA","NA","NA","NA","NA","NA","11215","0.209","NA","NA","NA","NA","NA","NA"
"QN04","false","false","11917","54042","144","0.012","NA","NA","NA","NA","NA","NA","3444","0.064","NA","NA","NA","NA","NA","NA"
"QN05","true","false","31457","66780","1613","0.051","NA","NA","1,537","4.9%","76","0.2%","5845","0.088","NA","NA","3,713","5.6%","2,132","3.2%"
"QN06","false","false","10314","58056","423","0.041","NA","NA","NA","NA","NA","NA","16111","0.278","NA","NA","NA","NA","NA","NA"
"QN07","true","false","34830","99566","996","0.029","NA","NA","912","2.6%","84","0.2%","10646","0.107","NA","NA","1,778","1.8%","8,868","8.9%"
"QN08","true","false","19388","59940","667","0.034","NA","NA","598","3.1%","69","0.4%","14521","0.242","NA","NA","2,480","4.1%","12,041","20.1%"
"QN09","true","false","20415","46403","575","0.028","NA","NA","512","2.5%","63","0.3%","5590","0.12","NA","NA","1,149","2.5%","4,441","9.6%"
"QN10","true","false","25140","39346","378","0.015","NA","NA","361","1.4%","17","0.1%","1278","0.032","NA","NA","707","1.8%","571","1.5%"
"QN11","true","false","25830","45313","1337","0.052","NA","NA","1,283","5.0%","54","0.2%","7513","0.166","NA","NA","2,234","4.9%","5,279","11.7%"
"QN12","false","false","41414","80707","355","0.009","NA","NA","NA","NA","NA","NA","7279","0.09","NA","NA","NA","NA","NA","NA"
"QN13","true","false","43673","61107","1114","0.026","NA","NA","1,083","2.5%","31","0.1%","3528","0.058","NA","NA","1,566","2.6%","1,962","3.2%"
"QN14","true","false","14960","46808","608","0.041","NA","NA","563","3.8%","45","0.3%","11868","0.254","NA","NA","3,057","6.5%","8,811","18.8%"
"SI01**","true","false","39432","66010","1681","0.043","NA","NA","833","2.1%","16","0.0%","7887","0.119","NA","NA","1,632","2.5%","247","0.4%"
"SI02","false","false","34960","49374","278","0.008","NA","NA","NA","NA","NA","NA","2840","0.058","NA","NA","NA","NA","NA","NA"
"SI03","false","false","50517","61609","278","0.006","NA","NA","NA","NA","NA","NA","949","0.015","NA","NA","NA","NA","NA","NA"
