"hvfhs_license_num","dispatching_base_num","pickup_datetime","dropoff_datetime","pulocationid","dolocationid","sr_flag"
"HV0005","B02510","2021-07-31T23:59:59.000","2021-08-01T00:40:36.000","17","241",
"HV0003","B02872","2021-07-31T23:59:59.000","2021-08-01T00:31:43.000","37","216",
"HV0003","B02872","2021-07-31T23:59:59.000","2021-08-01T00:10:30.000","71","91",
"HV0003","B02869","2021-07-31T23:59:59.000","2021-08-01T00:36:38.000","148","220",
"HV0003","B02764","2021-07-31T23:59:59.000","2021-08-01T00:18:20.000","136","51",
"HV0003","B02882","2021-07-31T23:59:59.000","2021-08-01T00:10:21.000","68","90",
"HV0005","B02510","2021-07-31T23:59:59.000","2021-08-01T00:10:52.000","17","97",
"HV0003","B02884","2021-07-31T23:59:59.000","2021-08-01T00:08:11.000","164","79",
"HV0003","B02872","2021-07-31T23:59:59.000","2021-08-01T00:09:46.000","238","141",
"HV0003","B02878","2021-07-31T23:59:59.000","2021-08-01T00:16:35.000","244","18",
"HV0005","B02510","2021-07-31T23:59:58.000","2021-08-01T00:14:38.000","247","250",
"HV0005","B02510","2021-07-31T23:59:58.000","2021-08-01T00:27:20.000","79","95",
"HV0005","B02510","2021-07-31T23:59:58.000","2021-08-01T00:13:07.000","71","35",
"HV0003","B02875","2021-07-31T23:59:58.000","2021-08-01T00:12:06.000","39","71",
"HV0003","B02764","2021-07-31T23:59:58.000","2021-08-01T00:18:46.000","63","225",
"HV0003","B02395","2021-07-31T23:59:58.000","2021-08-01T00:28:15.000","225","158",
"HV0003","B02864","2021-07-31T23:59:58.000","2021-08-01T00:11:31.000","107","48",
"HV0003","B02865","2021-07-31T23:59:57.000","2021-08-01T00:14:43.000","114","158",
"HV0003","B02872","2021-07-31T23:59:57.000","2021-08-01T00:53:23.000","33","222",
"HV0003","B02875","2021-07-31T23:59:57.000","2021-08-01T00:04:44.000","36","198",
"HV0003","B02887","2021-07-31T23:59:57.000","2021-08-01T00:12:41.000","134","131",
"HV0003","B02765","2021-07-31T23:59:57.000","2021-08-01T00:29:16.000","133","239",
"HV0003","B02764","2021-07-31T23:59:57.000","2021-08-01T00:28:07.000","95","188",
"HV0003","B02884","2021-07-31T23:59:57.000","2021-08-01T00:20:28.000","158","141",
"HV0003","B02682","2021-07-31T23:59:57.000","2021-08-01T00:27:07.000","170","185",
