"vendorid","tpep_pickup_datetime","tpep_dropoff_datetime","passenger_count","trip_distance","ratecodeid","store_and_fwd_flag","pulocationid","dolocationid","payment_type","fare_amount","extra","mta_tax","tip_amount","tolls_amount","improvement_surcharge","total_amount","congestion_surcharge"
"1","2021-01-01T00:30:10.000","2021-01-01T00:36:12.000","1","2.10","1","N","142","43","2","8","3","0.5","0","0","0.3","11.8","2.5"
"1","2021-01-01T00:51:20.000","2021-01-01T00:52:19.000","1","0.20","1","N","238","151","2","3","0.5","0.5","0","0","0.3","4.3","0"
"1","2021-01-01T00:43:30.000","2021-01-01T01:11:06.000","1","14.70","1","N","132","165","1","42","0.5","0.5","8.65","0","0.3","51.95","0"
"1","2021-01-01T00:15:48.000","2021-01-01T00:31:01.000","0","10.60","1","N","138","132","1","29","0.5","0.5","6.05","0","0.3","36.35","0"
"2","2021-01-01T00:31:49.000","2021-01-01T00:48:21.000","1","4.94","1","N","68","33","1","16.5","0.5","0.5","4.06","0","0.3","24.36","2.5"
"1","2021-01-01T00:16:29.000","2021-01-01T00:24:30.000","1","1.60","1","N","224","68","1","8","3","0.5","2.35","0","0.3","14.15","2.5"
"1","2021-01-01T00:00:28.000","2021-01-01T00:17:28.000","1","4.10","1","N","95","157","2","16","0.5","0.5","0","0","0.3","17.3","0"
"1","2021-01-01T00:12:29.000","2021-01-01T00:30:34.000","1","5.70","1","N","90","40","2","18","3","0.5","0","0","0.3","21.8","2.5"
"1","2021-01-01T00:39:16.000","2021-01-01T01:00:13.000","1","9.10","1","N","97","129","4","27.5","0.5","0.5","0","0","0.3","28.8","0"
"1","2021-01-01T00:26:12.000","2021-01-01T00:39:46.000","2","2.70","1","N","263","142","1","12","3","0.5","3.15","0","0.3","18.95","2.5"
"2","2021-01-01T00:15:52.000","2021-01-01T00:38:07.000","3","6.11","1","N","164","255","1","20.5","0.5","0.5","0","0","0.3","24.3","2.5"
"2","2021-01-01T00:46:36.000","2021-01-01T00:53:45.000","2","1.21","1","N","255","80","1","7","0.5","0.5","2.49","0","0.3","10.79","0"
"1","2021-01-01T00:10:46.000","2021-01-01T00:32:58.000","2","7.40","1","N","138","166","2","24.5","2.5","0.5","0","6.12","0.3","33.92","0"
"2","2021-01-01T00:31:06.000","2021-01-01T00:38:52.000","5","1.70","1","N","142","50","1","8","0.5","0.5","2.36","0","0.3","14.16","2.5"
"2","2021-01-01T00:42:11.000","2021-01-01T00:44:24.000","5","0.81","1","N","50","142","2","4.5","0.5","0.5","0","0","0.3","8.3","2.5"
"2","2021-01-01T00:17:48.000","2021-01-01T00:21:55.000","1","1.01","1","N","236","237","1","5.5","0.5","0.5","1","0","0.3","10.3","2.5"
"2","2021-01-01T00:33:38.000","2021-01-01T00:38:37.000","1","0.73","1","N","142","239","1","5.5","0.5","0.5","2.79","0","0.3","12.09","2.5"
"2","2021-01-01T00:47:56.000","2021-01-01T00:52:53.000","1","1.17","1","N","238","166","1","6.5","0.5","0.5","2.06","0","0.3","12.36","2.5"
"2","2021-01-01T00:04:21.000","2021-01-01T00:07:58.000","1","0.78","1","N","239","238","1","4.5","0.5","0.5","1.66","0","0.3","9.96","2.5"
"2","2021-01-01T00:18:36.000","2021-01-01T00:27:10.000","2","1.66","1","N","151","142","2","8.5","0.5","0.5","0","0","0.3","12.3","2.5"
"2","2021-01-01T00:43:41.000","2021-01-01T00:48:17.000","3","0.93","1","N","239","142","2","5.5","0.5","0.5","0","0","0.3","9.3","2.5"
"2","2021-01-01T00:56:30.000","2021-01-01T01:02:03.000","2","1.16","1","N","238","142","1","6.5","0.5","0.5","1.54","0","0.3","11.84","2.5"
"1","2021-01-01T00:16:27.000","2021-01-01T00:25:36.000","0","2.20","1","N","249","137","3","9","3","0.5","0","0","0.3","12.8","2.5"
"1","2021-01-01T00:37:59.000","2021-01-01T01:01:37.000","0","3.60","1","N","107","163","1","17","3","0.5","10","0","0.3","30.8","2.5"
"1","2021-01-01T00:37:40.000","2021-01-01T01:04:46.000","2","19.10","1","N","132","3","2","52","0.5","0.5","0","6.12","0.3","59.42","0"
"1","2021-01-01T00:54:24.000","2021-01-01T01:16:33.000","1","5.40","1","N","48","226","2","20","3","0.5","0","0","0.3","23.8","2.5"
"2","2021-01-01T00:34:37.000","2021-01-01T00:47:22.000","4","3.15","1","N","238","162","1","12.5","0.5","0.5","2","0","0.3","18.3","2.5"
"2","2021-01-01T00:06:24.000","2021-01-01T00:23:40.000","1","4.65","1","N","4","43","1","17","0.5","0.5","2","0","0.3","22.8","2.5"
"2","2021-01-01T00:35:17.000","2021-01-01T00:57:17.000","1","4.07","1","N","48","41","1","18","0.5","0.5","4.36","0","0.3","26.16","2.5"
"1","2021-01-01T00:24:30.000","2021-01-01T00:46:32.000","1","14.30","1","N","132","226","2","39","0.5","0.5","0","0","0.3","40.3","0"
"2","2021-01-01T00:13:44.000","2021-01-01T00:28:16.000","1","3.96","1","N","229","151","1","14.5","0.5","0.5","4.58","0","0.3","22.88","2.5"
"2","2021-01-01T00:36:08.000","2021-01-01T00:38:29.000","1","0.76","1","N","238","166","2","4.5","0.5","0.5","0","0","0.3","5.8","0"
"2","2021-01-01T00:43:03.000","2021-01-01T00:47:18.000","2","0.64","1","N","151","238","1","5","0.5","0.5","2.2","0","0.3","11","2.5"
"1","2021-01-01T00:06:08.000","2021-01-01T00:18:08.000","4","3.00","1","N","138","82","2","12","0.5","0.5","0","0","0.3","13.3","0"
"2","2021-01-01T00:19:57.000","2021-01-01T00:43:03.000","3","10.74","1","N","264","231","1","32.5","0.5","0.5","4","0","0.3","40.3","2.5"
"2","2021-01-01T00:20:13.000","2021-01-01T00:32:11.000","1","2.62","1","N","263","142","2","10.5","0.5","0.5","0","0","0.3","14.3","2.5"
"2","2021-01-01T00:55:13.000","2021-01-01T01:23:03.000","1","13.67","1","N","48","32","2","38","0.5","0.5","0","0","0.3","41.8","2.5"
"1","2021-01-01T00:25:09.000","2021-01-01T00:45:43.000","1","6.10","1","N","151","90","2","21","3","0.5","0","0","0.3","24.8","2.5"
