"oid","blockcode","geo_id","bctcb2010","borocode","nta_code","nta_name","borough","puma","maximum_residential_broadband","residential_isp_count_by","commerical_fiber_count_by"
"0","360610037001012","360610037001","10037001012","1","MN24","SoHo-TriBeCa-Civic Center-Little Italy","Manhattan","3810","1000","3","11"
"1","360610037002002","360610037002","10037002002","1","MN24","SoHo-TriBeCa-Civic Center-Little Italy","Manhattan","3810","1000","3","5"
"2","360610037003008","360610037003","10037003008","1","MN24","SoHo-TriBeCa-Civic Center-Little Italy","Manhattan","3810","940","2","6"
"3","360610037001000","360610037001","10037001000","1","MN24","SoHo-TriBeCa-Civic Center-Little Italy","Manhattan","3810","940","1","4"
"4","360610037001002","360610037001","10037001002","1","MN24","SoHo-TriBeCa-Civic Center-Little Italy","Manhattan","3810","940","2","4"
"5","360610037001011","360610037001","10037001011","1","MN24","SoHo-TriBeCa-Civic Center-Little Italy","Manhattan","3810","940","1","5"
"6","360610037001013","360610037001","10037001013","1","MN24","SoHo-TriBeCa-Civic Center-Little Italy","Manhattan","3810","940","2","6"
"7","360610037001016","360610037001","10037001016","1","MN24","SoHo-TriBeCa-Civic Center-Little Italy","Manhattan","3810","940","3","4"
"8","360610037001018","360610037001","10037001018","1","MN24","SoHo-TriBeCa-Civic Center-Little Italy","Manhattan","3810","940","2","2"
"9","360610037002004","360610037002","10037002004","1","MN24","SoHo-TriBeCa-Civic Center-Little Italy","Manhattan","3810","940","1","5"
"10","360610037002005","360610037002","10037002005","1","MN24","SoHo-TriBeCa-Civic Center-Little Italy","Manhattan","3810","1000","3","9"
"11","360610037003001","360610037003","10037003001","1","MN24","SoHo-TriBeCa-Civic Center-Little Italy","Manhattan","3810","1000","3","8"
"12","360610037003002","360610037003","10037003002","1","MN24","SoHo-TriBeCa-Civic Center-Little Italy","Manhattan","3810","1000","3","6"
"13","360610037003003","360610037003","10037003003","1","MN24","SoHo-TriBeCa-Civic Center-Little Italy","Manhattan","3810","1000","2","6"
"14","360610037003004","360610037003","10037003004","1","MN24","SoHo-TriBeCa-Civic Center-Little Italy","Manhattan","3810","940","2","6"
"15","360610037003006","360610037003","10037003006","1","MN24","SoHo-TriBeCa-Civic Center-Little Italy","Manhattan","3810","1000","3","7"
"16","360610037003011","360610037003","10037003011","1","MN24","SoHo-TriBeCa-Civic Center-Little Italy","Manhattan","3810","940","1","3"
"17","360610037003014","360610037003","10037003014","1","MN24","SoHo-TriBeCa-Civic Center-Little Italy","Manhattan","3810","940","1","6"
"18","360610037002003","360610037002","10037002003","1","MN24","SoHo-TriBeCa-Civic Center-Little Italy","Manhattan","3810","940","1","2"
"19","360610037003005","360610037003","10037003005","1","MN24","SoHo-TriBeCa-Civic Center-Little Italy","Manhattan","3810","940","1","3"
"20","360610037003007","360610037003","10037003007","1","MN24","SoHo-TriBeCa-Civic Center-Little Italy","Manhattan","3810","940","2","3"
"21","360610037003015","360610037003","10037003015","1","MN24","SoHo-TriBeCa-Civic Center-Little Italy","Manhattan","3810","940","2","7"
"22","360610037000002","360610037000","10037000002","1","MN24","SoHo-TriBeCa-Civic Center-Little Italy","Manhattan","3810",,,
"23","360610037001001","360610037001","10037001001","1","MN24","SoHo-TriBeCa-Civic Center-Little Italy","Manhattan","3810","940","1","3"
"24","360610037001004","360610037001","10037001004","1","MN24","SoHo-TriBeCa-Civic Center-Little Italy","Manhattan","3810","940","1","2"
"25","360610037001005","360610037001","10037001005","1","MN24","SoHo-TriBeCa-Civic Center-Little Italy","Manhattan","3810",,,
"26","360610037001006","360610037001","10037001006","1","MN24","SoHo-TriBeCa-Civic Center-Little Italy","Manhattan","3810","940","1","2"
"27","360610037001007","360610037001","10037001007","1","MN24","SoHo-TriBeCa-Civic Center-Little Italy","Manhattan","3810","940","2","3"
"28","360610037001008","360610037001","10037001008","1","MN24","SoHo-TriBeCa-Civic Center-Little Italy","Manhattan","3810","940","2","3"
"29","360610037001009","360610037001","10037001009","1","MN24","SoHo-TriBeCa-Civic Center-Little Italy","Manhattan","3810","940","1","2"
"30","360610037001010","360610037001","10037001010","1","MN24","SoHo-TriBeCa-Civic Center-Little Italy","Manhattan","3810","940","1","2"
"31","360610037001014","360610037001","10037001014","1","MN24","SoHo-TriBeCa-Civic Center-Little Italy","Manhattan","3810","940","1","2"
"32","360610037001015","360610037001","10037001015","1","MN24","SoHo-TriBeCa-Civic Center-Little Italy","Manhattan","3810","940","2","3"
"33","360610037001017","360610037001","10037001017","1","MN24","SoHo-TriBeCa-Civic Center-Little Italy","Manhattan","3810","940","2","3"
"34","360610037001019","360610037001","10037001019","1","MN24","SoHo-TriBeCa-Civic Center-Little Italy","Manhattan","3810","940","1","2"
"35","360610037002000","360610037002","10037002000","1","MN24","SoHo-TriBeCa-Civic Center-Little Italy","Manhattan","3810","940","1","2"
"36","360610037002001","360610037002","10037002001","1","MN24","SoHo-TriBeCa-Civic Center-Little Italy","Manhattan","3810","940","1","2"
"37","360610037003009","360610037003","10037003009","1","MN24","SoHo-TriBeCa-Civic Center-Little Italy","Manhattan","3810","940","1","2"
"38","360610037003010","360610037003","10037003010","1","MN24","SoHo-TriBeCa-Civic Center-Little Italy","Manhattan","3810","940","1","2"
"39","360610037003012","360610037003","10037003012","1","MN24","SoHo-TriBeCa-Civic Center-Little Italy","Manhattan","3810","940","1","2"
"40","360610037003013","360610037003","10037003013","1","MN24","SoHo-TriBeCa-Civic Center-Little Italy","Manhattan","3810","940","1","2"
"41","360610037003016","360610037003","10037003016","1","MN24","SoHo-TriBeCa-Civic Center-Little Italy","Manhattan","3810","940","1","2"
"42","360610037003017","360610037003","10037003017","1","MN24","SoHo-TriBeCa-Civic Center-Little Italy","Manhattan","3810","940","1","2"
"43","360610037000001","360610037000","10037000001","1","MN24","SoHo-TriBeCa-Civic Center-Little Italy","Manhattan","3810",,,
"44","360610037001003","360610037001","10037001003","1","MN24","SoHo-TriBeCa-Civic Center-Little Italy","Manhattan","3810","940","1","1"
"45","360610037002006","360610037002","10037002006","1","MN24","SoHo-TriBeCa-Civic Center-Little Italy","Manhattan","3810","940","2","2"
"46","360610037003000","360610037003","10037003000","1","MN24","SoHo-TriBeCa-Civic Center-Little Italy","Manhattan","3810","940","2","2"
"47","360610029004022","360610029004","10029004022","1","MN27","Chinatown","Manhattan","3809","940","1","8"
"48","360610029001002","360610029001","10029001002","1","MN27","Chinatown","Manhattan","3809","940","1","2"
"49","360610029001006","360610029001","10029001006","1","MN27","Chinatown","Manhattan","3809","940","2","3"
"50","360610029003003","360610029003","10029003003","1","MN27","Chinatown","Manhattan","3809","940","2","3"
"51","360610029003004","360610029003","10029003004","1","MN27","Chinatown","Manhattan","3809","940","2","3"
"52","360610029004012","360610029004","10029004012","1","MN27","Chinatown","Manhattan","3809","940","1","2"
"53","360610029004024","360610029004","10029004024","1","MN27","Chinatown","Manhattan","3809","940","1","2"
"54","360610029004008","360610029004","10029004008","1","MN27","Chinatown","Manhattan","3809","940","2","4"
"55","360610029001000","360610029001","10029001000","1","MN27","Chinatown","Manhattan","3809","940","2","4"
"56","360610029002000","360610029002","10029002000","1","MN27","Chinatown","Manhattan","3809","1000","2","3"
"57","360610029002002","360610029002","10029002002","1","MN27","Chinatown","Manhattan","3809","1000","3","5"
"58","360610029003000","360610029003","10029003000","1","MN27","Chinatown","Manhattan","3809","1000","3","4"
"59","360610029001001","360610029001","10029001001","1","MN27","Chinatown","Manhattan","3809","940","1","3"
"60","360610029001004","360610029001","10029001004","1","MN27","Chinatown","Manhattan","3809","940","1","2"
"61","360610029001005","360610029001","10029001005","1","MN27","Chinatown","Manhattan","3809","940","1","2"
"62","360610029002001","360610029002","10029002001","1","MN27","Chinatown","Manhattan","3809","940","1","3"
"63","360610029003001","360610029003","10029003001","1","MN27","Chinatown","Manhattan","3809","940","2","3"
"64","360610029003002","360610029003","10029003002","1","MN27","Chinatown","Manhattan","3809","940","2","3"
"65","360610029004000","360610029004","10029004000","1","MN27","Chinatown","Manhattan","3809","940","1","2"
"66","360610029004001","360610029004","10029004001","1","MN27","Chinatown","Manhattan","3809","940","1","2"
"67","360610029004002","360610029004","10029004002","1","MN27","Chinatown","Manhattan","3809","940","2","3"
"68","360610029004003","360610029004","10029004003","1","MN27","Chinatown","Manhattan","3809","940","1","2"
"69","360610029004004","360610029004","10029004004","1","MN27","Chinatown","Manhattan","3809","940","2","3"
"70","360610029004005","360610029004","10029004005","1","MN27","Chinatown","Manhattan","3809","940","2","3"
"71","360610029004006","360610029004","10029004006","1","MN27","Chinatown","Manhattan","3809","940","1","2"
"72","360610029004007","360610029004","10029004007","1","MN27","Chinatown","Manhattan","3809","940","2","3"
"73","360610029004009","360610029004","10029004009","1","MN27","Chinatown","Manhattan","3809","940","1","2"
"74","360610029004010","360610029004","10029004010","1","MN27","Chinatown","Manhattan","3809","940","1","2"
"75","360610029004011","360610029004","10029004011","1","MN27","Chinatown","Manhattan","3809","940","1","2"
"76","360610029004013","360610029004","10029004013","1","MN27","Chinatown","Manhattan","3809","940","1","2"
"77","360610029004014","360610029004","10029004014","1","MN27","Chinatown","Manhattan","3809","940","2","3"
"78","360610029004015","360610029004","10029004015","1","MN27","Chinatown","Manhattan","3809","940","1","2"
"79","360610029004017","360610029004","10029004017","1","MN27","Chinatown","Manhattan","3809","940","1","2"
"80","360610029004018","360610029004","10029004018","1","MN27","Chinatown","Manhattan","3809","940","1","2"
"81","360610029004019","360610029004","10029004019","1","MN27","Chinatown","Manhattan","3809","940","1","2"
"82","360610029004020","360610029004","10029004020","1","MN27","Chinatown","Manhattan","3809","940","1","2"
"83","360610029004021","360610029004","10029004021","1","MN27","Chinatown","Manhattan","3809","940","1","2"
"84","360610029004023","360610029004","10029004023","1","MN27","Chinatown","Manhattan","3809","940","1","2"
"85","360610029004026","360610029004","10029004026","1","MN27","Chinatown","Manhattan","3809","940","1","2"
"86","360610029004027","360610029004","10029004027","1","MN27","Chinatown","Manhattan","3809","940","1","2"
"87","360610029001003","360610029001","10029001003","1","MN27","Chinatown","Manhattan","3809","940","1","1"
"88","360610029004016","360610029004","10029004016","1","MN27","Chinatown","Manhattan","3809","940","1","1"
"89","360610029004025","360610029004","10029004025","1","MN27","Chinatown","Manhattan","3809","940","1","1"
"90","360610018001002","360610018001","10018001002","1","MN27","Chinatown","Manhattan","3809","940","2","3"
"91","360610018002002","360610018002","10018002002","1","MN27","Chinatown","Manhattan","3809","940","1","2"
"92","360610018005004","360610018005","10018005004","1","MN27","Chinatown","Manhattan","3809","940","1","2"
"93","360610018004001","360610018004","10018004001","1","MN27","Chinatown","Manhattan","3809","940","2","3"
"94","360610018002000","360610018002","10018002000","1","MN27","Chinatown","Manhattan","3809","1000","3","4"
"95","360610018003002","360610018003","10018003002","1","MN27","Chinatown","Manhattan","3809","1000","3","5"
"96","360610018001001","360610018001","10018001001","1","MN27","Chinatown","Manhattan","3809","940","2","3"
"97","360610018001003","360610018001","10018001003","1","MN27","Chinatown","Manhattan","3809","940","1","3"
"98","360610018002001","360610018002","10018002001","1","MN27","Chinatown","Manhattan","3809","940","1","2"
"99","360610018002003","360610018002","10018002003","1","MN27","Chinatown","Manhattan","3809","940","1","2"
"100","360610018002004","360610018002","10018002004","1","MN27","Chinatown","Manhattan","3809","940","1","2"
"101","360610018003000","360610018003","10018003000","1","MN27","Chinatown","Manhattan","3809","940","2","3"
"102","360610018003001","360610018003","10018003001","1","MN27","Chinatown","Manhattan","3809","940","2","4"
"103","360610018003003","360610018003","10018003003","1","MN27","Chinatown","Manhattan","3809","940","1","2"
"104","360610018003004","360610018003","10018003004","1","MN27","Chinatown","Manhattan","3809","940","1","2"
"105","360610018004000","360610018004","10018004000","1","MN27","Chinatown","Manhattan","3809","940","1","2"
"106","360610018005000","360610018005","10018005000","1","MN27","Chinatown","Manhattan","3809","940","1","2"
"107","360610018005001","360610018005","10018005001","1","MN27","Chinatown","Manhattan","3809","940","2","3"
"108","360610018005002","360610018005","10018005002","1","MN27","Chinatown","Manhattan","3809","940","1","2"
