"objectid","dbh","tpstructure","tpcondition","stumpdiameter","plantingspaceglobalid","geometry","globalid","genusspecies","createddate","updateddate","planteddate","riskrating","riskratingdate","location"
"86823","20","Full","Excellent",,"E814CD37-9F53-4D79-AF86-3B454F9D29B9","POINT (-73.8165687459639202 40.7162906546850749)","2B457A4C-E0E4-4E17-81C4-A5449F51C804","Acer nigrum - black maple","2015-02-28 05:00:00.0000000","2016-10-20 17:43:53.0000000",,,,"POINT (-73.81656874596392 40.716290654685075)"
"87623","10","Retired","Good",,"A644AB79-A3CB-4F7F-923B-F308E615CCD4","POINT (-73.9384803613519495 40.8129927791458300)","37195E1A-A7EE-4AA4-8389-19A0ED5C46F7","Fraxinus pennsylvanica - Green ash","2015-03-03 05:00:00.0000000","2019-09-18 13:12:55.0000000",,,,"POINT (-73.93848036135195 40.81299277914583)"
"88023","24","Retired","Poor",,"21431016-EDB8-4A0B-B122-673125800C87","POINT (-73.8324418090213044 40.8876250431554311)","6BA8E72B-1901-4EF3-ABFF-D11680AB4A9B","Acer platanoides - Norway maple","2015-03-03 05:00:00.0000000","2018-03-27 14:00:42.0000000",,,,"POINT (-73.8324418090213 40.88762504315543)"
"88823","10","Full","Good",,"96FB6C55-612F-466D-9449-85A3CD2178E1","POINT (-74.2090363523908820 40.5195778140891463)","79A5DBAF-F305-4DA1-A4B1-7A8C8D085435","Pyrus calleryana - Callery pear","2015-03-04 05:00:00.0000000","2016-10-12 15:13:11.0000000",,,,"POINT (-74.20903635239088 40.519577814089146)"
"88824","10","Retired","Dead",,"95F4FC38-D56B-4EF3-845D-C84B3CE54961","POINT (-73.9802780199124044 40.7429717396309101)","182F6647-D9C1-4A45-ADA0-9ADEFD1ECC60","Gleditsia triacanthos var. inermis - Thornless honeylocust","2015-03-04 05:00:00.0000000","2016-10-24 02:50:43.0000000",,,,"POINT (-73.9802780199124 40.74297173963091)"
"88825","19","Retired","Fair",,"F31930BA-47FD-4D9F-B8A2-7A4FA4707D16","POINT (-73.7358905438058656 40.7359038858921565)","394AEC59-B91C-45AD-93FB-2996B0C09747","Fraxinus americana - white ash","2015-03-04 05:00:00.0000000","2017-04-12 09:35:50.0000000",,,,"POINT (-73.73589054380587 40.73590388589216)"
"89223","12","Retired","Critical",,"ED1D6BF0-C0E7-49BB-9A1A-85CBF8558ACD","POINT (-73.9659743408915489 40.7951640077838036)","8717EC83-F165-495A-A1AA-1064173A681F","Zelkova serrata - Japanese zelkova","2015-03-04 05:00:00.0000000","2020-01-08 16:27:00.0000000",,,,"POINT (-73.96597434089155 40.795164007783804)"
"89225","8","Retired","Dead",,"6AC474F7-0D16-43EC-A1F9-8C9B6C14F434","POINT (-74.1308802402941325 40.6067268431843829)","FD617E56-130C-4E43-A76D-3AF989E37A2F","Acer platanoides - Norway maple","2015-03-04 05:00:00.0000000","2017-09-11 08:51:17.0000000",,,,"POINT (-74.13088024029413 40.60672684318438)"
"89625","6","Retired","Unknown",,"8E628B41-0A1D-4948-AAE3-F0B3A2A8AFE8","POINT (-73.9647448123273392 40.8042789810823763)","380AB840-F0E9-4B14-A4D6-A99B8861065E","Tilia cordata - littleleaf linden","2015-03-04 05:00:00.0000000","2016-12-28 12:18:15.0000000",,,,"POINT (-73.96474481232734 40.804278981082376)"
"89626","15","Full","Fair",,"C6526419-CD64-4D8D-9288-C7967124B9B4","POINT (-73.8528787689449615 40.6782280161455816)","8A487A6B-146A-4DE4-9AEE-835492B1E348","Abies alba - silver fir","2015-03-04 05:00:00.0000000",,,,,"POINT (-73.85287876894496 40.67822801614558)"
"89627","19","Full","Fair",,"BF1A2621-311E-4865-BF58-566D1F722451","POINT (-73.8571924870068415 40.6803495901173520)","B917833B-7799-47B2-875C-916FFB7155C8","Fraxinus - Ash","2015-03-04 05:00:00.0000000","2023-07-11 13:38:01.0000000",,"6","2023-07-11 13:38:01.0000000","POINT (-73.85719248700684 40.68034959011735)"
"89628","10","Full","Fair",,"7E294FBE-2F67-45FF-806B-DC9C381CB81B","POINT (-73.8390120648608672 40.6505539208762059)","55904A02-F199-4FFE-9769-3BB71C6464FC","Pyrus calleryana - Callery pear","2015-03-04 05:00:00.0000000","2017-05-09 09:27:12.0000000",,,,"POINT (-73.83901206486087 40.650553920876206)"
"89629","3","Full","Excellent",,"E4E63A70-FD87-4D95-8A1C-B135CD7CFBBF","POINT (-73.9543048147436224 40.7687376084429971)","D556E89C-D639-45AF-998B-F6819D020B18","Gleditsia triacanthos var. inermis - Thornless honeylocust","2015-03-04 05:00:00.0000000","2019-02-13 19:23:00.0000000","2016-05-17 04:00:00.0000000","10","2018-12-07 09:51:00.0000000","POINT (-73.95430481474362 40.768737608443)"
"89630","7","Full","Good",,"E334F82D-8311-4679-92CF-653F87E7D424","POINT (-73.8572920760431657 40.6876683961995766)","D2CBE038-AFF7-45D5-BEE0-E11A9884447B","Gleditsia triacanthos var. inermis - Thornless honeylocust","2015-03-04 05:00:00.0000000",,,,,"POINT (-73.85729207604317 40.68766839619958)"
"89631","18","Stump","Dead",,"6D5A04A7-CF2F-48B1-92DA-77D6E0C68907","POINT (-73.9188914758878042 40.8660993566809907)","7849F96D-8739-4FD6-A430-6EAA7256D512","Styphnolobium japonicum - Japanese pagoda tree","2015-03-04 05:00:00.0000000","2023-03-28 12:27:57.0000000",,"8","2022-12-19 17:14:00.0000000","POINT (-73.9188914758878 40.86609935668099)"
