"vendorid","lpep_pickup_datetime","lpep_dropoff_datetime","store_and_fwd_flag","ratecodeid","pulocationid","dolocationid","passenger_count","trip_distance","fare_amount","extra","mta_tax","tip_amount","tolls_amount","ehail_fee","improvement_surcharge","total_amount","payment_type","trip_type","congestion_surcharge"
"2","2019-02-01T00:10:19.000","2019-02-01T00:21:43.000","N","1","92","135","1","2.79","11","0.5","0.5","3.08","0",,"0.3","15.38","1","1","0"
"2","2019-02-01T00:02:16.000","2019-02-01T00:24:37.000","N","1","66","36","1","4.46","17.5","0.5","0.5","3.76","0",,"0.3","22.56","1","1","0"
"2","2019-02-01T00:37:19.000","2019-02-01T00:43:07.000","N","1","255","112","1","1.26","6","0.5","0.5","1.46","0",,"0.3","8.76","1","1","0"
"1","2019-02-01T00:10:10.000","2019-02-01T00:12:21.000","N","1","75","238","1","0.70","4","0.5","0.5","0","0",,"0.3","5.3","2","1","0"
"1","2019-02-01T00:30:19.000","2019-02-01T00:46:14.000","N","1","75","48","1","3.90","14.5","0.5","0.5","0","0",,"0.3","15.8","2","1","0"
"1","2019-02-01T00:43:46.000","2019-02-01T00:46:08.000","N","1","7","7","1","0.60","4","0.5","0.5","1","0",,"0.3","6.3","1","1","0"
"2","2019-02-01T00:32:56.000","2019-02-01T00:45:10.000","N","1","255","37","1","2.31","10.5","0.5","0.5","2.36","0",,"0.3","14.16","1","1","0"
"2","2019-02-01T00:55:28.000","2019-02-01T01:13:53.000","N","1","80","192","1","8.70","26","0.5","0.5","0","0",,"0.3","27.3","2","1","0"
"2","2019-02-01T00:26:19.000","2019-02-01T00:37:58.000","N","1","265","248","3","6.51","19.5","0.5","0.5","0","0",,"0.3","20.8","2","1","0"
"2","2019-02-01T00:59:41.000","2019-02-01T01:04:06.000","N","1","82","83","1","1.01","5.5","0.5","0.5","2.04","0",,"0.3","8.84","1","1","0"
"2","2019-02-01T00:13:06.000","2019-02-01T00:18:47.000","N","1","74","159","1","1.62","7","0.5","0.5","0","0",,"0.3","8.3","2","1","0"
"2","2019-02-01T00:23:40.000","2019-02-01T00:27:00.000","N","1","247","42","1","0.65","4.5","0.5","0.5","0","0",,"0.3","5.8","2","1","0"
"2","2019-02-01T00:41:21.000","2019-02-01T00:56:58.000","N","1","42","161","1","5.65","17.5","0.5","0.5","0","0",,"0.3","18.8","1","1","0"
