"summons_number","plate_id","registration_state","plate_type","issue_date","violation_code","vehicle_body_type","vehicle_make","issuing_agency","street_code1","street_code2","street_code3","vehicle_expiration_date","violation_location","violation_precinct","issuer_precinct","issuer_code","issuer_command","issuer_squad","violation_time","time_first_observed","violation_county","violation_in_front_of_or","house_number","street_name","intersecting_street","date_first_observed","law_section","sub_division","violation_legal_code","days_parking_in_effect","from_hours_in_effect","to_hours_in_effect","vehicle_color","unregistered_vehicle","vehicle_year","meter_number","feet_from_curb","violation_post_code","violation_description","no_standing_or_stopping","hydrant_violation","double_parking_violation"
"1442479747","HCP7926","NY","PAS","2018-07-16T00:00:00.000","21","SDN","ME/BE","S","0","0","0","20191023","73","73","0","637090","KN16","0000","0753A",,"K",,,"N/S TRUXTON ST","W/O CONWAY ST","0","408","D1",,"YBBYBBB","0730A","0800A","RED","0","2016","-","0",,,,,
"1442479759","HSZ2472","NY","PAS","2018-07-13T00:00:00.000","21","SUBN","ME/BE","S","49230","56630","73380","20190717","73","73","0","637090","KN16","0000","1157A",,"K","F","343","HERZL ST",,"0","408","D1",,"BYBBYBB","1130A","0100P","TAN","0","2003","-","0",,,,,
"1442479772","HYJ1988","NY","PAS","2018-07-13T00:00:00.000","21","SUBN","HONDA","S","12430","56630","0","20200226","73","73","0","637090","KN16","0000","1205P",,"K",,,"AMBOY ST","LIVONIA AVE","0","408","D1",,"BYBBYBB","1130A","0100P","GREY","0","2018","-","0",,,,,
"1442480397","HNV6246","NY","PAS","2018-07-13T00:00:00.000","21","SUBN","TOYOT","S","83730","74730","72030","20200125","73","73","0","686917","KN16","0000","0916A",,"K","O","410","SUTTER AVE",,"0","408","D1",,"BYBBYBB","0900A","1030A","BLUE","0","2005","-","0",,,,,
"1442480403","HWG4025","NY","PAS","2018-07-13T00:00:00.000","21","SUBN","HYUND","S","83730","74730","72030","20191103","73","73","0","686917","KN16","0000","0918A",,"K","O","410","SUTTER AVE",,"0","408","D1",,"BYBBYBB","0900A","1030A","GREEN","0","2010","-","0",,,,,
"1442480415","KPB2420","PA","PAS","2018-07-13T00:00:00.000","21","SDN","HONDA","S","83730","26130","74730","0","73","73","0","686917","KN16","0000","0922A",,"K","O","382","SUTTER AVE",,"0","408","D1",,"BYBBYBB","0900A","1030A","RED","0","0","-","0",,,,,
"1442480427","KTN9364","PA","PAS","2018-07-13T00:00:00.000","21","SDN","BMW","S","19830","82230","72030","0","73","73","0","686917","KN16","0000","0930A",,"K","F","418","BLAKE AVE",,"0","408","D1",,"BYBBYBB","0900A","1030A","BLACK","0","0","-","0",,,,,
"1442480439","HRC4509","NY","PAS","2018-07-13T00:00:00.000","21","SDN","KIA","S","19830","72030","53935","20190402","73","73","0","686917","KN16","0000","0938A",,"K","F","444","BLAKE AVE",,"0","408","D1",,"BYBBYBB","0900A","1030A","SILVE","0","2017","-","0",,,,,
"1442480506","HYH2162","NY","PAS","2018-07-13T00:00:00.000","21","SUBN","MITSU","S","26130","56630","73380","20200228","73","73","0","686917","KN16","0000","1155A",,"K","F","395","CHRISTOPHER AVE",,"0","408","D1",,"BYBBYBB","1130A","0100P","BLUE","0","2018","-","0",,,,,
"1442480531","GSZ9713","NY","PAS","2018-07-17T00:00:00.000","21","SUBN","PLYMO","S","49230","19830","34330","20190401","73","73","0","686917","KN16","0000","0911A",,"K","F","227","HERZL STREET",,"0","408","D1",,"BYBBYBB","0900A","1030A","BLUE","0","1993","-","0",,,,,
"1442480555","HYV2225","NY","PAS","2018-07-17T00:00:00.000","21","SDN","HYUND","S","73470","19830","34330","20200309","73","73","0","686917","KN16","0000","0932A",,"K","F","636","ROCKAWAY AVENUE",,"0","408","D1",,"BYBBYBB","0900A","1030A","WHITE","0","2015","-","0",,,,,
"1442480567","GKE6491","NY","PAS","2018-07-17T00:00:00.000","21","SDN","HONDA","S","73470","34330","56630","20190830","73","73","0","686917","KN16","0000","0936A",,"K","F","666","ROCKAWAY AVENUE",,"0","408","D1",,"BYBBYBB","0900A","1030A","BLACK","0","2013","-","0",,,,,
"1442480634","GTH2823","TX","PAS","2018-07-17T00:00:00.000","21","SUBN","HONDA","S","30930","86630","41530","0","71","71","0","637090","KN16","0000","1227P",,"K","F","836","CROWN ST",,"0","408","D1",,"BYBBYBB","1200P","0130P","GREY","0","0","-","0",,,,,
"1442480737","GND101","IL","PAS","2018-07-19T00:00:00.000","21","SDN","NISSA","S","72230","18630","73690","0","71","71","0","637090","KN16","0000","0940A",,"K","O","1102","PRESIDENT ST",,"0","408","D1",,"YBBYBBB","0930A","1100A","BLACK","0","0","-","0",,,,,
