"vendorid","tpep_pickup_datetime","tpep_dropoff_datetime","passenger_count","trip_distance","ratecodeid","store_and_fwd_flag","pulocationid","dolocationid","payment_type","fare_amount","extra","mta_tax","tip_amount","tolls_amount","improvement_surcharge","total_amount"
"2","2017-01-29T02:59:50.000","2017-01-29T03:18:04.000","2","5.89","1","N","148","75","1","20","0.5","0.5","4.26","0","0.3","25.56"
"1","2017-01-29T02:59:51.000","2017-01-29T03:07:24.000","4","0.80","1","N","144","45","1","6.5","0.5","0.5","0","0","0.3","7.8"
"2","2017-01-29T02:59:51.000","2017-01-29T03:09:39.000","1","2.71","1","N","137","141","1","10","0.5","0.5","1","0","0.3","12.3"
"2","2017-01-29T02:59:51.000","2017-01-29T03:22:13.000","3","10.32","1","N","232","42","2","31","0.5","0.5","0","0","0.3","32.3"
"2","2017-01-29T02:59:51.000","2017-01-29T03:13:13.000","5","7.36","1","N","233","42","2","21.5","0.5","0.5","0","0","0.3","22.8"
"2","2017-01-29T02:59:51.000","2017-01-29T03:22:06.000","1","9.53","1","N","246","243","2","29","0.5","0.5","0","0","0.3","30.3"
"1","2017-01-29T02:59:52.000","2017-01-29T03:07:53.000","1","2.00","1","N","263","229","1","8.5","0.5","0.5","1.95","0","0.3","11.75"
"2","2017-01-29T02:59:52.000","2017-01-29T03:07:51.000","1","2.16","1","N","148","256","1","9.5","0.5","0.5","2.16","0","0.3","12.96"
"1","2017-01-29T02:59:53.000","2017-01-29T03:11:15.000","2","2.80","1","N","249","50","1","11","0.5","0.5","3.05","0","0.3","15.35"
"2","2017-01-29T02:59:53.000","2017-01-29T03:15:48.000","5","3.44","1","N","148","246","1","13.5","0.5","0.5","2","0","0.3","16.8"
"1","2017-01-29T02:59:54.000","2017-01-29T03:18:46.000","2","4.70","1","N","68","262","1","17.5","0.5","0.5","3.75","0","0.3","22.55"
"2","2017-01-29T02:59:54.000","2017-01-29T03:07:41.000","6","2.84","1","N","170","236","2","10","0.5","0.5","0","0","0.3","11.3"
"2","2017-01-29T02:59:54.000","2017-01-29T03:12:52.000","5","1.87","1","N","158","137","1","10.5","0.5","0.5","2.36","0","0.3","14.16"
"2","2017-01-29T02:59:55.000","2017-01-29T03:18:25.000","1","3.40","1","N","48","211","1","14.5","0.5","0.5","3.16","0","0.3","18.96"
"2","2017-01-29T02:59:55.000","2017-01-29T03:11:30.000","2","3.18","1","N","142","41","1","13","0.5","0.5","2.86","0","0.3","17.16"
"2","2017-01-29T02:59:56.000","2017-01-29T03:32:43.000","2","6.74","1","N","90","80","1","25.5","0.5","0.5","5.36","0","0.3","32.16"
"2","2017-01-29T02:59:56.000","2017-01-29T03:14:17.000","1","4.60","1","N","226","75","2","15.5","0.5","0.5","0","0","0.3","16.8"
"2","2017-01-29T02:59:56.000","2017-01-29T03:06:16.000","6","1.29","1","N","100","163","2","6.5","0.5","0.5","0","0","0.3","7.8"
"2","2017-01-29T02:59:56.000","2017-01-29T03:14:27.000","1","2.83","1","N","148","255","1","12.5","0.5","0.5","5","0","0.3","18.8"
"2","2017-01-29T02:59:57.000","2017-01-29T03:11:21.000","1","1.97","1","N","233","48","1","10","0.5","0.5","1","0","0.3","12.3"
