"order_number","record_type","order_type","borough","on_street","on_street_suffix","from_street","from_street_suffix","to_street","to_street_suffix","side_of_street","order_completed_on_date","sign_code","sign_description","sign_size","sign_design_voided_on_date","sign_location","distance_from_intersection","arrow_direction","facing_direction","sheeting_type","support","sign_notes","sign_x_coord","sign_y_coord"
"S-396086","Current","S-","Staten Island","DAVID PLACE",,"DEAD END",,"GRANITE AVENUE",,"S","2016-09-06T00:00:00.000","PS-2G","NO PARKING ANYTIME <-> (SUPERSEDES SP-854C)","018 X 012",,,"125",,,"PNTD","PNTD","ON WEST LEG OF DAVIS PL","942808","168912"
"S-505202","Current","S-","Queens","80 STREET",,"68 AVENUE",,"68 ROAD",,"W","2017-02-14T00:00:00.000","SI-1879G","LOCAL MTA BUS DESTINATION PANEL (TEXT TO BE MODIFIED AS REQUIRED)","18.12 X 6",,,"208",,,"PNTD","PNTD","JAMAICA","1020081","198212"
"S-395045","Current","S-","Brooklyn","OCEAN PARKWAY","E S/R","CATON AVENUE",,"PARK CIRCLE",,"W","2016-10-28T00:00:00.000","PS-40BA","NO PARKING (SANITATION BROOM SYMBOL) THURSDAY 11:30AM-1PM --> (SUPERSEDES SP-463CA)","018 X 012",,,"1009","South",,"PNTD","PNTD",,"991714","176188"
"S-361031","Current","S-","Brooklyn","PINE STREET",,"DUMONT AVENUE",,"BLAKE AVENUE",,"W","2015-06-01T00:00:00.000","PS-18B","NO PARKING (SANITATION BROOM SYMBOL) MONDAY THURSDAY 11AM-12:30PM <-> (SUPERSEDES SP-853C)","018 X 012",,,"168",,,"PNTD","PNTD",,"1020373","183561"
"S-375876","Current","S-","Queens","OCEANCREST BOULEVARD",,"DICKENS STREET",,"BAY   25 STREET",,"N","2015-11-04T00:00:00.000","PS-40B","NO PARKING (SANITATION BROOM SYMBOL) THURSDAY 11:30AM-1PM <-> (SUPERSEDES SP-463C)","018 X 012",,,"185",,,"PNTD","PNTD",,"1050501","158564"
"S-154149","Current","S-","Manhattan","SOUTH STREET",,"CATHERINE SLIP",,"MARKET SLIP",,"E","2006-01-25T00:00:00.000","R7-20R","NO STANDING ANYTIME (REPLACED BY SP-10B)","018 X 012","2017-06-02T00:00:00.000",,"378",,,"PNTD","PNTD",,"985709","197755"
"S-599398","Current","S-","Brooklyn","AVENUE L",,"EAST   26 STREET",,"BEDFORD AVENUE",,"N","2017-07-19T00:00:00.000","PS-35B","NO PARKING (SANITATION BROOM SYMBOL) THURSDAY 9:30AM-11AM <-> (SUPERSEDES SP-394C)","018 X 012",,,"34",,,"PNTD","PNTD",,,
"S-361342","Current","S-","Brooklyn","15 AVENUE",,"61 STREET",,"60 STREET",,"E","2015-05-20T00:00:00.000","PS-35B","NO PARKING (SANITATION BROOM SYMBOL) THURSDAY 9:30AM-11AM <-> (SUPERSEDES SP-394C)","018 X 012",,,"101",,,"PNTD","PNTD",,"985814","167301"
"S-585335","Current","S-","Queens","VAN WYCK EXPRESSWAY",,"JAMAICA AVENUE",,"HILLSIDE AVENUE",,"W","2017-05-12T00:00:00.000","PS-2G","NO PARKING ANYTIME <-> (SUPERSEDES SP-854C)","018 X 012",,,"122",,,"PNTD","PNTD",,"1035092","195395"
"S-365987","Current","S-","Brooklyn","59 STREET",,"20 AVENUE",,"19 AVENUE",,"N","2015-06-22T00:00:00.000","PS-28B","NO PARKING (SANITATION BROOM SYMBOL) TUESDAY 8:30AM-10AM <-> (SUPERSEDES SP-381C)","018 X 012",,,"153",,,"PNTD","PNTD",,"989044","165266"
"S-392551","Current","S-","Brooklyn","KINGS HIGHWAY",,"EAST   22 STREET",,"EAST   21 STREET",,"N","2016-09-16T00:00:00.000","PS-57B","NO PARKING (SANITATION BROOM SYMBOL) MONDAY THURSDAY 9:30AM-11AM <-> (SUPERSEDES SP-370C)","018 X 012",,,"13",,,"PNTD","PNTD",,"997631","162025"
"S-363749","Current","S-","Brooklyn","COLONIAL ROAD",,"70 STREET",,"BAY RIDGE AVENUE",,"E","2015-06-22T00:00:00.000","PS-33B","NO PARKING (SANITATION BROOM SYMBOL) TUESDAY 9:30AM-11AM<-> (SUPERSEDES SP-382C)","018 X 012",,,"184",,,"PNTD","PNTD",,"975575","171420"
"S-393517","Current","S-","Queens","BAYPORT PLACE",,"CENTRAL AVENUE",,"NAMEOKE STREET",,"N","2016-09-26T00:00:00.000","PS-2G","NO PARKING ANYTIME <-> (SUPERSEDES SP-854C)","018 X 012",,,"36",,,"PNTD","PNTD",,"1053385","160075"
"S-585404","Current","S-","Bronx","EAST  217 STREET",,"BRONXWOOD AVENUE",,"PAULDING AVENUE",,"N","2017-05-17T00:00:00.000","PS-34B","NO PARKING (SANITATION BROOM SYMBOL) WEDNESDAY 9:30AM-11AM <-> (SUPERSEDES SP-388C)","018 X 012",,,"443",,,"PNTD","PNTD",,"1024000","259874"
