"boro_block_lot","address","neighborhood","building_classification","total_units","year_built","gross_sqft","estimated_gross_income","gross_income_per_sqft","estimated_expense","expense_per_sqft","net_operating_income","full_market_value","market_value_per_sqft","boro_block_lot_1","address_1","neighborhood_1","building_classification_1","total_units_1","year_built_1","gross_sqft_1","estimated_gross_income_1","gross_income_per_sqft_1","estimated_expense_1","expense_per_sqft_1","net_operating_income_1","full_market_value_1","market_value_per_sqft_1","distance_from_co_op_in_miles","boro_block_lot_2","address_2","neighborhood_2","building_classification_2","total_units_2","year_built_2","gross_sqft_2","estimated_gross_income_2","gross_income_per_sqft_2","estimated_expense_2","expense_per_sqft_2","net_operating_income_2","full_market_value_2","market_value_per_sqft_2","distance_from_co_op_in_miles_1","boro_block_lot_3","address_3","neighborhood_3","building_classification_3","total_units_3","year_built_3","gross_sqft_3","estimated_gross_income_3","gross_income_per_sqft_3","estimated_expense_3","expense_per_sqft_3","net_operating_income_3","full_market_value_3","market_value_per_sqft_3","distance_from_co_op_in_miles_2","report_year"
"1-00011-0014","26 BEAVER STREET","FINANCIAL","D4  -ELEVATOR","21","1909","51387","2399773","46.7","940382","18.3","1459391","11852000","230.64","1-00021-0006","71 BROADWAY","FINANCIAL","D5  -ELEVATOR","245","1900","303086","14066221","46.41","5607091","18.5","8459130","86503000","285.41","0.17","1-00031-0001","10 HANOVER SQUARE","FINANCIAL","D6  -ELEVATOR","498","1972","487404","22776389","46.73","9021848","18.51","13754541","153736000","315.42","0.19","1-00015-0022","21 WEST STREET","FINANCIAL","D8  -ELEVATOR","295","1931","335746","15679338","46.7","6144152","18.3","9535186","71229000","212.15","0.21","2019"
"1-00028-0001","3 HANOVER SQUARE","FINANCIAL","D0  -ELEVATOR","211","1926","239121","9462018","39.57","2907711","12.16","6554307","53231000","222.61","1-00031-0001","10 HANOVER SQUARE","FINANCIAL","D6  -ELEVATOR","498","1972","487404","19286576","39.57","5926833","12.16","13359743","153736000","315.42","0.05","1-00027-0017","67 WALL STREET","FINANCIAL","D5  -ELEVATOR","339","1921","305271","12549691","41.11","3919680","12.84","8630011","85134000","278.88","0.06","1-00033-0011","95 WALL STREET","FINANCIAL","D5  -ELEVATOR","506","1969","473460","18706405","39.51","6538483","13.81","12167922","145268000","306.82","0.1","2019"
"1-00094-0001","80 GOLD STREET","SOUTHBRIDGE","D4  -ELEVATOR","1652","1971","2155492","68113547","31.6","27676517","12.84","40437030","328409000","152.36","1-00092-0017","47 ANN STREET","SOUTHBRIDGE","D9  -ELEVATOR","13","1900","24610","798595","32.45","308117","12.52","490478","4990000","202.76","0.17","1-00107-0042","23 PECK SLIP","SOUTHBRIDGE","D7  -ELEVATOR","24","1900","25903","796517","30.75","340883","13.16","455634","8780000","338.96","0.15",,,,,,,,,,,,,,,,"2019"
"1-00100-0026","138 NASSAU STREET","SOUTHBRIDGE","D4  -ELEVATOR","43","1901","79422","3130815","39.42","882378","11.11","2248437","18261000","229.92","1-00092-0017","47 ANN STREET","SOUTHBRIDGE","D9  -ELEVATOR","13","1900","24610","1012209","41.13","257667","10.47","754542","4990000","202.76","0.06","1-00107-0042","23 PECK SLIP","SOUTHBRIDGE","D7  -ELEVATOR","24","1900","25903","1021096","39.42","287782","11.11","733314","8780000","338.96","0.27","1-00107-0028","254 FRONT STREET","SOUTHBRIDGE","D6  -ELEVATOR","41","2010","31715","1205170","38","319370","10.07","885800","10485000","330.6","0.27","2019"
"1-00117-0001","185 PARK ROW","CIVIC CENTER","D4  -ELEVATOR","465","1960","515425","25889798","50.23","10354888","20.09","15534910","126158000","244.76","1-00126-0027","120 CHURCH STREET","CIVIC CENTER","D5  -ELEVATOR","394","1964","620552","30611830","49.33","9184170","14.8","21427660","174034000","280.45","0.52","1-00088-0014","10 BARCLAY STREET","CIVIC CENTER","D8  -ELEVATOR","400","2006","531000","27150030","51.13","8825220","16.62","18324810","148849000","280.32","0.49",,,,,,,,,,,,,,,,"2019"
"1-00134-0025","258 BROADWAY","CIVIC CENTER","D4  -ELEVATOR","45","1915","88320","4239360","48","1310669","14.84","2928691","23785000","269.3","1-00134-0011","33 WARREN STREET","CIVIC CENTER","D6  -ELEVATOR","20","1930","30999","1533831","49.48","530393","17.11","1003438","8581000","276.82","0","1-00844-0019","33 UNION SQUARE","FLATIRON","D6  -ELEVATOR","22","1900","51150","2378987","46.51","642444","12.56","1736543","21479000","419.92","1.82",,,,,,,,,,,,,,,,"2019"
"1-00137-0005","80 WARREN STREET","TRIBECA","D4  -ELEVATOR","30","1915","70000","2919700","41.71","792400","11.32","2127300","17277000","246.81","1-00140-0005","121 READE STREET","TRIBECA","D6  -ELEVATOR","123","1997","144568","5156741","35.67","1536758","10.63","3619983","46802000","323.74","0.04","1-00179-0032","176 WEST BROADWAY","TRIBECA","D6  -ELEVATOR","19","2008","52930","2400376","45.35","732551","13.84","1667825","27264000","515.1","0.23","1-00016-0221","450 NORTH END AVENUE","TRIBECA","D8  -ELEVATOR","152","1998","244617","10202975","41.71","2769064","11.32","7433911","64777000","264.81","0.44","2019"
"1-00137-0035","90 WEST BROADWAY","TRIBECA","D4  -ELEVATOR","21","1920","48079","1871235","38.92","608680","12.66","1262555","10254000","213.27","1-00016-0221","450 NORTH END AVENUE","TRIBECA","D8  -ELEVATOR","152","1998","244617","9520494","38.92","3096851","12.66","6423643","64777000","264.81","0.44","1-00134-0011","33 WARREN STREET","CIVIC CENTER","D6  -ELEVATOR","20","1930","30999","1248330","40.27","448556","14.47","799774","8581000","276.82","0.17","1-00477-0001","80 VARICK STREET","SOHO","D5  -ELEVATOR","61","1920","125235","4837828","38.63","1584223","12.65","3253605","17950000","143.33","0.59","2019"
"1-00140-0001","139 CHAMBERS STREET","TRIBECA","D4  -ELEVATOR","11","1915","25473","1160040","45.54","326564","12.82","833476","6769000","265.73","1-00142-0025","310 GREENWICH STREET","TRIBECA","D6  -ELEVATOR","1349","1975","1970736","86377359","43.83","21421900","10.87","64955459","375422000","190.5","0.13","1-00016-0100","345 SOUTH END AVENUE","TRIBECA","D6  -ELEVATOR","1722","1983","1881621","85689020","45.54","24122381","12.82","61566639","426598000","226.72","0.47","1-00092-0017","47 ANN STREET","SOUTHBRIDGE","D9  -ELEVATOR","13","1900","24610","1144365","46.5","331251","13.46","813114","4990000","202.76","0.43","2019"
"1-00143-0004","55 HUDSON STREET","TRIBECA","D4  -ELEVATOR","46","1900","103750","5512238","53.13","1162000","11.2","4350238","35330000","340.53","1-00140-0005","121 READE STREET","TRIBECA","D6  -ELEVATOR","123","1997","144568","7787878","53.87","2025398","14.01","5762480","46802000","323.74","0.11","1-00150-0015","122 DUANE STREET","CIVIC CENTER","D5  -ELEVATOR","25","1920","29165","1527954","52.39","244403","8.38","1283551","10423000","357.38","0.21",,,,,,,,,,,,,,,,"2019"
"1-00143-0009","173 DUANE STREET","TRIBECA","D4  -ELEVATOR","11","1925","24500","1013810","41.38","307475","12.55","706335","5736000","234.12","1-00142-0025","310 GREENWICH STREET","TRIBECA","D6  -ELEVATOR","1349","1975","1970736","78179097","39.67","20889802","10.6","57289295","375422000","190.5","0.09","1-00016-0100","345 SOUTH END AVENUE","TRIBECA","D6  -ELEVATOR","1722","1983","1881621","77861477","41.38","23614344","12.55","54247133","426598000","226.72","0.55","1-00092-0017","47 ANN STREET","SOUTHBRIDGE","D9  -ELEVATOR","13","1900","24610","1041741","42.33","324606","13.19","717135","4990000","202.76","0.52","2019"
"1-00143-0021","335 GREENWICH STREET","TRIBECA","D4  -ELEVATOR","29","1931","55800","2359782","42.29","742140","13.3","1617642","13138000","235.45","1-00142-0025","310 GREENWICH STREET","TRIBECA","D6  -ELEVATOR","1349","1975","1970736","82869449","42.05","22486098","11.41","60383351","375422000","190.5","0.09","1-00016-0100","345 SOUTH END AVENUE","TRIBECA","D6  -ELEVATOR","1722","1983","1881621","82339735","43.76","25138457","13.36","57201278","426598000","226.72","0.55","1-00016-0221","450 NORTH END AVENUE","TRIBECA","D8  -ELEVATOR","152","1998","244617","10344853","42.29","3253406","13.3","7091447","64777000","264.81","0.55","2019"
