"job_filing_name","job_type","bin","borough","house_no","street_name","block","lot","zip_code","submitted_date","c_of_o_status","c_of_o_sequence","c_of_o_filing_type","community_board","c_of_o_issuance_date","application_number","latitude","longitude","communitydistrict","citycouncildistrict","censustract2010","buildingidentificationnumber","bbl","ntaname","location_point"
"120585660","ALTERATION TYPE 1","1006183","MANHATTAN","49 1/2","FIRST AVENUE","445","37","10003","2023-07-13T00:00:00.000","CO Issued","41244","Renewal Without Change","103","07/13/2023 12:44:46","CO-000041244",,,,,,,,,
"321195318","NEW BUILDING","3425776","BROOKLYN","1104","BEDFORD AVENUE","1971","28","11216","2023-06-24T00:00:00.000","CO Issued","40367","Final","303","07/13/2023 15:51:22","CO-000040367","40.686942","-73.954636","303","36","229","3000000","3019710028","Clinton Hill","POINT (-73.954636 40.686942)"
"121237474","NEW BUILDING","1090147","MANHATTAN","959","1 AVENUE","1345","7502","10022","2023-06-08T00:00:00.000","CO Issued","39559","Renewal Without Change","106","07/13/2023 10:12:45","CO-000039559","40.755567","-73.964934","106","4","98","1090147","1013457502","Turtle Bay-East Midtown","POINT (-73.964934 40.755567)"
"321594324","NEW BUILDING","3118268","BROOKLYN","1105","CORTELYOU ROAD","5142","90","11218","2023-03-28T00:00:00.000","CO Issued","35761","Initial","314","07/13/2023 08:41:19","CO-000035761","40.639728","-73.967766","314","40","1522","3118268","3051420090","Flatbush","POINT (-73.967766 40.639728)"
"421239582","NEW BUILDING","4310604","QUEENS","144-32","LIBERTY AVENUE","10043","12","11435","2023-06-20T00:00:00.000","CO Issued","40113","Final","412","07/13/2023 13:03:26","CO-000040113","40.692836","-73.808557","412","28","204","4310604","4100430012","Jamaica","POINT (-73.808557 40.692836)"
"220152563","NEW BUILDING","2128439","BRONX","2035","NEWBOLD AVENUE","3805","7502","10462","2023-02-28T00:00:00.000","CO Issued","34127","Renewal Without Change","209","03/24/2023 15:40:52","CO-000034127","40.832722","-73.856202","209","18","92","2128439","2038057502","Westchester-Unionport","POINT (-73.856202 40.832722)"
"121190184","ALTERATION TYPE 1","1016898","MANHATTAN","3","EAST 28TH STREET","858","6","10016","2023-07-13T00:00:00.000","CO Issued","41133","Renewal Without Change","105","07/13/2023 10:25:46","CO-000041133","40.744541","-73.98694","105","4","74","1016898","1008580006","Midtown-Midtown South","POINT (-73.98694 40.744541)"
"121208102","NEW BUILDING","1091674","MANHATTAN","1165","MADISON AVENUE","1497","7503","10028","2023-03-15T00:00:00.000","CO Issued","35139","Initial","108","03/24/2023 15:05:12","CO-000035139","40.780641","-73.958959","108","4","15001","1046841","1014970053","Upper East Side-Carnegie Hill","POINT (-73.958959 40.780641)"
"120736490","ALTERATION TYPE 1","1050760","MANHATTAN","424","EAST 92ND STREET","1571","38","10128","2023-07-13T00:00:00.000","CO Issued","40521","Renewal Without Change","108","07/13/2023 11:36:27","CO-000040521","40.780293","-73.945654","108","5","152","1050760","1015710038","Yorkville","POINT (-73.945654 40.780293)"
"121840259","ALTERATION TYPE 1","1032076","MANHATTAN","106","WEST 83RD STREET","1213","38","10024","2023-07-12T00:00:00.000","CO Issued","41199","Initial","107","07/13/2023 16:46:04","CO-000041199","40.78476","-73.974149","107","6","169","1032076","1012130038","Upper West Side","POINT (-73.974149 40.78476)"
