"insptn_ops_detail","insptn_typ_cd","insp_inspect_dt","inspecting_unit_code","bldg_current_bin_fk","borough","cent_latitude","cent_longitude","communitydistrict","citycouncildistrict","bbl","location_1"
"9132047","RISK","2018-08-14T00:00:00.000","L115","4000431","QN","40.748422","-73.950426","402","26","4000510028","(40.748422, -73.950426)"
"4555617","RISK","2016-01-29T00:00:00.000","L113","3115797","BK","40.656287","-73.959764","309","40","3050480008","(40.656287, -73.959764)"
"2145393","RISK","2014-05-21T00:00:00.000","L087","5120386","SI","40.578294","-74.157794","502","51","5024507511","(40.578294, -74.157794)"
"5047033","RISK","2016-05-17T00:00:00.000","E095","1065067","MN","40.868562","-73.924958","112","10","1022480024","(40.868562, -73.924958)"
"8714291","RISK","2018-06-01T00:00:00.000","E228","3018012","BK","40.649863","-74.004148","307","38","3009170058","(40.649863, -74.004148)"
"7202317","RISK","2017-08-09T00:00:00.000","E166","5119665","SI","40.60714","-74.151026","502","50","5020877501","(40.60714, -74.151026)"
"2434293","RISK","2014-08-03T00:00:00.000","L011","1004922","MN","40.727376","-73.978663","103","2","1003940063","(40.727376, -73.978663)"
"10088628","RISK","2019-01-23T00:00:00.000","L117","4010686","QN",,,,,,
"2007158","RISK","2014-04-17T00:00:00.000","L086","5151711","SI","40.600441000000004","-74.16247","502","50","5020300001","(40.600441, -74.16247)"
"5759084","RISK","2016-10-24T00:00:00.000","L047","2118906","BX","40.822481","-73.85166100000001","209","18","2036120031","(40.822481, -73.851661)"
"6543171","RISK","2017-03-29T00:00:00.000","L084","5079663","SI","40.544204","-74.198173","503","51","5060850062","(40.544204, -74.198173)"
"5845350","RISK","2016-11-14T00:00:00.000","E227","3080961","BK","40.668566","-73.916644","316","41","3035150033","(40.668566, -73.916644)"
"4964119","RISK","2016-04-29T00:00:00.000","E009","1086601","MN","40.713879","-73.995881","103","1","1002810021","(40.713879, -73.995881)"
"2657500","RISK","2014-09-28T00:00:00.000","E231","3082086","BK","40.661336","-73.91281","316","42","3035850040","(40.661336, -73.91281)"
"2696460","RISK","2014-10-14T00:00:00.000","L167","4157883","QN","40.752969","-73.77855","411","20","4073530112","(40.752969, -73.77855)"
"8264851","RISK","2018-03-14T00:00:00.000","L014","1057763","MN","40.806275","-73.947341","110","9","1019070127","(40.806275, -73.947341)"
"6975095","RISK","2017-06-22T00:00:00.000","L083","5104553","SI","40.61557","-74.103273","501","49","5006520013","(40.61557, -74.103273)"
"4314986","RISK","2015-12-04T00:00:00.000","L114","3016012","BK","40.640346","-74.015678","307","38","3008550045","(40.640346, -74.015678)"
"2503470","RISK","2014-08-25T00:00:00.000","E309","3219593","BK","40.6205","-73.93425","318","45","3078670005","(40.6205, -73.93425)"
"5031243","RISK","2016-05-12T00:00:00.000","L049","2003053","BX","40.833098","-73.925457","204","8","2025040105","(40.833098, -73.925457)"
"3485540","RISK","2015-04-27T00:00:00.000","E162","5107661","SI","40.550744","-74.149737","503","51","5051420022","(40.550744, -74.149737)"
