"incident_key","occur_date","occur_time","boro","loc_of_occur_desc","precinct","jurisdiction_code","loc_classfctn_desc","location_desc","statistical_murder_flag","perp_age_group","perp_sex","perp_race","vic_age_group","vic_sex","vic_race","x_coord_cd","y_coord_cd","latitude","longitude","geocoded_column"
"228798151","2021-05-27T00:00:00.000","21:30:00","QUEENS",,"105","0",,,"false",,,,"18-24","M","BLACK","1058925","180924","40.662964620000025","-73.73083868899994","POINT (-73.73083868899994 40.662964620000025)"
"137471050","2014-06-27T00:00:00.000","17:40:00","BRONX",,"40","0",,,"false",,,,"18-24","M","BLACK","1005028.000000000000000","234516.000000000000000","40.810351863000051","-73.924942325999950","POINT (-73.92494232599995 40.81035186300006)"
"147998800","2015-11-21T00:00:00.000","03:56:00","QUEENS",,"108","0",,,"true",,,,"25-44","M","WHITE","1007667.937500000000000","209836.531250000000000","40.742606633000037","-73.915491741999972","POINT (-73.91549174199997 40.74260663300004)"
"146837977","2015-10-09T00:00:00.000","18:30:00","BRONX",,"44","0",,,"false",,,,"<18","M","WHITE HISPANIC","1006537.375000000000000","244511.140625000000000","40.837782003000029","-73.919456614999945","POINT (-73.91945661499994 40.83778200300003)"
"58921844","2009-02-19T00:00:00.000","22:58:00","BRONX",,"47","0",,,"true","25-44","M","BLACK","45-64","M","BLACK","1024921.812500000000000","262189.406250000000000","40.886237918000063","-73.852909508999971","POINT (-73.85290950899997 40.88623791800006)"
"219559682","2020-10-21T00:00:00.000","21:36:00","BROOKLYN",,"81","0",,,"true",,,,"25-44","M","BLACK","1004234.312500000000000","186461.703125000000000","40.678456718000064","-73.927952240999957","POINT (-73.92795224099996 40.678456718000064)"
"85295722","2012-06-17T00:00:00.000","22:47:00","QUEENS",,"114","0",,,"false",,,,"25-44","M","BLACK","998860.000000000000000","214885.000000000000000","40.756482343000073","-73.947266493999962","POINT (-73.94726649399996 40.75648234300007)"
"71662474","2010-03-08T00:00:00.000","19:41:00","BROOKLYN",,"81","0",,,"true",,,,"18-24","M","BLACK","1002882.875000000000000","192219.703125000000000","40.694264056000065","-73.932808636999937","POINT (-73.93280863699994 40.694264056000065)"
"83002139","2012-02-05T00:00:00.000","05:45:00","QUEENS",,"105","0",,,"false",,,,"25-44","M","BLACK","1054366.375000000000000","196628.406250000000000","40.706106731000034","-73.747106538999958","POINT (-73.74710653899996 40.706106731000034)"
"86437261","2012-08-26T00:00:00.000","01:10:00","QUEENS",,"101","0",,"MULTI DWELL - APT BUILD","false","25-44","M","BLACK","25-44","M","BLACK","1053936.625000000000000","157130.421875000000000","40.597697198000049","-73.749064641999951","POINT (-73.74906464199995 40.59769719800005)"
"74998200","2010-10-10T00:00:00.000","03:21:00","MANHATTAN",,"23","2",,"MULTI DWELL - PUBLIC HOUS","false",,,,"25-44","M","BLACK","999061.375000000000000","229911.671875000000000","40.797726265000051","-73.946506507999970","POINT (-73.94650650799997 40.79772626500005)"
"74363835","2010-08-29T00:00:00.000","01:27:00","BROOKLYN",,"75","0",,"GROCERY/BODEGA","false","25-44","M","BLACK","25-44","M","BLACK","1013136.000000000000000","179968.000000000000000","40.660608391000039","-73.895886942999937","POINT (-73.89588694299994 40.66060839100004)"
"234756217","2021-10-09T00:00:00.000","20:17:00","BROOKLYN",,"71","0",,,"false",,,,"25-44","M","BLACK","996148","181562","40.66502269100005","-73.95711436799998","POINT (-73.95711436799998 40.66502269100005)"
"78961869","2011-05-25T00:00:00.000","21:58:00","BRONX",,"50","0",,,"false","UNKNOWN","U","UNKNOWN","18-24","M","WHITE","1010353.437500000000000","261534.281250000000000","40.884494922000044","-73.905599374999952","POINT (-73.90559937499995 40.884494922000044)"
"53891791","2008-11-09T00:00:00.000","20:13:00","BROOKLYN",,"78","2",,"MULTI DWELL - PUBLIC HOUS","false","UNKNOWN","U","UNKNOWN","25-44","M","BLACK HISPANIC","988398.437500000000000","187950.625000000000000","40.682565055000055","-73.985044211999934","POINT (-73.98504421199993 40.682565055000055)"
"32914993","2007-07-05T00:00:00.000","01:27:00","BRONX",,"47","2",,"MULTI DWELL - PUBLIC HOUS","false","UNKNOWN","M","UNKNOWN","18-24","M","BLACK","1026013.000000000000000","261421.125000000000000","40.884124133000057","-73.848967963999939","POINT (-73.84896796399994 40.88412413300006)"
"73879554","2010-07-27T00:00:00.000","02:22:00","MANHATTAN",,"30","0",,,"true","25-44","M","BLACK","25-44","M","BLACK","999967.437500000000000","240325.562500000000000","40.826307931000031","-73.943209656999954","POINT (-73.94320965699995 40.82630793100003)"
"87694905","2012-11-14T00:00:00.000","21:07:00","BROOKLYN",,"81","0",,"MULTI DWELL - APT BUILD","false",,,,"25-44","M","BLACK","1005555.750000000000000","186370.937500000000000","40.678204504000064","-73.923188366999966","POINT (-73.92318836699998 40.678204504000064)"
"230311079","2021-07-01T00:00:00.000","02:44:00","BROOKLYN",,"73","0",,,"false",,,,"25-44","M","BLACK","1009826","183194","40.66947322100003","-73.90780500799997","POINT (-73.90780500799997 40.66947322100003)"
"225297069","2021-03-07T00:00:00.000","21:17:00","BROOKLYN",,"71","0",,"MULTI DWELL - APT BUILD","false","25-44","M","BLACK","25-44","M","WHITE","995792","178767","40.65735150300002","-73.95840237599998","POINT (-73.95840237599998 40.65735150300002)"
