"tru","start_date","end_date","status_description","street_activity","premise_no","street_name","borough","zip_code","facility_aka","facility_type","bin","block","lot","cross_street_on","cross_street_between","cross_street_and","building_owner_name","contractor_name","air_monitor_name","entire_floor","floor","section","acm_type","acm_amount","acm_unit","abatement_type","procedure_name","latitude","longitude","community_board","council_district","census_tract","bbl","nta"
"TRU0190BX21","2021-03-22T00:00:00.000","2022-03-02T00:00:00.000","Closed","No","228","West Tremont Ave","Bronx","10453","West Tremont Houses","Residence","2008963","02877","0497",,,,"New York City Housing Authority (NYCHA)","Alpha Environmental Services, Inc","LiRo Engineers, Inc.","No","1st Floor","Maintenance Room","Vinyl Asbestos Tiles","490","Square Feet","Removal","DEP Variance","40.85294","-73.918169","5","14","20502","2028770497","University Heights-Morris Heights"
"TRU7923MN18","2018-12-07T00:00:00.000","2019-11-06T00:00:00.000","Closed","No","1180","5th Avenue","Manhattan","10029","Mount Sinai Medical Center","Hospital","1083921","01604","0006",,,,"Mount Sinai Medical Center","Degmor Environmental Services, LLC","Advanced Environmental Corp.","No","21st Floor","Room 230","VAT & Mastic","118","Square Feet","Removal","DEP Variance","40.789971","-73.954245","11","8","168","1016040006","East Harlem South"
"TRU1139BK23","2023-06-08T00:00:00.000","2024-06-04T00:00:00.000","Closed","No","2946","West 23rd Street","Brooklyn","11224","Carey Gardens Houses Bldg. # 01","Residence","3321839","07056","0014",,,,"New York City Housing Authority (NYCHA)","New York Environmental Systems, Inc.","Genesis Environmental Consultants Inc.","No","16th","APT 16C Kitchen","Floor Tile & Mastic","1","Square Feet","Removal","Tent","40.5751","-73.989906","13","47","326","3070560014","Seagate-Coney Island"
"TRU3024MN22","2022-12-19T00:00:00.000","2023-12-14T00:00:00.000","Closed","No","537","WEST 59TH STREET","Manhattan","10019","N/A","Commercial","1030307","01151","0012",,,,"W59TH SHELTER HOUSING DEVELOPMENT FUND CORP.","Plains Environmental and General Contracting Servi","AIM Environmental LLC","No","BASEMENT","NORTHEAST PERIMETER WALLS","WATERPROOFING TAR","135","Square Feet","Removal","Tent","40.77091","-73.988768","7","6","147","1011510012","Lincoln Square"
"TRU0178BK21","2021-02-16T00:00:00.000","2022-02-08T00:00:00.000","Closed","No","412-416","Clinton Avenue","Brooklyn","11238",,"Other","3251609","01960","0025",,,,"Paul Burke","GTM Contracting Inc. dba Hi-Tech Environmental & R","Environmental Tactics, Inc.","No","2nd Floor","NorthWest Bedroom","Vinyl White Tiles","230","Square Feet","Removal","DEP Variance","40.685813","-73.967365","2","35","199","3019600025","Clinton Hill"
"TRU7094MN18","2019-05-28T00:00:00.000","2019-08-07T00:00:00.000","Submitted","No","525","E. 68th Street","Manhattan","10065","New York Presbyterian Hospital","Hospital","1084781","01480","0001",,,,"New York Presbyterian Hospital","RC Group, Inc.","Lawrence Env LLC","No","12","north spandrel","waterproofing mastic","120","Square Feet","Removal","Exterior Vertical Surface","40.764149","-73.955251","8","5","116","1014800001","Lenox Hill-Roosevelt Island"
"TRU2285BK22","2022-12-08T00:00:00.000","2023-11-29T00:00:00.000","Submitted","No","11","Hudson Avenue","Brooklyn","11201","Boiler House","Commercial","3395544","00006","0001",,,,"Consolidated Edison   Company of NY, Inc.","Pinnacle Environmental Corp.","Omega Laboratories, Inc.","No","Bulkhead","SE Corner Machine Room","Control Relay Box ARC Board","12","Square Feet","Removal","Subchapter G","40.704881","-73.980957","2","33","21","3000060001","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"TRU1495MN21","2021-08-09T00:00:00.000","2022-07-20T00:00:00.000","Closed","No","184","Eldridge","Manhattan","10002","UNIVERSITY  SETTLEMENT SOCIETY","Other","1005483","00415","0018",,,,"Dormitory Authority State of New York (DASNY)","KNS Services Corp.","Matrix New World Engineering, Land Surveying","No","ROOF","TANK ROOM ELEVATIONS","ROOFING MEMBRANE AND ASSOCIATED TAR","700","Square Feet","Removal","Exterior Foam","40.720653","-73.990674","3","1","18","1004150018","Chinatown"
"TRU0721BK22","2022-04-19T00:00:00.000","2023-04-10T00:00:00.000","Closed","No","744","Park Avenue","Brooklyn","11206","NYCHA, Tompkins Houses, AKA Bldg 2, RF1832682","Residence","3324253","01740","0001",,,,"New York City Housing Authority (NYCHA)","United Precision Management Inc.","Airtek Environmental Corp.","No","Roof","Bulkhead 1 Roof  Decks (Upper and Lower)","Base Flashing (Upper Roof)","10","Square Feet","Removal","Exterior Foam","40.698027","-73.945627","3","36","25902","3017400001","Bedford"
"TRU5637MN18","2018-03-29T00:00:00.000","2019-03-19T00:00:00.000","Closed","No","701","West 180th Street","Manhattan","10033",,,"1064282","02176","0138",,,,"Stellar Management","Jabco Contracting, Inc.","IPR Associate & Environmental Incorporated","Yes","ROOF",,"FLASHING","2400","Square Feet","Removal","Exterior Foam","40.84962","-73.936734","12","10","265","1021760138","Washington Heights South"
