"the_geom","borocode","boroname","borocd","coundist","assemdist","stsendist","congdist","siteid","benchid","category","benchtype","installati","address","geocodeadd","street","crossstree","borough","comdist","busroute","bid","latitude","longitude","femafldz","femafldt","hrcevac"
"POINT (-73.89716666711392 40.86236111070519)","2","Bronx","205","15","78","33","15","1194.0","260.0","BID","backed","2012-10-22T00:00:00.000","South side Overpass at East Fordham Rd and Grand Concourse","40°51'44.5""N 73°53'49.8""W","East Fordham Road","Grand Concourse East and West","Bronx","205.0","Not Applicable","Fordham Road","40.8623611107","-73.8971666671","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.84677860407454 40.6856577435641)","4","Queens","409","32","38","15","7","3946.0","339.0","Bus Route","backed 2","2017-11-13T00:00:00.000","97-27 Woodhaven Blvd","97-27 Woodhaven Blvd","Woodhaven Blvd","101st Avenue & 97th Avenue","Queens","0.0","Q52","Not Applicable","40.685666","-73.84678","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.83050360793445 40.71367773686963)","4","Queens","409","29","28","14","6","2366.0","1123.0","Senior Center","backed","2014-02-10T00:00:00.000","80-02 Kew Gardens Road","80-02 Kew Gardens Road","80th Road","Queens Blvd & 80th Road","Queens","409.0","Not Applicable","Not Applicable","40.713686","-73.830505","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.97665756756814 40.59660076512053)","3","Brooklyn","311","47","47","22","11","3095.0","1673.0","General","backed","2015-09-09T00:00:00.000","203 Avenue U","203 Avenue U","Avenue U","W 5th Street & W 6th Street","Brooklyn","311.0","Not Applicable","Not Applicable","40.596609","-73.976659","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.9557485633816 40.77452772983164)","1","Manhattan","108","5","76","28","12","3688.0","242.0","Senior Safety","backed","2017-08-03T00:00:00.000","245 E. 80th Street","245 E. 80th Street","E. 80th Street","2nd Avenue & 3rd Avenue","Manhattan","108.0","Not Applicable","Not Applicable","40.774536","-73.95575","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.94554756400889 40.833119717705664)","1","Manhattan","112","7","71","31","13","3059.0","1885.0","General","backed","2015-02-05T00:00:00.000","3740 Broadway","3740 Broadway","Broadway","West 155th Street & West 156th Street","Manhattan","112.0","M4","Not Applicable","40.833128","-73.945549","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.70139064724336 40.73881272795706)","4","Queens","413","23","33","11","3","2019.0","1077.0","General","backless","2013-10-29T00:00:00.000","267-17 Hillside Avenue","267-17 Hillside Avenue","Hillside Avenue","267th & 268th Street","Queens","413.0","Q43","Not Applicable","40.738821","-73.701392","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.8185016046541 40.82116571575922)","2","Bronx","210","13","82","34","14","3568.0","1427.0","Bus Route","backless","2017-02-04T00:00:00.000","3948 E Tremont Avenue","3948 E Tremont Avenue","E Tremont Avenue","Sampson Avenue & Cross Bronx Expwy","Bronx","210.0","BX40","Not Applicable","40.821174","-73.818503","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.93943156700753 40.80737472234206)","1","Manhattan","111","9","68","30","13","2776.0","1494.0","Municipal Facilities","backed","2014-12-08T00:00:00.000","2005 Madison Avenue","91 East 127th Street","East 127th Street","East 127th Street & East 128th Street","Manhattan","111.0","Not Applicable","Not Applicable","40.807383","-73.939433","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.98657055817128 40.704151744668145)","3","Brooklyn","302","33","52","26","7","3162.0","1983.0","BID","backed","2015-09-09T00:00:00.000","25 Jay Street","25 Jay Street","Jay Street","John Street & Plymouth Street","Brooklyn","302.0","Not Applicable","DUMBO Improvement District","40.70416","-73.986572","AE",,"2"
"POINT (-73.89229257704223 40.89585670424551)","2","Bronx","226","11","81","34","16","3600","50.0","Bus Route","backed 2","2017-03-11T00:00:00.000","Van Cortland Park","5983 Broadway","Broadway","Manhattan College Parkway & W 242nd Street","Bronx","208.0","BX09","Not Applicable","40.895865","-73.892294","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.78379661918026 40.776372723321614)","4","Queens","407","19","26","11","3","3071.0","1837.0","General","backed","2015-06-02T00:00:00.000","208-11 26th Avenue","208-11 26th Avenue","208-11 26th Avenue","Celarview Expwy & Corporal Kennedy Street","Queens","407.0","Not Applicable","Not Applicable","40.776381","-73.783798","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.93627756589059 40.845842715249354)","1","Manhattan","112","10","72","31","13","3153.0","1593.0","General","backed","2015-09-12T00:00:00.000","1313 St Nicholas Avenue","1313 St Nicholas Avenue","St Nicholas Avenue","W 175 Street & W 176 Street","Manhattan","112.0","Not Applicable","Not Applicable","40.845851","-73.936279","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.90714026140618 40.77306814059568)","4","Queens","401","22","36","13","14","3382.0","2460.0","Municipal Facilities","backed","2016-12-03T00:00:00.000","22-11 38th Street","22-11 38th Street","38th Street","38th Street & Steinway Street","Queens","401.0","Not Applicable","Not Applicable","40.7730681406","-73.9071402614","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.97944655572502 40.78955872721958)","1","Manhattan","107","6","67","31","10","2128.0","975.0","Senior Center","backed","2014-03-24T00:00:00.000","333 West 86th Street","333 West 86th Street","West 86th Street","Riverside Drive and West End Avenue","Manhattan","107.0","Not Applicable","Not Applicable","40.789567","-73.979448","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.96782256515971 40.68304074800283)","3","Brooklyn","302","35","57","25","8","2239.0","0.0","BID","backed",,"470 Vanderbilt Avenue","470 Vanderbilt","Fulton Street","Fulton Street & Atlantic Avenue","Brooklyn","302.0","B25","Fulton Area Business (FAB) Alliance","40.683049","-73.967824","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.87812059140951 40.736393734684995)","4","Queens","404","25","35","16","6","664.0","426.0","General","backless","2013-02-14T00:00:00.000","87-09 Grand Avenue","87-09 Grand Avenue","Grand Avenue","Queens Boulevard & Seabury Street","Queens","404.0","Q58","Not Applicable","40.736402","-73.878122","X","AREA OF MINIMAL FLOOD HAZARD","6"
