"propertyborough","propertyblock","propertylot","propertyzip","permitnumber","issuancedate","applicationtype","requeststatus"
"Queens","3234","99","11375","Q-Repair-0032694","2023-07-28T19:06:39.000","Sewer Repair","Approved"
"Queens","7276","39","11423","Q-Repair-0032691","2023-07-28T18:42:12.000","Sewer Repair","Approved"
"Queens","15782","54","11691","Q-Repair-0032641","2023-07-28T14:54:21.000","Sewer Repair","Approved"
"Queens","593","41",,"CONN00021674","2023-07-28T12:12:11.000","Water Service","Approved"
"Queens","593",,,"CONN00021675","2023-07-28T12:02:26.000","Sewer Connection","Approved"
"Queens","1452","16","11372","Q-Relay-0032634","2023-07-28T11:30:42.000","Water Relay","Approved"
"Queens","8715",,,"CONN00021508","2023-07-27T18:05:08.000","Sewer Connection","Approved"
"Queens","8715",,,"CONN00021507","2023-07-27T18:02:23.000","Sewer Connection","Approved"
"Queens","8715","41",,"CONN00021510","2023-07-27T17:59:53.000","Water Service","Approved"
"Queens","8715","39",,"CONN00021509","2023-07-27T17:59:00.000","Water Service","Approved"
"Brooklyn","6",,,"CONN00021738","2023-07-27T17:58:20.000","Sewer Plug","Approved"
"Queens","15782","54","11691","Q-Repair-0032624","2023-07-27T17:50:51.000","Sewer Repair","Cancelled"
"Staten Island","200","47","10310","S-Relay-0032621","2023-07-27T17:22:45.000","Water Relay","Completed"
"Queens","1839","34",,"CONN00021433","2023-07-27T17:12:53.000","Water Service","Approved"
"Queens","1839",,,"CONN00021435","2023-07-27T17:12:02.000","Sewer Connection","Approved"
"Queens","1353",,,"CONN00021782","2023-07-27T17:10:21.000","Sewer Connection","Approved"
"Queens","1353",,,"CONN00021779","2023-07-27T17:09:27.000","Sewer Connection","Approved"
"Queens","9470","10","11419","Q-Repair-0032615","2023-07-27T17:09:22.000","Water Repair","Approved"
"Queens","1353",,,"CONN00021776","2023-07-27T17:08:44.000","Sewer Connection","Approved"
"Queens","5998",,,"CONN00021765","2023-07-27T17:07:43.000","Sewer Connection","Approved"
"Queens","1353","45",,"CONN00021781","2023-07-27T17:07:21.000","Water Service","Approved"
"Queens","1353","43",,"CONN00021777","2023-07-27T17:05:55.000","Water Service","Approved"
