"building_id","borough","certification_class","of_carriers","coax_cable_connections","fiber_connection","satellite_fixed_wireless_connection","fiber_distribution","isps_1","multiple_points_of_entry","designated_telecom_utility_space","additional_telecom_space","riser_space_for_current_providers","riser_space_for_additional_providers","diverse_riser_locations","signed_poes","agreements","new_service_providers","isps_2"
"building_1","Manhattan","Not certified","4","Yes","Yes","No","Partial Distribution (some floors)","4","Yes","Combination of open, shared, and dedicated  space","No","No","No","Does not have two or more diverse riser locations","Yes - for installed connections","Yes","Yes",
"building_2","Manhattan","Not certified","5 or more","Yes","Yes","No","Full Distribution (all floors)","5 or more","No","Common (shared) room","Yes","Yes","Yes","Does not have two or more diverse riser locations","Yes - for installed connections","No","Yes",
"building_3","Manhattan","Not certified","4","Yes","Yes","No","Full Distribution (all floors)","3","Yes","Dedicated room","No","Yes","Yes","Does not have two or more diverse riser locations","Yes - for installed connections","Yes","Yes","Verizon,Time Warner Cable,OCG"
"building_4","Manhattan","Not certified","2","Yes","Yes","No","Full Distribution (all floors)","2","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes",
"building_5","Manhattan","Not certified","3","Yes","Yes","No","Full Distribution (all floors)","4","Yes","Common (shared) room","No","Yes","No","Does not have two or more diverse riser locations","None available","No","Yes","Verizon,Time Warner Cable,Lightower,Cogent"
"building_6","Manhattan","Not certified",,"No","No","No",,,,,,"No","No",,,,,
"building_7","Manhattan","Not certified","3","Yes","Yes","No","Full Distribution (all floors)","3","Yes","Hallway/Open Space","Yes","Yes","Yes","Does not have two or more diverse riser locations","Yes - for installed connections","No","Yes","Other,Verizon FIOS,Verizon,Time Warner Cable"
"building_8","Manhattan","Not certified","1","Yes","Yes","Yes","Full Distribution (all floors)","3","Yes","Dedicated room","Yes","Yes","No","Yes","Yes - for installed connections","Yes","Yes","Century Link"
"building_9","Manhattan","Platinum","5 or more","Yes","Yes","No","Full Distribution (all floors)","5 or more","Yes","Common (shared) room","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","Zayo,Verizon,TW Telecom,Lightpath,Cogent,Broadview"
"building_10","Manhattan","Not certified","3","Yes","Yes","No","Full Distribution (all floors)","3","Yes","Dedicated room","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","Verizon,Time Warner Cable,Cogent"
"building_11","Brooklyn","Not certified","2","Yes","Yes","Yes","Partial Distribution (some floors)","2","Yes","Combination of open, shared, and dedicated  space","Yes","No","Yes","Yes","Yes - for installed connections","No","Yes","Neon Communications,Lightower,Eureka,Covad,Century Link,AT&T"
"building_12","Manhattan","Not certified","3","Yes","Yes","No","Partial Distribution (some floors)","4","Yes","Dedicated room","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","Verizon,TW Telecom,Time Warner Cable,AT&T"
"building_13","Manhattan","Not certified","3","Yes","Yes","No","Full Distribution (all floors)","5 or more","No","Dedicated room","Yes","Yes","Yes","Does not have two or more diverse riser locations","Yes - for installed connections","No","Yes","Other,Verizon,Time Warner Cable,AT&T"
"building_14","Brooklyn","Not certified","3","No","Yes","No","Full Distribution (all floors)","2","Yes","Dedicated room","Yes","Yes","No","Yes","Yes - for installed connections","Yes","Yes","Cablevision,AT&T"
"building_15","Brooklyn","Not certified",,"No","No","No",,,,,,"No","No",,,,,
"building_16","Manhattan","Not certified","5 or more","Yes","Yes","No","Full Distribution (all floors)","5 or more","Yes","Dedicated room","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","AT&T"
"building_17","Manhattan","Not certified",,"No","No","No",,,,,,"No","No",,,,,
"building_18","Manhattan","Not certified","5 or more","Yes","Yes","No","Full Distribution (all floors)","5 or more","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Does not have two or more diverse riser locations","None available","Yes","Yes","Other,XO Communications,Verizon,TW Telecom"
"building_19","Manhattan","Not certified","5 or more","Yes","Yes","No","Full Distribution (all floors)","5 or more","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","Verizon,TW Telecom,Time Warner Cable,Lightower,AT&T,Abovenet"
"building_20","Manhattan","Not certified","5 or more","Yes","Yes","No","Full Distribution (all floors)","5 or more","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","XO Communications,Verizon,Time Warner Cable,OCG,Lightower,AT&T,Abovenet"
"building_21","Manhattan","Not certified","5 or more","Yes","Yes","No","Partial Distribution (some floors)","5 or more","Yes","Dedicated room","Yes","Yes","Yes","Yes","Yes - for installed connections","No","Yes","Other,XO Communications,Verizon,Time Warner Cable,Cogent,AT&T"
"building_22","Manhattan","Platinum","5 or more","Yes","Yes","Yes","Partial Distribution (some floors)","5 or more","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Yes","Yes - for installed connections","No","Yes","Zayo,Verizon FIOS,Verizon,Time Warner Cable,Rainbow Broadband,Lightpath,Lightower,Cogent"
"building_23","Bronx","Not certified",,"No","No","No",,,,,,"No","No",,,,,
"building_24","Manhattan","Not certified","2","No","No","Yes","Partial Distribution (some floors)","2","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","No","Yes","None available","Yes","Yes","Verizon,Time Warner Cable"
"building_25","Manhattan","Not certified",,"No","No","No",,,,,,"No","No",,,,,"Other,Verizon,Towerstream,Cogent"
"building_26","Brooklyn","Not certified","2","No","Yes","No","Partial Distribution (some floors)","2","Yes","Dedicated room","Yes","Yes","Yes","Does not have two or more diverse riser locations","None available","Yes","Yes","Verizon,Lightower"
"building_27","Manhattan","Not certified","2","Yes","Yes","No","Full Distribution (all floors)","2","No","Common (shared) room","Yes","Yes","Yes","Does not have two or more diverse riser locations","Yes - for installed connections","No","Yes","Verizon,Time Warner Cable"
"building_28","Manhattan","Not certified","3","Yes","Yes","Yes","Full Distribution (all floors)","3","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Does not have two or more diverse riser locations","Yes - for installed connections","Yes",,"Zayo,Verizon,TW Telecom,Time Warner Cable,Direct TV,AT&T"
"building_29","Manhattan","Not certified","2","Yes","Yes","No","Full Distribution (all floors)","3","Yes","Combination of open, shared, and dedicated  space","No","No","No","Does not have two or more diverse riser locations","Yes - for installed connections","Yes","Yes",
"building_30","Manhattan","Not certified","2","Yes","Yes","No","Full Distribution (all floors)","2","Yes","Combination of open, shared, and dedicated  space","No","No","No","Does not have two or more diverse riser locations","Yes - for installed connections","Yes","Yes","Verizon FIOS,Verizon,Time Warner Cable"
"building_31","Manhattan","Not certified","2","Yes","Yes","Yes","Full Distribution (all floors)","2","Yes","Dedicated room","No","Yes","Yes","Yes","None available","Yes","Yes","Verizon,Time Warner Cable,Lightower,AT&T"
"building_32","Manhattan","Not certified",,"No","No","No",,,,,,"No","No",,,,,
"building_33","Manhattan","Platinum","5 or more","Yes","Yes","No","Full Distribution (all floors)","5 or more","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","Zayo,Verizon,Time Warner Cable,Lightpath,Lightower,Cogent,AT&T"
"building_34","Manhattan","Gold","5 or more","Yes","Yes","No","Full Distribution (all floors)","5 or more","No","Dedicated room","Yes","Yes","Yes","Yes","None available","Yes","Yes","Zayo,Verizon,Time Warner Cable,Lightower,AT&T"
"building_35","Manhattan","Gold","5 or more","Yes","Yes","No","Full Distribution (all floors)","5 or more","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Yes","None available","Yes","Yes","Verizon,Time Warner Cable,Lightpath,Lightower,Cogent,AT&T,Abovenet"
"building_36","Manhattan","Platinum","5 or more","Yes","Yes","No","Full Distribution (all floors)","5 or more","Yes","Dedicated room","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","Zayo,Verizon,Time Warner Cable,Sidera,Level(3),Cogent,AT&T"
"building_37","Manhattan","Platinum","5 or more","Yes","Yes","No","Full Distribution (all floors)","5 or more","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","Zayo,Verizon,Time Warner Cable,Lightower,Cogent,AT&T"
"building_38","Manhattan","Gold","5 or more","Yes","Yes","No","Full Distribution (all floors)","5 or more","Yes","Dedicated room","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","Verizon,Time Warner Cable,Sprint,Lightpath,Lightower,AT&T"
"building_39","Manhattan","Platinum","5 or more","Yes","Yes","No","Full Distribution (all floors)","5 or more","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","Verizon,Time Warner Cable,Lightpath,Lightower,Cogent,AT&T,Abovenet"
"building_40","Manhattan","Platinum","5 or more","Yes","Yes","No","Full Distribution (all floors)","5 or more","Yes","Dedicated room","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","Verizon,Time Warner Cable,Lightpath,Level(3),Cogent,Abovenet"
