"unique_key","created_date","closed_date","agency","agency_name","complaint_type","descriptor","location_type","incident_zip","incident_address","street_name","cross_street_1","cross_street_2","intersection_street_1","intersection_street_2","address_type","city","landmark","facility_type","status","due_date","resolution_action_updated_date","community_board","borough","x_coordinate_state_plane_","y_coordinate_state_plane_","park_facility_name","park_borough","school_name","school_number","school_region","school_code","school_phone_number","school_address","school_city","school_state","school_zip","school_not_found","school_or_citywide_complaint","vehicle_type","taxi_company_borough","taxi_pick_up_location","bridge_highway_name","bridge_highway_direction","road_ramp","bridge_highway_segment","garage_lot_name","ferry_direction","ferry_terminal_name","latitude","longitude","location"
"100677","2007-02-06T00:00:00.000","2007-02-07T00:00:00.000","DOT","Department of Transportation","Ferry Inquiry","Lost and Found","Ferry",,,,,,,,,,,"N/A","Closed","2007-03-08T00:00:00.000","2007-02-07T00:00:00.000","0 Unspecified","Unspecified",,,"Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified",,,,,,,,,,,"Manhattan Bound","Unknown",,,
"169606","2007-01-21T00:00:00.000","2007-01-23T00:00:00.000","DPR","Department of Parks and Recreation","Maintenance or Facility","Garbage or Litter","Park","10463",,,,,,,,"BRONX",,"N/A","Closed","2007-01-24T00:00:00.000","2007-01-23T00:00:00.000","08 BRONX","BRONX",,,"Ewen Park","BRONX","Ewen Park","X019",,,"7184301800","Johnson Avenue, West 232nd Street, Riverdale Avenue","BRONX","NY","10463",,,,,,,,,,,,,,,
"170753","2007-02-01T00:00:00.000","2007-02-01T00:00:00.000","TLC","Taxi and Limousine Commission","Taxi Complaint","Driver Complaint","Bridge",,,,,,,,,,,"N/A","Closed",,"2007-02-01T00:00:00.000","Unspecified QUEENS","QUEENS",,,"Unspecified","QUEENS","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified",,,,,,"Queensboro/59th St Br","Manhattan Bound","Roadway","Roadway",,,,,,
"170967","2007-01-30T00:00:00.000","2007-01-30T00:00:00.000","DOT","Department of Transportation","Ferry Inquiry","Lost and Found","Ferry",,,,,,,,,,,"N/A","Closed","2007-03-01T00:00:00.000","2007-01-30T00:00:00.000","0 Unspecified","Unspecified",,,"Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified",,,,,,,,,,,"Staten Island Bound","Unknown",,,
"587093","2007-01-25T00:00:00.000","2007-01-25T00:00:00.000","DOT","Department of Transportation","Traffic Signal Condition","Cable",,,,,,,"5 AVE","16 ST W","INTERSECTION",,,"N/A","Closed",,"2007-01-25T00:00:00.000","Unspecified MANHATTAN","MANHATTAN",,,"Unspecified","MANHATTAN","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified",,,,,,,,,,,,,,,
"171743","2007-02-05T00:00:00.000","2007-02-08T00:00:00.000","DOT","Department of Transportation","Ferry Complaint","General Complaint","Terminal",,,,,,,,,,,"N/A","Closed","2007-04-06T00:00:00.000","2007-02-08T00:00:00.000","0 Unspecified","Unspecified",,,"Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified",,,,,,,,,,,"N/A","Whitehall Terminal (Manhattan)",,,
"168682","2007-01-13T00:00:00.000","2007-01-16T00:00:00.000","DOT","Department of Transportation","Ferry Inquiry","Lost and Found","Ferry",,,,,,,,,,,"N/A","Closed","2007-02-12T00:00:00.000","2007-01-16T00:00:00.000","0 Unspecified","Unspecified",,,"Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified",,,,,,,,,,,"Staten Island Bound","Unknown",,,
"168537","2007-01-18T00:00:00.000","2007-01-19T00:00:00.000","DOT","Department of Transportation","Ferry Inquiry","Lost and Found","Ferry",,,,,,,,,,,"N/A","Closed","2007-02-17T00:00:00.000","2007-01-19T00:00:00.000","0 Unspecified","Unspecified",,,"Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified",,,,,,,,,,,"Staten Island Bound","Unknown",,,
"169448","2007-01-20T00:00:00.000","2007-01-20T00:00:00.000","DPR","Department of Parks and Recreation","Violation of Park Rules","Tree Damage or Arboricide","Park","10301",,,,,,,,"STATEN ISLAND",,"N/A","Closed","2007-02-03T00:00:00.000","2007-01-20T00:00:00.000","01 STATEN ISLAND","STATEN ISLAND",,,"Cloves Lake Park - War Memorial Ice Skating Rink","STATEN ISLAND","Cloves Lake Park - War Memorial Ice Skating Rink","R005",,,"7187201010","Victory Boulevard, West of Clove Road","STATEN ISLAND","NY","10301",,,,,,,,,,,,,,,
"167314","2007-01-08T00:00:00.000","2007-01-24T00:00:00.000","DCA","Department of Consumer Affairs","Consumer Complaint","Harassment",,"N/A","N/A N/A","N/A",,,,,,"N/A",,"N/A","Closed","2007-01-23T00:00:00.000","2007-01-08T00:00:00.000","0 Unspecified","Unspecified",,,"Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified",,,,,,,,,,,,,,,
