"building_id","bin","street_address","borocode","block","lot","bqi","aep_order","discharged_7a","hpd_vacate_order","dob_vacate_order","harassment_finding","date_added","borough","zipcode","latitude","longitude","community_board","council_district","bbl","census_tract","nta_neighborhood_tabulation"
"272","1005898","162 1 AVENUE","1","437","8","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10009","40.728676","-73.984486","103","2","1004370008","34","MN0303"
"374","1005968","188 1 AVENUE","1","439","4","No","No","No","No","Yes","No","2022-06-24T00:00:00.000","MANHATTAN","10009","40.729653","-73.983782","103","2","1004390004","34","MN0303"
"851","1043993","1403 2 AVENUE","1","1428","21","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10021","40.769632","-73.957768","108","5","1014280021","12602","MN0801"
"1102","1050341","1854 2 AVENUE","1","1558","49","No","No","No","No","Yes","No","2022-06-24T00:00:00.000","MANHATTAN","10128","40.784078","-73.947196","108","8","1015580049","15601","MN0803"
"1521","1020357","707 2 AVENUE","1","919","27","No","No","No","No","No","Yes","2022-06-24T00:00:00.000","MANHATTAN","10016","40.747396","-73.973986","106","4","1009190027","78","MN0603"
"1975","1052434","1985 3 AVENUE","1","1659","1","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10029","40.793625","-73.943162","111","8","1016590001","180","MN1102"
"3376","1054974","1845 ADAM C POWELL BOULEVARD","1","1822","7502","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10026","40.80086","-73.954233","110","9","1018227502","216","MN1001"
"3393","1055057","1917 ADAM C POWELL BOULEVARD","1","1825","63","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10026","40.803165","-73.952556","110","9","1018250063","218","MN1001"
"3438","1057699","2035 ADAM C POWELL BOULEVARD","1","1906","62","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10027","40.806844","-73.949869","110","9","1019060062","220","MN1001"
"3512","1058243","2269 ADAM C POWELL BOULEVARD","1","1918","63","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10030","40.814318","-73.944409","110","9","1019180063","226","MN1002"
"3634","1060510","2530 ADAM C POWELL BOULEVARD","1","2032","33","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10039","40.822629","-73.938364","110","9","1020320033","234","MN1002"
