"maprojid","magency","projectid","descriptio","ccnonexemp","ccexempt","totalcityp","nccstate","nccfederal","nccother","totalnonci","totalplann","totalspend","maxdate","mindate","magencyacr","magencynam","typecatego","ccpversion","the_geom"
"850LNXEA08CH","850","LNXEA08CH","CASTLE HILL: HVAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4236.83","2023-06-01T00:00:00.000","2014-06-03T00:00:00.000","DDC","Department of Design and Construction","Fixed Asset","fisa_2023","MULTIPOINT ((-73.85016862561031 40.82662167340427))"
"850LNXEA08CP","850","LNXEA08CP","CLASONS POINT: HVAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","462559.0","2025-06-01T00:00:00.000","2018-12-31T00:00:00.000","DDC","Department of Design and Construction","Fixed Asset","fisa_2023","MULTIPOINT ((-73.87501861784547 40.829974673212554))"
"850LNXEA08FN","850","LNXEA08FN","FRANCIS MARTIN: HVAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1273300.94","2026-06-01T00:00:00.000","2018-12-31T00:00:00.000","DDC","Department of Design and Construction","Fixed Asset","fisa_2023","MULTIPOINT ((-73.90927660550528 40.85743766929941))"
"850LNXEA08PC","850","LNXEA08PC","PARKCHESTER: HVAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2023-06-01T00:00:00.000","2022-12-01T00:00:00.000","DDC","Department of Design and Construction","Fixed Asset","fisa_2023","MULTIPOINT ((-73.85837362305844 40.83374567250623))"
"856CO264BKCV","856","CO264BKCV","210 JORALEMON ST. OCA RELOCATION","65900000","0.0","65900000","0.0","0.0","0.0","0.0","65900000","7086764.44","2029-06-01T00:00:00.000","2017-02-07T00:00:00.000","DCAS","Department of Citywide Administrative Services","Fixed Asset","fisa_2023","MULTIPOINT ((-73.99047158904322 40.69206370421464))"
"856PO79QTP","856","PO79QTP","NYPD - COLLEGE POINT TOW POUND","13000","0.0","13000","0.0","0.0","0.0","0.0","13000","5607422.99","2023-06-01T00:00:00.000","2021-09-13T00:00:00.000","DCAS","Department of Citywide Administrative Services","Fixed Asset","fisa_2023","MULTIPOINT ((-73.84227363156394 40.768608684727866))"
"850NDF-CRLYN","850","NDF-CRLYN","Mary Cali Dalton Recreation Center DB","88329000","0.0","88329000","0.0","0.0","0.0","0.0","88329000","369618.57","2026-06-01T00:00:00.000","2021-11-01T00:00:00.000","DDC","Department of Design and Construction","Fixed Asset","fisa_2023","MULTIPOINT ((-74.07444446973908 40.63755141703666))"
"850NDF-DAVID","850","NDF-DAVID","NDF - DAVIDSON AVE COMMUNITY CENTER","4294000","0.0","4294000","0.0","0.0","0.0","0.0","4294000","0.0","2024-06-01T00:00:00.000","2022-12-01T00:00:00.000","DDC","Department of Design and Construction","Fixed Asset","fisa_2023","MULTIPOINT ((-73.89909429903655 40.8274449579873))"
"850NEWCJC2","850","NEWCJC2","NEW CONSTRUCTION AT CROSSROADS JC PHASE 2.0","167998000","0.0","167998000","0.0","0.0","0.0","0.0","167998000","0.0","2033-06-01T00:00:00.000","2022-10-01T00:00:00.000","DDC","Department of Design and Construction","Fixed Asset","fisa_2023","MULTIPOINT ((-73.9125452662216 40.670884535399864))"
"850P-4QNHSR1","850","P-4QNHSR1","Queens Historical Society Construction and Renovation to DDC","1953000","0.0","1953000","0.0","0.0","0.0","0.0","1953000","0.0","2025-06-01T00:00:00.000","2024-06-01T00:00:00.000","DDC","Department of Design and Construction","Lump Sum","fisa_2023","MULTIPOINT ((-73.8241503781752 40.76359815421813))"
