"district","school","borough","address","number_of_seats","anticipated_opening","postcode","latitude","longitude","community_board","council_district","bin","bbl","census_tract","nta","data_as_of"
"15","P.S. @ 4302 4TH AVENUE","BROOKLYN","4302 4TH AVENUE","332","2023","11232","40.650305","-74.008602","307","38","3000000","3007280036","82","BK0702","2022-11-01T00:00:00.000"
"15","P.S. @ 4513 8TH AVENUE","BROOKLYN","4513 8TH AVENUE","328","2023","11220","40.643781","-74.000926","312","38","3011760","3007510001","9402","BK1201","2022-11-01T00:00:00.000"
"28","P.S. 206 ADDITION","QUEENS","61-21 97TH PLACE","392","2023","11374","40.73425","-73.861546","406","24","4050414","4020830123","71702","QN0601","2022-11-01T00:00:00.000"
"30","I.S. @ 47-10 BARNETT AVENUE","QUEENS","47-10 BARNETT AVENUE","725","2023","11104","40.750017","-73.915867","402","26","4000846","4001250010","169","QN0202","2022-11-01T00:00:00.000"
"78Q","CARDOZO HS ANNEX","QUEENS","57-00 223 STREET","795","2023","11364","40.752333","-73.75599","411","23","4161735","4075290001","138501","QN1102","2022-11-01T00:00:00.000"
"15","P.S. @ 4302 4TH AVENUE","BROOKLYN","4302 4TH AVENUE","332","2022","11232","40.650305","-74.008602","307","38","3000000","3007280036","82","BK0702","2023-05-01T00:00:00.000"
"15","P.S. @ 4513 8TH AVENUE","BROOKLYN","4513 8TH AVENUE","328","2021","11220","40.643781","-74.000926","312","38","3011760","3007510001","9402","BK1201","2023-05-01T00:00:00.000"
"28","P.S. 206 ADDITION","QUEENS","61-21 97TH PLACE","392","2022","11374","40.73425","-73.861546","406","24","4050414","4020830123","71702","QN0601","2023-05-01T00:00:00.000"
"30","I.S. @ 47-10 BARNETT AVENUE","QUEENS","47-10 BARNETT AVENUE","725",,"11104","40.750017","-73.915867","402","26","4000846","4001250010","169","QN0202","2023-05-01T00:00:00.000"
"78Q","CARDOZO HS ANNEX","QUEENS","57-00 223 STREET","795",,"11364","40.752333","-73.75599","411","23","4161735","4075290001","138501","QN1102","2023-05-01T00:00:00.000"
