"license_nbr","lic_status","business_name","business_name2","building","street","city","state","zip","swc_type","swc_sq_ft","swc_tables","swc_chairs","dohmh","final_x","final_y","community_district","city_council_district","cd_url","app_id","app_swc_type","app_sq_ft","app_tables","app_chairs","app_status","app_status_date","expiration_date","app_too_date","submit_date","intake","intake_dd","dpqa","send_package_dd","cp","cp_dd","cb","cb_dd","hearing","hearing_dd","hearing_public","hearing_public_dd","cc","cc_dd","moo","moo_dd","issuance","issuance_dd"
,"Inactive","ELEVEN FOOD AND BEVERAGE INC.","NULL","11","6TH AVE","NEW YORK","NY","10013","Enclosed","263","6","26","NULL","982755","201428","101","1","http://www.nyc.gov/html/mancb1/html/home/home.shtml","1009-2018-ASWC","Enclosed","263","6","26","Pending Review","2019-09-05T00:00:00.000",,"2020-01-10T00:00:00.000","2018-01-25T00:00:00.000","Ready For Review","2018-01-25T00:00:00.000","Review Completed","2018-01-26T00:00:00.000","Proceed","2020-04-17T00:00:00.000","Review Period Expired","2020-04-17T00:00:00.000","Waived","2020-04-17T00:00:00.000","NULL",,"Review Period Expired","2020-05-08T00:00:00.000","Pending Review",,"Pending Review",
,"Inactive","GEORGE'S SCC, INC.","GEORGE'S RESTAURANT","3000","BUHRE AVE","BRONX","NY","10461","Enclosed","511","11","44","41249600","1030692","247924","210","13","http://www.nyc.gov/html/bxcb10/html/home/home.shtml","13417-2019-ASWC","Enclosed","511","11","44","Pending Review","2020-02-28T00:00:00.000",,"2020-03-31T00:00:00.000","2019-12-05T00:00:00.000","Ready For Review","2019-12-05T00:00:00.000","Review Completed","2019-12-09T00:00:00.000","Proceed","2020-04-17T00:00:00.000","Review Period Expired","2020-04-17T00:00:00.000","Waived","2020-04-17T00:00:00.000","NULL",,"Review Period Expired","2020-05-08T00:00:00.000","Pending Review","2019-12-05T00:00:00.000","Pending Review",
"0293907-DCA","Inactive","DMF GRAMERCY ENTERPRISES, INC.","PETE'S TAVERN S/C #111","129","E 18TH ST","NEW YORK","NY","10003","Unenclosed","611","16","54","40369810","987951","207583","106","2","http://cbsix.org","3954-2020-RSWC","Unenclosed","611","16","54","Pending Review","2020-03-12T00:00:00.000","2020-04-15T00:00:00.000","2020-03-31T00:00:00.000","2020-02-26T00:00:00.000","Ready For Review","2020-03-12T00:00:00.000","Under Review",,"Pending Review","2020-03-12T00:00:00.000","Pending Review",,"Pending Review",,"NULL",,"Pending Review",,"Pending Review",,"Pending Review",
"0571720-DCA","Inactive","1616 SECOND AVENUE RESTAURANT INC.","DORRIAN'S RED HAND","1616","2ND AVE","NEW YORK","NY","10028","Enclosed","435","15","34","40365239","997368","222117","108","5","http://www.cb8m.com/","19590-2019-RSWC","Enclosed","435","15","34","Pending Review","2020-06-10T00:00:00.000","2020-09-30T00:00:00.000","2020-09-30T00:00:00.000","2019-05-13T00:00:00.000","Ready For Review","2019-05-13T00:00:00.000","Issued Temp Op Letter","2019-05-14T00:00:00.000","Pending Review","2019-05-14T00:00:00.000","Pending Review","2019-05-14T00:00:00.000","Pending Review",,"NULL",,"Pending Review",,"Pending Review",,"Pending Review",
"0769760-DCA","Inactive","FIRST 69TH ST. REALTY CORP.","WESTSIDE RESTAURANT E/S/C #417","2020","BROADWAY","NEW YORK","NY","10023","Enclosed","422","17","34","40386556","989256","222131","107","6","http://www.nyc.gov/mcb7","8370-2018-RSWC","Enclosed","422","17","34","Pending Review","2020-06-10T00:00:00.000","2020-09-10T00:00:00.000","2020-09-10T00:00:00.000","2018-05-11T00:00:00.000","Ready For Review","2018-05-11T00:00:00.000","Issued Temp Op Letter","2018-05-16T00:00:00.000","Pending Review","2018-05-16T00:00:00.000","Pending Review","2018-05-16T00:00:00.000","Pending Review",,"NULL",,"Pending Review",,"Pending Review",,"Pending Review",
"0782318-DCA","Inactive","CAVALLACCI, FABRIZIO","CAFE REGGIO","119","MACDOUGAL ST","NEW YORK","NY","10012","Unenclosed","43","4","8","40369418","984153","205350","102","1","http://www.nyc.gov/manhattancb2","34478-2019-RSWC","Unenclosed","43","4","8","Pending Review","2020-01-09T00:00:00.000","2020-02-09T00:00:00.000","2020-02-09T00:00:00.000","2019-12-05T00:00:00.000","Ready For Review","2019-12-05T00:00:00.000","Issued Temp Op Letter","2019-12-06T00:00:00.000","Pending Review","2019-12-06T00:00:00.000","Pending Review","2019-12-06T00:00:00.000","Pending Review",,"SWC Public Hearing","2020-01-22T00:00:00.000","Pending Review",,"Pending Review",,"Pending Review",
"0811193-DCA","Inactive","MEZZALUNA ASSOCIATES","NULL","1295","3RD AVE","NEW YORK","NY","10021","Unenclosed","63","2","4","40379662","995506","220221","108","4","http://www.cb8m.com/","24644-2019-RSWC","Unenclosed","63","2","4","Pending Review","2019-12-11T00:00:00.000","2020-03-15T00:00:00.000","2020-03-15T00:00:00.000","2019-07-25T00:00:00.000","Ready For Review","2019-07-25T00:00:00.000","Issued Temp Op Letter","2019-07-25T00:00:00.000","Pending Review","2019-07-25T00:00:00.000","Recommend Approval","2019-08-21T00:00:00.000","Waived","2019-09-04T00:00:00.000","NULL",,"Review Period Expired","2019-09-25T00:00:00.000","Pending Review",,"Pending Review",
"0819452-DCA","Inactive","FRIEND OF A FARMER CORP.","NULL","77","IRVING PL","NEW YORK","NY","10003","Unenclosed","252","8","14","40384340","987926","207764","105","2","http://www.cb5.org","94-2011-RSWC","Unenclosed","252","8","14","Pending Review","2019-11-27T00:00:00.000","2020-02-15T00:00:00.000","2020-02-15T00:00:00.000","2016-04-27T00:00:00.000","NULL",,"Issued Temp Op Letter","2016-04-27T00:00:00.000","NULL","2013-10-19T00:00:00.000","Review Period Expired","2016-06-17T00:00:00.000","Pending Review","2016-06-17T00:00:00.000","SWC Public Hearing","2016-06-15T00:00:00.000","NULL",,"NULL",,"NULL",
"0851667-DCA","Inactive","TOTORE PIZZERIA & RESTAURANT, INC.","NULL","3620","DITMARS BLVD","ASTORIA","NY","11105","Enclosed","395","8","32","40544948","1009759","221192","401","22","http://www.nyc.gov/html/qnscb1/html/home/home.shtml","18059-2017-RSWC","Enclosed","395","8","32","Pending Review","2019-08-05T00:00:00.000","2019-11-12T00:00:00.000","2019-11-12T00:00:00.000","2019-12-19T00:00:00.000","Ready For Review","2017-05-16T00:00:00.000","Issued Temp Op Letter","2017-05-23T00:00:00.000","Pending Review","2017-05-23T00:00:00.000","Pending Review","2017-05-23T00:00:00.000","Pending Review",,"NULL",,"Pending Review",,"Pending Review",,"Pending Review",
"0852766-DCA","Active","LAMARCA INC.","LAMARCA CHEESE SHOP","161","E 22ND ST","NEW YORK","NY","10010","Enclosed","142","5","10","40887926","988638","208286","106","2","http://cbsix.org","10795-2014-RSWC","Enclosed","142","5","10","Application Review Completed","2020-05-12T00:00:00.000","2020-04-30T00:00:00.000","2020-04-30T00:00:00.000","2017-05-30T00:00:00.000","Ready For Review","2014-05-07T00:00:00.000","Process Completed","2014-05-16T00:00:00.000","Proceed","2020-04-22T00:00:00.000","Recommend Approval","2020-04-22T00:00:00.000","Recommendation Issued","2020-04-22T00:00:00.000","SWC Public Hearing","2020-06-10T00:00:00.000","NULL",,"NULL",,"NULL",
