"entityid","schoolname","number","street","city","state","borough","zipcode","lastinspection","permittee","inspectiondate","ptet","site_type","level","code","violationdescription","latitude","longitude","communityboard","councildistrict","censustract","bin","bbl","nta","borocode"
"40542839","P.S. 127 MCKINLEY PARK, RALPH A. FABRIZIO SCHOOL ANNEX","7805","7 AVENUE","Brooklyn","NY","Brooklyn","11228","2023-02-02T00:00:00.000","NEW YORK CITY DEPARTMENT OF EDUCATION","2022-07-28T00:00:00.000","2530","FSE (Public School Cafeteria)",,,,"40.624125007323","-74.018825846384","310","43","020600","3150481","3059730001","BK30","3"
"40736086","BAIS YITZHAK SCHOOL","141315","45 STREET","BROOKLYN","NY","Brooklyn",,"2023-02-15T00:00:00.000","CONGREGATION KHAL CHASIDEI SKWERE - BAIS YITZAK YESHIVA","2022-03-01T00:00:00.000","2533","FSE (Private School Cafeteria - Not-For-Profit)","G","10A","Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.","0","0",,,,,"3",,"3"
"40542116","P.S. 135 SHELDON A. BROOKNER","684","LINDEN BOULEVARD","Brooklyn","NY","Brooklyn","11203","2023-01-23T00:00:00.000","NEW YORK CITY DEPARTMENT OF EDUCATION","2022-11-17T00:00:00.000","2530","FSE (Public School Cafeteria)","C","04A","Food Protection Certificate (FPC) not held by manager or supervisor of food operations.","40.653632649836","-73.933114419406","317","41","087000","3102005","3046730001","BK91","3"
"40542900","PAN AMERICAN INTERNATIONAL HIGH SCHOOL AT MONROE, LEARNING TO WORK YABC AT MONROE ACADEMY, THE METRO","1300","BOYNTON AVENUE","Bronx","NY","Bronx","10472","2023-03-09T00:00:00.000","NEW YORK CITY DEPARTMENT OF EDUCATION","2023-03-09T00:00:00.000","2530","FSE (Public School Cafeteria)","C","04L","Evidence of mice or live mice in establishment's food or non-food areas.","40.831594375585","-73.878911188901","209","18","005600","2027459","2038640001","BX08","2"
"40541560","PS811M @ PS 149M, SUCCESS ACADEMY CHARTER-HARLEM 1","34","WEST  118 STREET","New York","NY","Manhattan","10026","2023-01-31T00:00:00.000","NEW YORK CITY DEPARTMENT OF EDUCATION","2022-08-01T00:00:00.000","2530","FSE (Public School Cafeteria)","C","04M","Live roaches in facility's food or non-food area.","40.802463717308","-73.946715302739","110","09","019000","1051434","1016010001","MN11","1"
"40542147","P.S. 244 RICHARD R. GREEN, BROOKLYN SCIENCE AND ENGINEERING ACADEMY","5400","TILDEN AVENUE","Brooklyn","NY","Brooklyn","11203","2023-01-23T00:00:00.000","NEW YORK CITY DEPARTMENT OF EDUCATION","2022-07-19T00:00:00.000","2530","FSE (Public School Cafeteria)","C","04L","Evidence of mice or live mice in establishment's food or non-food areas.","40.648413177032","-73.925977216066","317","45","094600","3104513","3047390001","BK96","3"
"40541310","P.S. 183 DR. RICHARD R. GREEN","245","BEACH   79 STREET","Far Rockaway","NY","Queens","11693","2023-03-06T00:00:00.000","NEW YORK CITY DEPARTMENT OF EDUCATION","2022-07-14T00:00:00.000","2530","FSE (Public School Cafeteria)","G","10F","Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","40.589500283191","-73.805362121613","414","31","094202","4303354","4161120001","QN12","4"
"50113383","BEDFORD STUYVESANT NEW BEGINNING CHARTER SCHOOL","82","LEWIS AVENUE","Brooklyn","NY","Brooklyn","11206","2023-03-09T00:00:00.000","SLA MANAGEMENT INC","2021-12-09T00:00:00.000","2529","FSE (Private School Cafeteria - For Profit)",,,,"40.694672226223","-73.937389676621","303","36","028300","3043017","3015910045","BK35","3"
"50082553","CHALLENGE PREPARATORY MIDDLE CHARTER SCHOOL","1526","CENTRAL AVE","FAR ROCKAWAY","NY","Queens","11691","2022-10-27T00:00:00.000","NEW YORK CITY DEPARTMENT OF EDUCATION","2022-10-27T00:00:00.000","2531","FSE (Private School Cafeteria)",,,,"40.60563955701","-73.75141702832","414","31","103202","4297966","4155370137","QN15","4"
"50047517","ROCHDALE EARLY ADVANTAGE CHARTER SCHOOL","11051","GUY R BREWER BLVD","JAMAICA","NY","Queens","11433","2022-10-24T00:00:00.000","ROCHDALE EARLY ADVANTAGE CHARTER SCHOOL","2022-02-18T00:00:00.000","2533","FSE (Private School Cafeteria - Not-For-Profit)","C","02G","Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.","40.692218014904","-73.78806942447","412","27","026400","4000000","4101920001","QN01","4"
"40542973","P.S. 175 CITY ISLAND","200","CITY ISLAND AVENUE","Bronx","NY","Bronx","10464","2022-07-19T00:00:00.000","NEW YORK CITY DEPARTMENT OF EDUCATION","2022-04-11T00:00:00.000","2530","FSE (Public School Cafeteria)",,,,"40.843866408662","-73.785217068637","210","13","051600","2082444","2056410280","BX10","2"
"41218279","CAMBRIA CENTER FOR THE GIFTED CHILD","23310","LINDEN BOULEVARD","CAMBRIA HTS","NY","Queens","11411","2023-01-13T00:00:00.000","CAMBRIA ACADEMY GIFTED LTD","2021-03-01T00:00:00.000","2529","FSE (Private School Cafeteria - For Profit)",,,,"40.691028382901","-73.728898994497","413","27","062200","4274720","4127500005","QN33","4"
"50015686","GED PLUS - CITYWIDE","88","VISITATION PLACE","Brooklyn","NY","Brooklyn","11231","2022-10-04T00:00:00.000","NEW YORK CITY DEPARTMENT OF EDUCATION","2022-10-04T00:00:00.000","2530","FSE (Public School Cafeteria)","C","04A","Food Protection Certificate (FPC) not held by manager or supervisor of food operations.","40.678911957614","-74.009618978216","306","38","005900","3331865","3005300013","BK33","3"
"40542774","INTERNATIONAL ART AND BUSINESS HS","600","KINGSTON AVENUE","Brooklyn","NY","Brooklyn","11203","2023-03-22T00:00:00.000","NEW YORK CITY DEPARTMENT OF EDUCATION","2021-08-03T00:00:00.000","2530","FSE (Public School Cafeteria)","C","02G","Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.","40.658885742703","-73.942458501069","309","40","081000","3107227","3048110001","BK60","3"
"41171740","UNITED TALMUDICAL ACADEMY","590","BEDFORD AVENUE","Brooklyn","NY","Brooklyn","11249","2023-03-22T00:00:00.000","TALMUDICAL ACAD UNITED","2021-06-24T00:00:00.000","2533","FSE (Private School Cafeteria - Not-For-Profit)","G","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","40.703534399051","-73.960474711158","301","33","053900","3060113","3021920050","BK72","3"
"40543628","P.S. 022 GRANITEVILLE","1860","FOREST AVENUE","NULL","NY","Staten Island","10303","2023-01-17T00:00:00.000","NEW YORK CITY DEPARTMENT OF EDUCATION","2022-04-07T00:00:00.000","2530","FSE (Public School Cafeteria)","G","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","40.625361014185","-74.150969886077","501","49","030302","5107239","5017060001","SI12","5"
"50046980","YESHIVAT OHR HAIIM","8606","135TH ST","RICHMOND HILL","NY","Queens","11418","2023-01-11T00:00:00.000","YESHIVAT OHR HAIIM INC","2021-06-07T00:00:00.000","2533","FSE (Private School Cafeteria - Not-For-Profit)","C","04A","Food Protection Certificate not held by supervisor of food operations.","40.705662442166","-73.820523565455","409","29","021600","4206444","4096300028","QN60","4"
"50132228","SAMARA COMMUNITY SCHOOL","1570","BOONE AVENUE","Bronx","NY","Bronx","10460","2023-02-27T00:00:00.000","NEW YORK CITY DEPARTMENT OF EDUCATION","2023-02-27T00:00:00.000","2530","FSE (Public School Cafeteria)",,,,"40.83321725277","-73.884968417569","203","17","015700","2000000","2030140016","BX75","2"
