"summons_number","plate_id","registration_state","plate_type","issue_date","violation_code","vehicle_body_type","vehicle_make","issuing_agency","street_code1","street_code2","street_code3","vehicle_expiration_date","violation_location","violation_precinct","issuer_precinct","issuer_code","issuer_command","issuer_squad","violation_time","time_first_observed","violation_county","violation_in_front_of_or_opposite","house_number","street_name","intersecting_street","date_first_observed","law_section","sub_division","violation_legal_code","days_parking_in_effect","from_hours_in_effect","to_hours_in_effect","vehicle_color","unregistered_vehicle","vehicle_year","meter_number","feet_from_curb","violation_post_code","violation_description","no_standing_or_stopping_violation","hydrant_violation","double_parking_violation"
"1399565497","7H86H","NY","OMT","2069-06-19T00:00:00.000","9","TAXI","NISSA","K","11115","45090","15420","20180228","6","6","1","160569","0001","0000","1119P",,"NY",,"353","W ST",,"0","408","F2",,"BBBBBBB","ALL","ALL","YELLO","0","2014","-","0",,,,,
"1419314038","FXN3423","NY","PAS","2067-09-11T00:00:00.000","16","SDN","NISSA","P","55330","36780","86030","20180224","67","67","67","954293","0067","0000","0850P",,"K",,,"R/O 617 LENOX RD",,"0","408","F1",,"BBBBBBB","ALL","ALL","GRY","0","2009","-","0",,,,,
"1421485217","FTH2830","NY","PAS","2067-07-15T00:00:00.000","14","SDN","VOLVO","P","91080","64230","67047","20180307","60","60","0","944141","TD34","0000","1047P",,"K","O","2906","WEST 12 STREET",,"0","408","C",,"BBBBBBB","ALL","ALL","BK","0","2009","-","0",,,,,
"1438871387","FPT2367","NY","PAS","2067-05-13T00:00:00.000","40","SDN","BMW","P","10910","34070","34090","20191109","10","10","10","958706","0010","0000","0040A",,"NY","F","75","9 AVE",,"0","408","E2",,"BBBBBBB","ALL","ALL",,"0","0","-","5",,,,,
"1424429031","HGU4734","NY","PAS","2066-06-07T00:00:00.000","50","SUBN","AUDI","P","9230","6580","6680","20180420","66","66","66","960535","0066","0000","1248A",,"K","F","1501","53 STREET",,"0","408","C",,"BBBBBBB","ALL","ALL","BK","0","2017","-","0",,,,,
"1424538919","72123MH","NY","OMT","2062-11-16T00:00:00.000","78",,"FORD","P","16930","19030","15780","20180430","62","62","62","962822","0062","0000","1109",,"K","F","100","BAY 35",,"0","408","F2",,"BBBBBBB","0900P","0500A","WHITE","0","2016","-","0",,,,,
"1423026925","49783JG","NY","COM","2061-07-26T00:00:00.000","46","DELV","GMC","P","10210","17490","17510","0","13","13","13","939747","0013","0000","0704P",,"NY","F","349","3RD AVE",,"0","408","F1",,"BBBBBBB","ALL","ALL","BROWN","0","1986","-","0",,,,,
"1420878104","94914JA","NY","COM","2047-08-29T00:00:00.000","46","DELV","MERCU","P","67030","14180","14230","0","63","63","63","952509","0063","0000","1246P",,"K","O","2603","NOSTRAND AV",,"0","408","F1",,"BBBBBBB","ALL","ALL","BRWN","0","2001","-","0",,,,,
"1428740521","HQIG04","FL","PAS","2047-07-13T00:00:00.000","20","SUBN","FORD","P","0","0","0","0","48","48","801","345239","T801","0000","0344A",,"BX","F",,"W/S HUGHES AVE","5  E/O 178TH","0","408","K6",,"BBBBBBB","ALL","ALL","GREEN","0","0","-","0",,,,,
"1426627002","T730027C","NY","OMT","2041-08-06T00:00:00.000","40","SDN","TOYOT","P","36990","21190","29690","20180131","33","33","33","938339","0033","0000","0235P",,"NY","O","674","W 161 STREET",,"0","408","C",,"BBBBBBB","ALL","ALL","BLK","0","2013","-","8",,,,,
"1423281378","F62HVN","NJ","PAS","2033-06-10T00:00:00.000","19","SUBN","SUBAR","P","13610","37070","37090","0","33","33","33","945357","0033","0000","0330P","1438A","NY","F","3940","BROADWAY",,"20330610","408","D",,"BBBBBBB","ALL","ALL","GREY","0","0","-","0",,,,,
"1425668811","57818MD","99","COM","2031-10-29T00:00:00.000","46","DELV","MITSU","P","0","40404","40404","20190531","110","110","110","953921","0110","0000","0455P",,"Q","F","104-37","ALSTYNE",,"0","408","F7",,"BBBBBBB","ALL","ALL","WHT","0","2008","-","0",,,,,
"1421833633","BFQI86","FL","PAS","2031-10-29T00:00:00.000","19","SDN","FORD","P","53530","44930","51530","0","90","90","90","947620","0090","0000","0317P",,"K","F","195","JOHNSON AVE",,"0","408","F2",,"BBBBBBB","ALL","ALL","RED","0","0","-","0",,,,,
"1426574927","HFF8908","NY","PAS","2031-10-23T00:00:00.000","21","SDN","TOYOT","S","38370","12990","13040","20180510","112","112","0","556155","QW06","0000","1215P",,"Q","F","63-31","CARLTON ST",,"0","408","K4",,"YBBBBBB","1130A","0100P","BLUE","0","2006","-","0",,,,,
"1426004667","T233641","IL","PAS","2031-08-29T00:00:00.000","66","TRAI",,"P","56820","25710","25800","0","40","40","40","957346","0040","0000","2135P",,"BX","O","2520","PARK AVE",,"0","408","F1",,"BBBBBBB","ALL","ALL","SILVE","0","0","-","0",,,,,
"1422868175","66631MJ","NY","COM","2031-07-23T00:00:00.000","78","VAN","CHEVR","P","25960","9690","9840","20190126","111","111","111","960273","0111","0000","0938P",,"Q","F","42-11","202 STREET",,"0","408","C3",,"BBBBBBB","ALL","ALL","WHITE","0","2007","-","0",,,,,
"1433669031","GAR7077","NY","PAS","2030-11-29T00:00:00.000","21","SUBN","SUBAR","S","35630","41730","44430","20181011","70","70","0","582955","KS14","0000","1010A",,"K","O","729","E 18TH ST",,"0","408","D1",,"BBYBBBB","0930A","1100A","WHITE","0","1998","-","0",,,,,
"1421917567","PWD7356","99","PAS","2030-10-20T00:00:00.000","46","DELV","MERCU","P","24890","17910","17930","0","17","17","17","940867","0017","0000","0900A",,"NY","F","485","LEXINGTON AVE",,"0","408","C4",,"BBBBBBB","ALL","ALL","WHITE","0","0","-","0",,,,,
"1425725351","AH49444","AR","PAS","2030-10-01T00:00:00.000","98","VAN","GMC","P","68490","57690","61540","0","104","104","104","962577","0104","0000","0648A",,"Q","F","1059","WYCKOFF AVE",,"0","408","E2",,"BBBBBBB","ALL","ALL","WHITE","0","0","-","0",,,,,
"1422984461","2240652","IN","PAS","2030-07-29T00:00:00.000","14","DELV","FRUEH","P","34690","13610","10810","0","18","18","161","955856","0161","0000","1240P",,"NY","F","227","WEST 46TH STREET",,"0","408","D",,"BBBBBBB","ALL","ALL","BK","0","0","-","0",,,,,
"1367909971","EFD7398","NC","PAS","2029-09-29T00:00:00.000","46","SUV","MAZDA","C","24390","24750","20890","0","5","5","0","0","NYFC","0000","0228P","0222P",,"F","60","LAFAYETTE ST",,"0","408","C4",,"BBBBBBB","ALL","ALL","BLACK","0","0","-","0",,,,,
"1434370320","GCL7792","NY","PAS","2029-01-01T00:00:00.000","20","SUBN","KIA","P","53850","40404","40404","20181214","123","123","123","944935","0123","0000","0815A",,"R","F","2","WAINWRIGHT AVE",,"0","408","D",,"BBBBBBB","ALL","ALL","WHITE","0","2016","-","0",,,,,
"1412661596","U809819","TN","PAS","2028-11-24T00:00:00.000","66","TRAI",,"S","19430","30150","41030","88888888","75","75","0","534156","KKTF","0000","0145A",,"K","F","777","BERRIMAN ST",,"0","408","K4",,"BBBBBBB","ALL","ALL","WHITE","0","0","-","0",,,,,
