"data_as_of","development","hud_amp_","tds_","consolidated_tds_","development_edp_","operating_edp_","hud__","program","method","type","number_of_section_8_transition_apartments","number_of_current_apartments","total_number_of_apartments","number_of_rental_rooms","avg_no_r_r_per_apartment","population_section_8_transition","population_public_housing","total_population","total_of_fixed_income_household","percent_fixed_income_households","number_of_residential_bldgs","number_of_non_residential_bldgs","number_of_stairhalls","number_of_stories","total_area_sq_ft","acres","net_dev_area_sq_ft","excluding_park_acres","bldg_coverage_sq_ft","cubage_cu_ft","bldg_coverage__","density","development_cost","per_rental_room","avg_monthly_gross_rent","location_street_a","location_street_b","location_street_c","location_street_d","borough","community_distirct","us_congressional_district","ny_state_senate_district","ny_state_assembly_district","ny_city_council_district","completion_date","federalized_development","senior_development","electricity_paid_by_residents","private_management"
"1/1/2019","1010 EAST 178TH STREET","NY005011330","180","180","289","289","NY005090","FEDERAL","CONVENTIONAL","NEW CONST",,"218","220","918.0","4.21",,"450","450","89","0.418","1","0","1","21","88,172","2.02","88,172","2.02","14,961","1,841,787","16.97%","223","$5,031,405","$5,341","$503","E TREMONT AVE","BRYANT AVE","E 178TH ST","BOSTON RD","BRONX","6","15","32","87","15","3/31/1971",,,,
"1/1/2019","104-14 TAPSCOTT STREET","NY005011670","242","167","361","283","NY005174","FEDERAL","TURNKEY","NEW CONST",,"30","30","131.0","4.37",,"65","65","5","0.172","1","0","1","4","10,000","0.23","10,000","0.23","6,983","351,238","69.83%","283","$839,110","$6,505","$643","TAPSCOTT ST","UNION ST","SUTTER AVE","BLAKE AVE","BROOKLYN","16","9","20","55","41","10/31/1972",,,,
"1/1/2019","1162-1176 WASHINGTON AVENUE","NY005013080","233","308","354","344","NY005138","FEDERAL","TURNKEY","REHAB",,"65","66","293.5","4.52",,"170","170","21","0.328","1","0","1","6","18,987","0.44","18,987","0.44","12,231","851,926","64.42%","386","$2,205,187","$7,302","$440","E 167TH ST","E 168TH ST","THIRD AVE","WASHINGTON AVE","BRONX","3","15","32","79","16","12/31/1975",,,,
"1/1/2019","131 SAINT NICHOLAS AVENUE","NY005010970","154","097","264","261","NY005065","FEDERAL","CONVENTIONAL","NEW CONST",,"98","100","386.0","3.94",,"165","165","41","0.427","1","0","1","17","29,359","0.67","29,359","0.67","5,759","771,591","19.62%","246","$1,880,013","$4,694","$529","SAINT NICHOLAS AVE","W 116TH ST","W 117TH ST",,"MANHATTAN","10","13","30","70","09","3/31/1965",,,,
"1/1/2019","1471 WATSON AVENUE","NY005010670","214","067","332","222","NY005162","FEDERAL","TURNKEY","NEW CONST",,"96","96","386.0","4.02",,"156","156","47","0.505","1","0","1","6","39,937","0.92","39,937","0.92","13,337","810,629","33.40%","170","$2,278,928","$5,814","$452","WATSON AVE","COLGATE AVE","EVERGREEN AVE",,"BRONX","9","15","32","85","17","12/31/1970",,,,
"1/1/2019","154 WEST 84TH STREET","NY005013590","359","359","840","840","NY005270","FEDERAL","TURNKEY","NEW CONST",,"35","35","157.5","4.50",,"74","74","7","0.2","1","0","1","7","9,621","0.22","9,621","0.22","5,774","361,857","60.01%","336","$4,503,296","$28,412","$644","AMSTERDAM AVE","W 84TH ST","COLUMBUS AVE",,"MANHATTAN","7","10","29","69","06","3/31/1996",,,"YES","YES"
"1/1/2019","303 VERNON AVENUE","NY005010730","156","073","267","267","NY005068","FEDERAL","CONVENTIONAL","NEW CONST",,"234","234","1,101.0","4.71",,"541","541","100","0.431","1","0","1","24","110,000","2.53","110,000","2.53","11,311","2,207,369","10.28%","214","$4,703,702","$4,272","$511","VERNON AVE","MARCUS GARVEY BLVD","MYRTLE AVE",,"BROOKLYN","3","8","18","54","36","5/31/1967",,,,
"1/1/2019","335 EAST 111TH STREET","NY005010640","203","064","320","219","NY005126","FEDERAL","TURNKEY","NEW CONST",,"66","66","259.0","3.92",,"114","114","33","0.5","1","0","1","6","20,205","0.46","20,205","0.46","9,143","530,550","45.25%","248","$1,241,825","$4,651","$482","SECOND AVE","E 111TH ST","FIRST AVE","E 112TH ST","MANHATTAN","11","13","29","68","08","6/30/1969",,,,
"1/1/2019","344 EAST 28TH STREET","NY005021850","185","153","452","452","NY005374","MIXED FINANCE/LLC2","CONVENTIONAL","NEW CONST","73","225","225","985.5","4.38","146","281","427","111","0.502","1","0","1","26","44,644","1.02","44,644","1.02","7,889","1,946,457","17.67%","419","$4,980,000","$5,053","$516","E 27TH ST","NEW ST","E 28TH ST","FIRST AVE","MANHATTAN","6","12","27","74","02","3/31/1971",,,,
"1/1/2019","45 ALLEN STREET","NY005011000","265","100","380","312","NY005186","FEDERAL","TURNKEY","NEW CONST",,"107","107","537.5","5.02",,"237","237","46","0.442","1","1","2","14","39,609","0.91","39,609","0.91","8,031","950,162","20.28%","260","$4,290,021","$7,981","$687","GRAND ST","ALLEN ST","HESTER ST","ELDRIDGE ST","MANHATTAN","3","7","26","65","01","7/31/1974",,,,
"1/1/2019","572 WARREN STREET","NY005011630","196","163","307","272","NY005103","FEDERAL","TURNKEY","NEW CONST",,"200","200","815.0","4.08",,"375","375","84","0.42","1","1","2","6","81,700","1.88","81,700","1.88","28,530","1,726,301","34.92%","199","$5,984,598","$7,116","$536","WARREN ST","BALTIC ST","THIRD AVE","FOURTH AVE","BROOKLYN","6","7","25","52","33","8/31/1972",,,,
"1/1/2019","830 AMSTERDAM AVENUE","NY005010820","150","082","258","258","NY005059","FEDERAL","CONVENTIONAL","NEW CONST",,"158","159","724.0","4.58",,"351","351","63","0.404","1","0","1","20","28,690","0.66","28,690","0.66","7,750","1,375,740","27.01%","532","$3,631,814","$4,992","$492","W 101ST ST","AMSTERDAM AVE","W 100TH ST",,"MANHATTAN","7","10","30","69","07","8/31/1965",,,,
"1/1/2019","ADAMS","NY005001180","118","118","248","248","NY005049","FEDERAL","CONVENTIONAL","NEW CONST",,"924","925","4,306.0","4.66",,"2,310","2,310","335","0.364","7","0","7","15-21","408,888","9.39","383,068","8.79","56,283","8,181,502","13.76%","246","$17,878,818","$4,149","$497","WESTCHESTER AVE","UNION AVE","E 152ND ST",,"BRONX","1","15","29","84","17","8/31/1964",,,,
