"menu_item_id","year","restaurant_item_name","restaurant","restaurant_id","item_name","item_description","food_category","serving_size","serving_size_text","serving_size_unit","serving_size_household","calories","total_fat","saturated_fat","trans_fat","cholesterol","sodium","potassium","carbohydrates","protein","sugar","dietary_fiber","calories_100g","total_fat_100g","saturated_fat_100g","trans_fat_100g","cholesterol_100g","sodium_100g","potassium_100g","carbohydrates_100g","protein_100g","sugar_100g","dietary_fiber_100g","calories_text","total_fat_text","saturated_fat_text","trans_fat_text","cholesterol_text","sodium_text","potassium_text","carbohydrates_text","protein_text","sugar_text","dietary_fiber_text","kids_meal","limited_time_offer","regional","shareable"
"170040","2018","7 Eleven 100% Colombian Coffee","7 Eleven","1","100% Colombian Coffee","100% Colombian Coffee, Coffee, Start My Day, Thirsty, At Participating Locations","Beverages",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","1","0"
"170093","2018","7 Eleven 10 For $2 Mini Tacos","7 Eleven","1","10 For $2 Mini Tacos","10 For $2 Mini Tacos, Late Night, Deals, Hot Snacks, Meals, Snacks; Choice of: Beef or Chicken Chile Verde","Sandwiches",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0"
"150023","2018","7 Eleven 2 for $1.69 Any Ring Donut","7 Eleven","1","2 for $1.69 Any Ring Donut","2 for $1.69 Any Ring Donut, Bakery, Start My Day, Snacks","Baked Goods",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0"
"170067","2018","7 Eleven 5 For $4 Grill Mix N Match","7 Eleven","1","5 For $4 Grill Mix N Match","5 For $4 Grill Mix N Match, Snacks, Hot Snacks, Late Night, Deals, Meals","Entrees",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0"
"170112","2018","7 Eleven 6 Mini Breakfast Sausage Empanadas","7 Eleven","1","6 Mini Breakfast Sausage Empanadas","6 Mini Breakfast Sausage Empanadas w/ Sausage, Egg, Cheddar Cheese, Green Bell Peppers, Jalapenos & Dough, Start My Day","Sandwiches",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0"
"170027","2018","7 Eleven 7-Select Cinnamon Roll Iced Cappuccino","7 Eleven","1","7-Select Cinnamon Roll Iced Cappuccino","7-Select Cinnamon Roll Iced Cappuccino, 7-Select Snacks, Snacks, 7-Select Beverages, Late Night, Coffee, Start My Day, Thirsty","Beverages",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0"
"112935","2018","7 Eleven 7-Select GO!Smart Coconut Water","7 Eleven","1","7-Select GO!Smart Coconut Water","7-Select GO!Smart Coconut Water, 7-Select Beverages, Late Night, Start My Day, Thirsty, 7-Select Snacks, Snacks; Choice of: Coconut or Pineapple Coconut","Beverages",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0"
"170029","2018","7 Eleven 7-Select Go!Smart Cold-Pressed Juices","7 Eleven","1","7-Select Go!Smart Cold-Pressed Juices","7-Select Go!Smart Cold-Pressed Juices, 7-Select Snacks, Snacks, Late Night","Beverages",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0"
"170018","2018","7 Eleven All Butter Croissant","7 Eleven","1","All Butter Croissant","All Butter Croissant, Bakery, Start My Day, Snacks","Baked Goods",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0"
"170019","2018","7 Eleven Apple Fritter","7 Eleven","1","Apple Fritter","Apple Fritter, Bakery, Start My Day, Snacks","Baked Goods",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0"
"170069","2018","7 Eleven Asian Style Beef & Broccoli Bowl","7 Eleven","1","Asian Style Beef & Broccoli Bowl","Asian Style Beef & Broccoli Bowl w/ Steak, White Rice, Broccoli, Roasted Red Peppers & Teriyaki Glaze, Limited Time, Locally Made Meals, Meals","Entrees",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","1","1","0"
"150042","2018","7 Eleven Bacon, Egg & Cheese Melt","7 Eleven","1","Bacon, Egg & Cheese Melt","Bacon, Egg & Cheese Melt, Sandwiches, Meals","Sandwiches",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0"
"170109","2018","7 Eleven Bacon, Egg & Cheese Muffin","7 Eleven","1","Bacon, Egg & Cheese Muffin","Bacon, Egg & Cheese Muffin, Sandwiches, Meals","Sandwiches",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0"
"150030","2018","7 Eleven Bagged Candy","7 Eleven","1","Bagged Candy","Bagged Candy, 7-Select Snacks, Snacks, Late Night; Choice of: Jelly Beans, Red Fish, Cherry Sours, Gummi Bears, Sour Neon Worms, Sour Watermelon Wedges, Assorted Filled Licorice, Blue Sharks, Gummi Worms, Gummi Peach Rings, Sour Green Apple Gummies, Sour Gummi Bears or Watermelon Rings","Desserts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0"
"170089","2018","7 Eleven Balsamic Chicken Salad","7 Eleven","1","Balsamic Chicken Salad","Balsamic Chicken Salad, Salads, Meals, Better For You","Salads",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0"
"170006","2018","7 Eleven Bananas","7 Eleven","1","Bananas","Bananas, 2 for $1, At Participating Locations, Snacks, Deals","Appetizers & Sides",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","1","0"
"170076","2018","7 Eleven Beef Enchiladas w/ Rice","7 Eleven","1","Beef Enchiladas w/ Rice","Beef Enchiladas w/ Rice, Beef, Pasilla Guajillo Pepper Sauce & Mexican Cheese, Limited Time, Locally Made Meals, Meals","Entrees",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","1","1","0"
"150006","2018","7 Eleven Beef Jerky","7 Eleven","1","Beef Jerky","Beef Jerky, 7-Select Snacks, Snacks, Late Night; Choice of: Original, Peppered or Teriyaki","Appetizers & Sides",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0"
