"bin","housenumber","streetname","borough","cbno","job_number","workpermitnumber","ahv_permit_number","ahvpermitstatus","variancetype","reasonforvariance","variance_start_date_time","variance_end_date_time","residence_200ft","enclosed_work","demolition","crane_use","latitude","longitude","community_board","council_district","census_tract","bbl","nta"
"2086823","2280","AQUEDUCT AVENUE","BRONX","207",,"X00605810-I1-SF","X3901086","AHV Permit Issued","Renewal","City Construction Project","2022-06-17T18:00:00.000","2022-06-17T23:59:00.000","true","false","false","false","40.859686","-73.906495","7","14","253","2032090001","Kingsbridge Heights"
"1026318","10","COLUMBUS CIRCLE","MANHATTAN","104",,"140897199-01-EW-OT, M00341822-I1-MS","M8952359","AHV Permit Issued","Initial","Construction activities with minimal noise impact","2021-08-31T18:00:00.000","2021-08-31T22:00:00.000","true","true","false","false","40.768244","-73.982339","4","3","145","1010497501","Lincoln Square"
"1000060","250","VESEY STREET","MANHATTAN","101",,"M00677675-I1-GC","M4834757","AHV Permit Issued","Renewal","Construction activities with minimal noise impact","2022-05-23T18:00:00.000","2022-05-24T02:30:00.000","true","true","false","false","40.714529","-74.015677","1","1","31703","1000160150","Battery Park City-Lower Manhattan"
"3257043","31","FLEET WALK","BROOKLYN","302",,"B00372756-I1-SH, B00372184-I1-FN, B00372762-I1-SF","B8626603","AHV Permit Issued","Renewal","Public Safety","2021-05-02T08:00:00.000","2021-05-02T18:00:00.000","true","false","false","false","40.695002","-73.981435","2","35","15","3020500001","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"1022679","138","WEST   48 STREET","MANHATTAN","105",,"M00452582-I1-GC, M00452582-S1-GC-CX, M00462158-I1-GC, M00462158-S3-MS","M2628292","AHV Permit Issued","Initial","Construction activities with minimal noise impact","2022-03-19T09:00:00.000","2022-03-19T17:00:00.000","true","false","false","false","40.759142","-73.98254","5","4","125","1010000049","Midtown-Midtown South"
"3186454","2630","BENSON AVENUE","BROOKLYN","313",,"B00590901-I1-FN","B9570119","AHV Permit Issued","Renewal","City Construction Project","2022-02-01T18:00:00.000","2022-02-02T00:00:00.000","true","false","false","false","40.594291","-73.98577","13","47","306","3068830001","Gravesend"
"1035441","280","PARK AVENUE","MANHATTAN","105",,"M00685224-I1-ST","M5576614","AHV Permit Issued","Renewal","Public Safety","2022-06-08T18:00:00.000","2022-06-09T02:30:00.000","true","true","false","false","40.756023","-73.974831","5","4","94","1012840033","Midtown-Midtown South"
"1076177","156","WEST   56 STREET","MANHATTAN","105",,"M00590292-I1-GC","M2574758","AHV Permit Issued","Initial","Construction activities with minimal noise impact","2021-10-15T18:00:00.000","2021-10-15T20:00:00.000","true","true","true","false","40.764538","-73.979813","5","4","137","1010087503","Midtown-Midtown South"
"1035053","730","5 AVENUE","MANHATTAN","105","M00145361-I1","M00145361-I1-SH","M7454085","AHV Permit Issued","Initial","Public Safety","2019-05-06T22:00:00.000","2019-05-07T06:00:00.000","true","false","false","false","40.762635","-73.974222","5","4","11201","1012727503","Midtown-Midtown South"
"1036505","425","PARK AVENUE","MANHATTAN","105",,"M00201646-I1-MS, M00205508-I1-ST, 140906330-01-EW-OT","M2076634","AHV Permit Issued","Renewal","Construction activities with minimal noise impact","2021-11-16T18:00:00.000","2021-11-16T23:59:00.000","true","true","false","false","40.760512","-73.971541","5","4","100","1013100001","Turtle Bay-East Midtown"
