"borough","admin_district","geographical_district","location_code","dbn","school_level","student_enrollment","full_time_licensed_pe_teachers","f_status_pe_teachers","itinerant_pe_teachers","sum_of_f_status_and_itinerant","total_part_time_and_full","shared_pe_teachers_with","ratio_of_full_time_licensed"
"Manhattan","1","1","M015","01M015","Elementary","190","1","0","0","0","1",,"1:190"
"Manhattan","1","1","M019","01M019","Elementary","257","1","0","0","0","1",,"1:257"
"Manhattan","1","1","M020","01M020","Elementary","497","1","0","0","0","1",,"1:497"
"Manhattan","1","1","M034","01M034","K-8","333","1","0","0","0","1",,"1:333"
"Manhattan","1","1","M063","01M063","Elementary","203","0","0","0","0","0",,"0"
"Manhattan","1","1","M064","01M064","Elementary","245","1","0","0","0","1",,"1:245"
"Manhattan","1","1","M110","01M110","Elementary","379","1","0","0","0","1",,"1:379"
"Manhattan","1","1","M134","01M134","Elementary","297","1","0","0","0","1",,"1:297"
"Manhattan","1","1","M140","01M140","K-8","371","1","0","0","0","1",,"1:371"
"Manhattan","1","1","M142","01M142","Elementary","340","1","0","0","0","1",,"1:340"
"Manhattan","1","1","M184","01M184","K-8","684","2","0","0","0","2",,"2:684"
"Manhattan","1","1","M188","01M188","K-8","433","1","0","0","0","1",,"1:433"
"Manhattan","1","1","M292","01M292","High School","171","2","0","0","0","2",,"2:171"
"Manhattan","1","1","M315","01M315","Elementary","318","1","0","0","0","1",,"1:318"
"Manhattan","1","1","M332","01M332","Junior High-Intermediate-Middle","203","1","0","0","0","1",,"1:203"
"Manhattan","1","1","M361","01M361","Elementary","315","0","0","0","0","0",,"0"
"Manhattan","1","1","M363","01M363","Elementary","304","1","0","0","0","1",,"1:304"
"Manhattan","1","1","M364","01M364","Elementary","355","0","0","0","0","0",,"0"
"Manhattan","1","1","M378","01M378","Junior High-Intermediate-Middle","256","2","0","0","0","2",,"2:256"
"Manhattan","1","1","M448","01M448","High School","465","2","0","0","0","2",,"2:465"
"Manhattan","1","1","M450","01M450","Secondary School","683","0","0","0","0","0",,"0"
"Manhattan","1","1","M458","01M458","High School","203","1","0","0","0","1",,"1:203"
"Manhattan","1","1","M509","01M509","High School","148","1","0","0","0","1",,"1:148"
