"reporting_year","borough_block_lot","property_street_address_or","borough","zip_code","sold_date","vacant_on_12_31","construction_reported","vacant_6_30_or_date_sold","primary_business_activity","property_number","property_street","unit","borough_1","postcode","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta","nbhd"
"2021 and 2022","1001980030","224 CANAL STREET","MANHATTAN","10013",,"YES",,"YES","NO BUSINESS ACTIVITY IDENTIFIED","224","CANAL STREET",,"MANHATTAN","10013","40.7175326","-73.9996501","1","1","29","1002366","1001980030","MN27","Chinatown"
"2021 and 2022","1003480028","99 Clinton Street","MANHATTAN","10002",,"NO",,,"MISCELLANEOUS OTHER SERVICE","99","CLINTON STREET",,"MANHATTAN","10002","40.7184183","-73.9857109","3","1","14","1004184","1003480028","MN28","Lower East Side"
"2021 and 2022","1000970010","106 South Street","MANHATTAN","10038",,"NO",,,"OTHER","156","BEEKMAN STREET",,"MANHATTAN","10038","40.7069817","-74.0022651","1","1","15","1001331","1000970010","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1001980030","224 CANAL STREET","MANHATTAN","10013",,"YES",,,"NO BUSINESS ACTIVITY IDENTIFIED","224","CANAL STREET",,"MANHATTAN","10013","40.7175326","-73.9996501","1","1","29","1002366","1001980030","MN27","Chinatown"
"2021 and 2022","1002830050","120 EAST BROADWAY","MANHATTAN","10002",,"NO",,,"OTHER","120","EAST BROADWAY",,"MANHATTAN","10002","40.7140355","-73.9922878","3","1","6","1003583","1002830050","MN28","Lower East Side"
"2021 and 2022","1003480027","97 CLINTON STREET","MANHATTAN","10002",,"NO",,,"RETAIL","97","CLINTON STREET",,"MANHATTAN","10002","40.7184842","-73.9856748","3","1","14","1004183","1003480027","MN28","Lower East Side"
"2021 and 2022","1000251001","25 BROAD STREET","MANHATTAN","10004",,"NO",,,"FOOD SERVICES","25","BROAD STREET","COM A","MANHATTAN","10004","40.705919","-74.010766","1","1","900","1000824","1000251001","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1000970006","110 SOUTH STREET","MANHATTAN","10038",,"YES",,,"NO BUSINESS ACTIVITY IDENTIFIED","110","SOUTH STREET",,"MANHATTAN","10038","40.7071492","-74.0019765","1","1","15","1001327","1000970006","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1001620021","31 PELL STREET","MANHATTAN","10013",,"NO",,,"FINANCE & INSURANCE","29","PELL STREET",,"MANHATTAN","10013","40.7148455","-73.9984994","3","1","29","1001696","1001620021","MN27","Chinatown"
"2021 and 2022","1001980029","232 CANAL STREET","MANHATTAN","10013",,"YES",,"YES","NO BUSINESS ACTIVITY IDENTIFIED","232","CANAL STREET",,"MANHATTAN","10013","40.7176232","-73.9998232","1","1","29","1002365","1001980029","MN27","Chinatown"
