"the_geom","seatingcho","retailname","bizname","bizdba","biz_desc","other_bizd","bizstreetn","suitenum","bizboro","bizzip","bizaddress","sidewalkdi","sidewalk_1","sidewalkar","openstreet","openstre_1","openstre_2","qualify_si","qualify_op","landmarkdi","landmark_1","healthcomp","submission","creationda","long","lat","x","y"
"POINT (-0.0000000001911132 -0.0000000001788617)","sidewalk","Cabin Modern","Cabin Modern LLC","Cabin Modern","Furniture Store",,"220 Court St.",,"Brooklyn","11201","220 Court St., Brooklyn, NY","14","18","252","0","0",,"yes","no","yes","yes","yes","2020-10-30T00:00:00.000","2022-11-02T00:00:00.000","-0.00000000019041344767","-1.78722274927E-10","31130726.7325","-2280004.57969"
"POINT (-0.0000000001911132 -0.0000000001788617)","both",,,,,,,,,,,"0","0",,"0","0",,"no","no",,,,,"2022-11-02T00:00:00.000","-0.00000000019041344767","-1.78722274927E-10","31130726.7325","-2280004.57969"
"POINT (-0.0000000001911132 -0.0000000001788617)","both",,,,,,,,,,,"0","0",,"0","0",,"no","no",,,,,"2022-11-02T00:00:00.000","-0.00000000019041344767","-1.78722274927E-10","31130726.7325","-2280004.57969"
"POINT (-0.0000000001911132 -0.0000000001788617)","both",,,,,,,,,,,"0","0",,"0","0",,"no","no",,,,,"2022-11-02T00:00:00.000","-0.00000000019041344767","-1.78722274927E-10","31130726.7325","-2280004.57969"
"POINT (-73.99417333897641 40.75136211465696)","sidewalk","Tick Tock Diner","34th Street Diner INC","Tick Tock Diner","Other","Restaurant","481 8th Avenue",,"Manhattan","10001","481 8th Avenue, Manhattan, NY","33","35","1155","0","0",,"yes","no","no",,"yes","2021-01-05T00:00:00.000","2022-11-02T00:00:00.000","-73.994173339","40.7513621147","985864.376681","213018.202622"
"POINT (-73.94424565756388 40.68428992259368)","sidewalk","Make Maniest LLC","Make Manifest Bk LLC","Make Maniest LLC","Clothing, Shoe, Accessories Store",,"382 Tompkins Ave.",,"Brooklyn","11216","382 Tompkins Ave., Brooklyn, NY","17","30","510","0","0",,"yes","no","no",,"yes","2022-05-23T00:00:00.000","2022-11-02T00:00:00.000","-73.9442456576","40.6842899226","999713.252198","188586.617299"
"POINT (-73.99455971917077 40.72368162194088)","sidewalk","Fjallraven","Fjällräven North America","Fjallraven North America","Clothing, Shoe, Accessories Store",,"262B Mott Street",,"Manhattan","10012","262B Mott Street, Manhattan, NY","19","12","228","0","0",,"yes","no","yes","yes","yes","2020-10-28T00:00:00.000","2022-11-02T00:00:00.000","-73.9945597192","40.7236816219","985757.949728","202933.318264"
"POINT (-73.93294284762682 40.84891765867641)","sidewalk","Centro de Fajas la Belleza es Tuya Corp.","Centro de Fajas la Belleza es Tuya Corp.","Centro de Fajas la Belleza es Tuya Corp.","Clothing, Shoe, Accessories Store",,"554 w 181st","1st Floor","Manhattan","10033","554 w 181st, Manhattan, NY","50","20","1000","0","0",,"yes","no","no",,"yes","2021-06-28T00:00:00.000","2022-11-02T00:00:00.000","-73.9329428476","40.8489176587","1002802.12725","248568.150879"
"POINT (-73.7948109091826 40.69783340234371)","sidewalk","Red Top Jerk Grill 2","Red Top Jerk Grill 2","Red Top Jerk Grill 2","Specialty Food Store (Cheese shop, butcher, fruit and vegetable store, fish market, bakery, etc.)",,"106-45 160th street",,"Queens","11433","106-45 160th street, Queens, NY","80","15","1200","0","0",,"yes","no","no",,"yes","2020-12-31T00:00:00.000","2022-11-02T00:00:00.000","-73.7948109092","40.6978334023","1041146.79794","193582.621087"
"POINT (-73.92447056940715 40.690902657710915)","sidewalk","METIS TRADING INC","METIS TRADING INC","METIS TRADING INC","Beauty Supply, Fragrance, Cosmetics Store",,"1285 BROADWAY",,"Brooklyn","11221","1285 BROADWAY, Brooklyn, NY","20","23","460","0","0",,"yes","no","no",,"yes","2020-11-03T00:00:00.000","2022-11-02T00:00:00.000","-73.9244705694","40.6909026577","1005195.71827","190999.938588"
