"date","program_area","program_type","service_category","provider","program_site_name","borough","street_address","city","state","zipcode","latitude","longitude","x_coordinate","y_coordinate","communitydistrict","community_name","city_council_district","census_tract_2010","nda","nta","bin","bbl","geocoded_column","ntaname","totalslots","totalparticipants","contract","portfolioid","age_range"
"2020","CSBG","High School","Afterschool Programs; Community Services; Educational Services; Family Support; Immigrant Services","CAMBA, Inc.","Wingate Educational Complex","Brooklyn","600 KINGSTON AVENUE","Brooklyn","NY","11203","40.6588926747262","-73.9424584694874","1000215","179334","Brooklyn CD 009","Brooklyn CD 009","Council District 040 Brooklyn","810","NDA009K","BK60","3107227","3048110001","POINT (-73.9424584694874 40.6588926747262)","Prospect Lefferts Gardens-Wingate","NA","NA","820906A","NA","Grades 9 - 12"
"2020","Discretionary","Over Threshold","Community Services","Drama Club, Inc","Drama Club, Inc.","Brooklyn","17 BRISTOL STREET","Brooklyn","NY","11212","40.6710333377123","-73.9129357784987","1008403","183659","Brooklyn CD 016","Brooklyn CD 016","Council District 041 Brooklyn","924","NDA Not-defined","BK81","3378202","3034980008","POINT (-73.9129357784987 40.6710333377123)","Brownsville","NA","NA","62320R","NA","NA"
"2020","Discretionary","Over Threshold","Community Services","La Nueva Esperanza, Inc.","La Cocina","Brooklyn","66 MOORE STREET","Brooklyn","NY","11206","40.7035694","-73.943031","1000040","195613","Brooklyn CD 001","Brooklyn CD 001","Council District 034 Brooklyn","491","Brooklyn Neighborhood Development Area 001","BK90","3071501","3031050019","POINT (-73.943031 40.7035694)","East Williamsburg","NA","NA","28824R","NA","NA"
"2020","Discretionary","Over Threshold","Community Services","Mekimi","Mekimi","Brooklyn","1310 48TH STREET","Brooklyn","NY","11219","40.6352823656184","-73.9910574670091","986732","170727","Brooklyn CD 012","Brooklyn CD 012","Council District 044 Brooklyn","234","NDA012K","BK88","3137462","3056350007","POINT (-73.9910574670091 40.6352823656184)","Borough Park","NA","NA","23118R","NA","NA"
"2020","Discretionary","Over Threshold","Community Services","Mouse, Inc.","Wings Academy (X684)","Bronx","1122 EAST 180 STREET","Bronx","NY","10460","40.8417935457935","-73.8753663782026","1018735","245990","Bronx CD 006","Bronx CD 006","Council District 015 Bronx","220","NDA005X","BX17","2042451","2040060003","POINT (-73.8753663782026 40.8417935457935)","East Tremont","NA","NA","62091R","NA","NA"
"2020","Discretionary","Under Threshold","Community Services","Woodside On The Move, Inc.","PS 151 After School","Queens","50-05 31 AVENUE","WOODSIDE","NY","11377","40.7576706","-73.908367","1009489","215267","Queens CD 001","Queens CD 001","Council District 022 Queens","163","NDA Not-defined","QN70","4014094","4007520001","POINT (-73.908367 40.7576706)","Astoria","NA","NA","42688R","NA","NA"
"2020","Discretionary","Under Threshold","Community Services","Center for the Women of New York","The Center for the Women of New York, Inc","Queens","125-01 QUEENS BLVD","Queens","NY","11415","40.7123566872247","-73.8262917801616","1032407","198855","Queens CD 009","Queens CD 009","Council District 029 Queens","216","NDA Not-defined","QN60","4206522","4096570001","POINT (-73.8262917801616 40.7123566872247)","Kew Gardens","NA","NA","48032R","NA","NA"
"2020","Literacy and Immigrant Services","Adult Literacy - ABE/HSE","Educational Services","The Door-A Center of Alternatives, Inc","Bronx Youth Center","Bronx","424 EAST 147 STREET","Bronx","NY","10455","40.814197","-73.9177493","1007045","235958","Bronx CD 001","Bronx CD 001","Council District 008 Manhattan","43","NDA001X","BX39","2000506","2022910012","POINT (-73.9177493 40.814197)","Mott Haven-Port Morris","130","118","766615A","NA","Ages 16+"
"2020","RHY","Crisis Shelters","NA","Ali Forney Center","NA","Brooklyn","NA","Brooklyn","NY","11232",,,,,"Brooklyn CD 007","Brooklyn CD 007","Council District 038 Brooklyn",,"NDA002K","BK32","NA","NA",,"Sunset Park West","NA","NA","9549","NA","Ages 16 - 20"
"2020","SYEP","SYEP School-Based","Educational Services; Jobs and Internships","HANAC INC","Bronxdale High School (11X508)","Bronx","925 ASTOR AVENUE","Bronx","NY","10469","40.8604278564453","-73.8607330322266","1022698","252507","Bronx CD 011","Bronx CD 011","Council District 013 Bronx","324","NDA011X","BX07","2050179","2043580001","POINT (-73.8607330322266 40.8604278564453)","Bronxdale","NA","NA","91053","NA","Ages 14 - 24"
"2020","SYEP","SYEP School-Based","Educational Services; Jobs and Internships","HANAC INC","Long Island City High School (30Q450)","Queens","14-30 BROADWAY","Astoria","NY","11106","40.7656043","-73.932966","1002865","218295","Queens CD 001","Queens CD 001","Council District 022 Queens","45","NDA011X","QN70","4467709","4005290002","POINT (-73.932966 40.7656043)","Astoria","NA","NA","91053","NA","Ages 14 - 24"
"2021","Discretionary","Over Threshold","Community Services","Publicolor, Inc.","Publicolor, Inc","Manhattan","20 WEST 36 STREET","New York","NY","10018","40.7500975","-73.9849826","988535","212558","Manhattan CD 005","Manhattan CD 005","Council District 004 Manhattan","84","NDA010M","MN17","1015903","1008370058","POINT (-73.9849826 40.7500975)","Midtown-Midtown South","NA","NA","32433S","NA","NA"
"2021","Discretionary","Over Threshold","Community Services","Simon Wiesenthal Center Inc","The Simon Wiesenthal Center, Inc.","Outside of NYC","1399 SOUTH ROXBURY DRIVE","NA","CA","NA","34.0539758","-118.402892",,,"NA","NA","NA",,"NDA Not-defined","NA","NA","NA","POINT (-118.402892 34.0539758)","NA","NA","NA","93157S","NA","NA"
"2021","Discretionary","Under Threshold","Community Services","QSAC, Inc.","Program Site","Queens","12-10 150 STREET","Whitestone","NY","11357","40.7903824878059","-73.8144307439101","1035635","227289","Queens CD 007","Queens CD 007","Council District 019 Queens","981","NDA Not-defined","QN49","4102447","4045040027","POINT (-73.8144307439101 40.7903824878059)","Whitestone","NA","NA","93014S","NA","NA"
"2021","Discretionary","Under Threshold","Community Services","Brooklyn Arts Exchange","Youthworks","Brooklyn","421 FIFTH AVENUE","Brooklyn","NY","11215","40.5953749269247","-73.9685768634081","988213","183328","Brooklyn CD 006","Brooklyn CD 006","Council District 039 Brooklyn","137","NDA Not-defined","BK37","3021879","3009990001","POINT (-73.9685768634081 40.5953749269247)","Park Slope-Gowanus","NA","NA","23334S","NA","NA"
"2022","Compass","COMPASS Elementary","Afterschool Programs; Community Services; Educational Services","The Educational Alliance, Inc.","P.S. 142 Amalia Castro","Manhattan","100 ATTORNEY STREET","New York","NY","10002","40.71838244","-73.9844519","988560","201003","Manhattan CD 003","Manhattan CD 003","Council District 001 Manhattan","1402","NDA003M","MN28","1004080","1003430001","POINT (-73.9844519 40.71838244)","Lower East Side","157","183","126030B","126030","Grades K - 5"
"2022","Compass","COMPASS Middle School","Afterschool Programs; Community Services; Educational Services","New York Edge, Inc.","P.S. 66","Brooklyn","845 East   96 Street","Brooklyn","NY","11236","40.64882968","-73.90777445","1009842","175676","Brooklyn CD 018","Brooklyn CD 018","Council District 042 Brooklyn","970","Out of NDA","BK50","3325418","3081290060","POINT (-73.90777445 40.64882968)","Canarsie","115","123","142175B","142175","Grades 6 - 8"
"2022","CSBG","NDA Healthy Families","Community Services; Family Support; Housing Support; Immigrant Services","Together We Are","Together We Are","Brooklyn","1569 47 STREET","Brooklyn","NY","11219","40.63254929","-73.98453522","988375","169767","Brooklyn CD 012","Brooklyn CD 012","Council District 044 Brooklyn","234","NDA012K","BK88","3128595","3054360045","POINT (-73.98453522 40.63254929)","Borough Park","127","143","821214B","NA","Ages 14+"
"2022","Discretionary","Over Threshold","Community Services","Black Institute Inc","Black Institute Inc","Brooklyn","470 Vanderbilt Avenue","Brooklyn","NY","11238","40.6830766","-73.968019","993175","188121","Brooklyn CD 002","Brooklyn CD 002","Council District 035 Brooklyn","199","Out of NDA","BK69","3335094","3020090001","POINT (-73.968019 40.6830766)","Clinton Hill","NA","NA","930994T","NA","NA"
