"borough","neighborhood","building_class_category","tax_class_as_of_final_roll","block","lot","ease_ment","building_class_as_of_final","address","apartment_number","zip_code","residential_units","commercial_units","total_units","land_square_feet","gross_square_feet","year_built","tax_class_at_time_of_sale","building_class_at_time_of","sale_price","sale_date","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta","census_tract_2020","nta_code"
"1","CHELSEA","21 OFFICE BUILDINGS","4","697","5",,"O2","555 WEST 25TH STREET",,"10001","0","8","8","7,406","40,926","1926","4","O2","43300000.00","2019-03-28T00:00:00.000","40.749704","-74.00493","104","3","99","1012379","1006970005","Hudson Yards-Chelsea-Flatiron-Union Square",,
"1","CHELSEA","21 OFFICE BUILDINGS","4","697","23",,"O6","511 WEST 25TH STREET",,"10001","0","53","53","9,890","83,612","1917","4","O6","148254147.00","2019-05-23T00:00:00.000","40.749364","-74.004132","104","3","99","1012382","1006970023","Hudson Yards-Chelsea-Flatiron-Union Square",,
"1","CHELSEA","21 OFFICE BUILDINGS","4","700","55",,"O2","538 WEST 29TH STREET",,"10001","1","3","4","2,498","7,380","1910","4","O2","11000000.00","2019-03-13T00:00:00.000","40.752067","-74.002931","104","3","99","1012435","1007000055","Hudson Yards-Chelsea-Flatiron-Union Square",,
"1","CHELSEA","21 OFFICE BUILDINGS","4","712","1",,"O6","450 WEST 15TH",,"10011","0","30","30","34,188","281,361","1936","4","O6","591800000.00","2019-05-22T00:00:00.000",,,,,,,,,,
"1","CHELSEA","21 OFFICE BUILDINGS","4","746","64",,"O8","340 WEST 23RD STREET",,"10011","3","1","4","2,469","5,603","1900","4","O8","0.00","2019-04-01T00:00:00.000","40.745809","-73.999729","104","3","93","1013367","1007460064","Hudson Yards-Chelsea-Flatiron-Union Square",,
"1","CHELSEA","21 OFFICE BUILDINGS","4","802","75",,"O6","158 WEST 27 STREET",,"10001","0","14","14","8,305","108,000","1913","4","O6","99350000.00","2019-10-24T00:00:00.000","40.746089","-73.992576","105","3","95","1015055","1008020075","Midtown-Midtown South",,
"1","CHELSEA","21 OFFICE BUILDINGS","4","803","4",,"O4","307 7 AVENUE",,"10001","0","194","194","10,225","197,612","1926","4","O4","115000000.00","2019-10-17T00:00:00.000","40.746869","-73.993616","105","3","95","1015061","1008030004","Midtown-Midtown South",,
"1","CHELSEA","22 STORE BUILDINGS","4","697","13",,"K9","521 WEST 25TH STREET",,"10001","0","1","1","24,687","81,065","1910","4","K9","148254147.00","2019-05-23T00:00:00.000","40.749441","-74.004313","104","3","99","1080314","1006970013","Hudson Yards-Chelsea-Flatiron-Union Square",,
"1","CHELSEA","22 STORE BUILDINGS","4","772","72",,"K7","250 WEST 23RD STREET",,"10011","0","1","1","4,938","15,716","1948","4","K7","14500000.00","2019-09-05T00:00:00.000","40.744698","-73.997091","104","3","91","1014135","1007720072","Hudson Yards-Chelsea-Flatiron-Union Square",,
"1","CHELSEA","22 STORE BUILDINGS","4","772","74",,"K4","254 WEST 23RD STREET",,"10011","0","3","3","2,468","4,700","1920","4","K4","4750000.00","2019-09-05T00:00:00.000","40.744731","-73.997174","104","3","91","1014136","1007720074","Hudson Yards-Chelsea-Flatiron-Union Square",,
"1","CHELSEA","22 STORE BUILDINGS","4","774","79",,"K4","276 WEST 25TH STREET",,"10001","0","2","2","2,380","4,666","1910","4","K4","6900000.00","2019-08-02T00:00:00.000","40.746207","-73.996687","104","3","91","1014185","1007740079","Hudson Yards-Chelsea-Flatiron-Union Square",,
"1","CHELSEA","23 LOFT BUILDINGS","4","799","67",,"L1","148 WEST 24TH STREET, 4 FL",,"10011","0","15","15","4,937","55,923","1910","4","L1","4500000.00","2019-02-28T00:00:00.000","40.744149","-73.993721","104","3","91","1014966","1007990067","Hudson Yards-Chelsea-Flatiron-Union Square",,
"1","CHELSEA","23 LOFT BUILDINGS","4","802","54",,"L1","118 WEST 27TH STREET",,"10001","6","9","15","3,703","43,393","1910","4","L1","0.00","2019-03-20T00:00:00.000","40.745749","-73.991764","105","3","95","1015050","1008020054","Midtown-Midtown South",,
"1","CHELSEA","30 WAREHOUSES","4","700","57",,"E9","542 WEST 29TH STREET",,"10001","0","1","1","4,937","8,500","1946","4","E9","21350000.00","2019-03-13T00:00:00.000","40.752098","-74.002999","104","3","99","1012437","1007000057","Hudson Yards-Chelsea-Flatiron-Union Square",,
"1","CHELSEA","30 WAREHOUSES","4","794","9",,"E9","157 WEST 18TH STREET",,"10011","0","1","1","3,620","23,800","1906","4","E9","23200000.00","2019-02-20T00:00:00.000","40.740526","-73.996575","104","3","87","1014713","1007940009","Hudson Yards-Chelsea-Flatiron-Union Square",,
"1","CHELSEA","31 COMMERCIAL VACANT LAND","4","738","60",,"V1","336 WEST 15TH STREET",,"10011","0","0","0","1,528","0",,"4","V1","0.00","2019-07-31T00:00:00.000","40.740918","-74.003165","104","3","83","1000000","1007380060","Hudson Yards-Chelsea-Flatiron-Union Square",,
"1","CHELSEA","31 COMMERCIAL VACANT LAND","4","800","50",,"H2","113 WEST 24TH STREET",,"10011","0","1","1","7,112","0","2019","4","V1","74159182.00","2019-10-17T00:00:00.000","40.743858","-73.992984","104","3","91","1089732","1008000050","Hudson Yards-Chelsea-Flatiron-Union Square",,
"1","CHELSEA","33 EDUCATIONAL FACILITIES","4","697","31",,"W3","259 10TH AVENUE",,"10001","0","1","1","19,760","214,780","1928","4","W3","0.00","2019-06-12T00:00:00.000","40.749065","-74.003183","104","3","99","1012384","1006970031","Hudson Yards-Chelsea-Flatiron-Union Square",,
"1","CHELSEA","33 EDUCATIONAL FACILITIES","4","738","54",,"W8","324 WEST 15TH STREET",,"10011","2","1","3","7,294","19,777","1960","4","W8","0.00","2019-10-21T00:00:00.000","40.740817","-74.002923","104","3","83","1080380","1007380054","Hudson Yards-Chelsea-Flatiron-Union Square",,
