"the_geom","borocode","boroname","borocd","coundist","assemdist","stsendist","congdist","location","borough","date_insta","point_x","point_y","femafldz","femafldt","hrcevac","ntaname"
"POINT (-73.9113099998894 40.82484800054859)","2","Bronx","203","17","79","32","15","Brook Avenue and East 163 Street","Bronx","2021-09-23T00:00:00.000","-73.91131","40.824848","X","AREA OF MINIMAL FLOOD HAZARD","5","Morrisania"
"POINT (-73.87275000059282 40.836858000750944)","2","Bronx","209","18","87","34","14","Cross Bronx Expressway S/B and Bronx River Park N/B","Bronx","2022-06-11T00:00:00.000","-73.87275","40.836858","X","AREA OF MINIMAL FLOOD HAZARD",,"Soundview-Bruckner-Bronx River"
"POINT (-73.88800900013067 40.73005300086893)","4","Queens","405","30","30","12","6","Grand Avenue and  74 Street","Queens","2020-10-15T00:00:00.000","-73.888009","40.730053","X","AREA OF MINIMAL FLOOD HAZARD",,"Maspeth"
"POINT (-74.07176499972819 40.621448001094635)","5","Staten Island","501","49","63","23","11","Bay Street and Townsend Avenue","Staten Island","2021-08-24T00:00:00.000","-74.071765","40.621448","X","0.2 PCT ANNUAL CHANCE FLOOD HAZARD","3","Tompkinsville-Stapleton-Clifton-Fox Hills"
"POINT (-73.98208800012469 40.77790900137352)","1","Manhattan","107","6","67","47","12","Amsterdam Avenue and Broadway  / West 71 Street","Manhattan","2023-06-06T00:00:00.000","-73.982088","40.777909","X","AREA OF MINIMAL FLOOD HAZARD",,"Upper West Side-Lincoln Square"
"POINT (-73.8115270005373 40.702274000570384)","4","Queens","412","24","32","14","5","Jamaica Avenue and 143 Street /144 Street","Queens","2019-08-26T00:00:00.000","-73.811527","40.702274","X","AREA OF MINIMAL FLOOD HAZARD",,"Jamaica"
"POINT (-74.00966500042135 40.649270000708825)","3","Brooklyn","307","38","51","26","10","4 Avenue and  45 Street","Brooklyn","2015-10-26T00:00:00.000","-74.009665","40.64927","X","AREA OF MINIMAL FLOOD HAZARD",,"Sunset Park (West)"
"POINT (-73.9174699996529 40.62151300051489)","3","Brooklyn","318","46","59","21","8","Ralph Avenue and Avenue M","Brooklyn","2020-12-30T00:00:00.000","-73.91747","40.621513","X","AREA OF MINIMAL FLOOD HAZARD","3","Flatlands"
"POINT (-73.94581200021219 40.75780500075819)","4","Queens","401","26","36","59","7","Vernon Boulevard and  40 Avenue","Queens","2016-11-30T00:00:00.000","-73.945812","40.757805","X","0.2 PCT ANNUAL CHANCE FLOOD HAZARD","4","Queensbridge-Ravenswood-Dutch Kills"
"POINT (-73.96193199985855 40.81627000108)","1","Manhattan","109","7","70","30","13","Riverside Drive West and SB Triangle","Manhattan","2018-01-25T00:00:00.000","-73.961932","40.81627","X","AREA OF MINIMAL FLOOD HAZARD",,"Morningside Heights"
