"bldg_id","boro_id","block","lot","housenumber","streetname","borough","vacateagency","vacatenumber","vacatecode","vacatereason","monthlyrelocationtotal","month","year","postcode","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"850794","3","2437","21","360","SOUTH 3 STREET","Brooklyn","DOB","0516/22","BDV","ILLEGAL DWELLING UNITS","975","6","2022","11211","40.70907","-73.953113","1","34","527","3347321","3024370020","Williamsburg"
"993889","2","5245","41","3310","ROMBOUTS AVENUE","Bronx","DOB","0673/23","BDV","ILLEGAL DWELLING UNITS","437.89","4","2023","10475","40.880694","-73.827957","10","12","46203","2126461","2052450041","Co-op City"
"527770","4","12340","5","165-10","115 AVENUE","Queens","HPD","1815/22","CEV","ILLEGAL DWELLING UNITS","1730.96","3","2023","11434","40.688176","-73.783006","12","27","278","4267231","4123400005","Baisley Park"
"651903","4","1554","11","41-12","ELBERTSON STREET","Queens","DOB","0621/22","BDV","ILLEGAL DWELLING UNITS","437.89","5","2022","11373","40.746671","-73.876739","4","25","46902","4038855","4015540011","Elmhurst"
"678692","4","6532","22","144-28","MELBOURNE AVENUE","Queens","DOB","0764/22","CEV","ILLEGAL DWELLING UNITS","3133","8","2022","11367","40.734334","-73.824365","8","24","809","4141933","4065320022","Kew Gardens Hills"
"46670","2","3287","38","2702","BAINBRIDGE AVENUE","Bronx","DOB","1203/22","BDV","ILLEGAL DWELLING UNITS","4455","10","2022","10458","40.865848","-73.891099","7","15","40502","2016622","2032870038","Bedford Park"
"385420","3","3932","36","52","VAN SICLEN AVENUE","Brooklyn","DOB","0481/23","BDV","STRUCTURAL","437.89","3","2023","11207","40.679086","-73.891956","5","37","1146","3087453","3039320036","Cypress Hills"
"676156","4","12251","39","121-06","LONG STREET","Queens","DOB","0714/22","BDV","ILLEGAL DWELLING UNITS","1829.05","1","2023","11434","40.67921","-73.782051","12","28","28802","4265821","4122510039","Baisley Park"
"103789","2","4070","121","2531","POPLAR STREET","Bronx","DOB","1387/22","BDV","ILLEGAL DWELLING UNITS","212.31","10","2022","10461","40.844082","-73.849151","11","13","256","2093102","2040700121","Morris Park"
"667233","4","9187","33","102-55","JAMAICA AVENUE","Queens","DOB","1752/22","BDV","ILLEGAL DWELLING UNITS","6441.89","5","2023","11418","40.695197","-73.843365","9","32","26","4191667","4091870033","Richmond Hill"
"79544","2","3748","102","1154","FTELEY AVENUE","Bronx","HPD","1383/21","CEV","ILLEGAL DWELLING UNITS","3100","3","2022","10472","40.828195","-73.871291","9","18","68","2024143","2037480102","Soundview-Bruckner-Bronx River"
"578324","4","13275","6","144-27","175 STREET","Queens","DOB","0713/23","BDV","ILLEGAL DWELLING UNITS","8.27","6","2023","11434","40.666317","-73.774685","13","31","306","4311500","4132750006","Springfield Gardens (South)-Brookville"
"94700","2","5082","11","4616","MATILDA AVENUE","Bronx","HPD","0197/23","CEV","ILLEGAL DWELLING UNITS","2218.87","6","2023","10470","40.903205","-73.852971","12","11","414","2071069","2050820011","Wakefield-Woodlawn"
"69075","2","4678","63","844","EAST 220 STREET","Bronx","DOB","1718/21","BDV","ILLEGAL DWELLING UNITS","1950","6","2023","10467","40.882867","-73.858007","12","12","396","2058547","2046780063","Williamsbridge-Olinville"
"634213","4","16187","19","175","BEACH 114 STREET","Queens","HPD","1302/22","CEV","ESSENTIAL SERVICES","9100","4","2023","11694","40.579717","-73.835089","14","32","938","4303918","4161870019","Breezy Point-Belle Harbor-Rockaway Park-Broad Channel"
"805867","1","1831","53","244","WEST 116 STREET","Manhattan","HPD","0080/22","CEV","STRUCTURAL","3720","7","2022","10026","40.803959","-73.9543","10","9","218","1081573","1018310053","Harlem (South)"
"387271","3","5128","17","110","VERONICA PLACE","Brooklyn","HPD","1142/22","CEV","ILLEGAL DWELLING UNITS","1950","10","2022","11226","40.647529","-73.952746","17","40","794","3117770","3051280017","East Flatbush-Erasmus"
"448577","4","2329","27","48-08","59 PLACE","Queens","HPD","1559/21","CEV","ILLEGAL DWELLING UNITS","1558.17","1","2023","11377","40.738426","-73.905547","2","26","245","4053778","4023290027","Woodside"
"116696","2","3248","25","2730","UNIVERSITY AVENUE","Bronx","DOB","1695/22","BDV","ILLEGAL DWELLING UNITS","2015","1","2023","10468","40.869605","-73.900013","8","14","26701","2015253","2032480025","Kingsbridge Heights-Van Cortlandt Village"
"116696","2","3248","25","2730","UNIVERSITY AVENUE","Bronx","DOB","1695/22","BDV","ILLEGAL DWELLING UNITS","2015","5","2023","10468","40.869605","-73.900013","8","14","26701","2015253","2032480025","Kingsbridge Heights-Van Cortlandt Village"
"607659","4","11186","7","108-11","220 STREET","Queens","HPD","0306/23","CEV","ILLEGAL DWELLING UNITS","437.89","3","2023","11429","40.708867","-73.736171","13","27","582","4241136","4111860007","Queens Village"
"875513","2","5348","32","2700","LATTING STREET","Bronx","HPD","1380/21","CEV","ILLEGAL DWELLING UNITS","3965","8","2022","10461","40.837929","-73.837398","10","13","194","2073490","2053480032","Throgs Neck-Schuylerville"
"680756","4","15714","86","22-79","MOTT AVENUE","Queens","DOB","1282/21","BDV","STRUCTURAL","437.89","9","2021","11691","40.605884","-73.758089","14","31","100803","4300289","4157140086","Far Rockaway-Bayswater"
"865129","4","10172","11","108-25","164 STREET","Queens","HPD","0308/22","CEV","ILLEGAL DWELLING UNITS","2015","5","2023","11433","40.696407","-73.790047","12","27","258","4532388","4101720011","South Jamaica"
"511396","4","9406","35","104-03","101 AVENUE","Queens","DOB","1697/21","BDV","ILLEGAL DWELLING UNITS","2036.39","2","2022","11416","40.686289","-73.838915","9","28","116","4197776","4094060035","Ozone Park (North)"
"683481","4","12358","10","119-39","GUY R BREWER BOULEVARD","Queens","HPD","0295/22","CEV","ILLEGAL DWELLING UNITS","1031.49","7","2022","11434","40.681484","-73.781372","12","28","284","4441436","4123580010","Baisley Park"
"207925","3","8343","68","1162","BERGEN AVENUE","Brooklyn","DOB","1605/21","BDV","ILLEGAL DWELLING UNITS","2015","2","2023","11234","40.628019","-73.914472","18","46","69601","3235306","3083430068","Marine Park-Mill Basin-Bergen Beach"
"855154","3","1703","39","859","HERKIMER STREET","Brooklyn","HPD","1285/22","CEV","ILLEGAL DWELLING UNITS","3939.3","5","2023","11233","40.678299","-73.924891","3","41","299","3390063","3017030039","Bedford-Stuyvesant (East)"
"530574","4","9305","19","87-34","116 STREET","Queens","DOB","0156/23","BDV","ILLEGAL DWELLING UNITS","2280.91","6","2023","11418","40.698676","-73.833115","9","29","122","4195039","4093050019","Richmond Hill"
"110890","2","3556","38","653","ST LAWRENCE AVENUE","Bronx","DOB","0585/23","BDV","ILLEGAL DWELLING UNITS","5250.19","7","2023","10473","40.817987","-73.864088","9","18","2002","2021762","2035560038","Soundview-Clason Point"
"465247","4","3536","31","60-91","70 AVENUE","Queens","HPD","1640/21","CEV","ESSENTIAL SERVICES","4030","1","2023","11385","40.702458","-73.895701","5","30","583","4085254","4035360031","Ridgewood"
"532894","4","12607","35","191-15","119 AVENUE","Queens","DOB","0035/22","BDV","ILLEGAL DWELLING UNITS","7145.94","9","2022","11412","40.689325","-73.75877","12","27","394","4537439","4126070035","St. Albans"
"103521","2","2522","36","1319","PLIMPTON AVENUE","Bronx","DOB","1701/21","BDV","ILLEGAL DWELLING UNITS","10235","5","2022","10452","40.840604","-73.924408","4","16","211","2003372","2025220036","Highbridge"
"571877","4","10183","21","109-18","167 STREET","Queens","DOB","0061/22","BDV","ILLEGAL DWELLING UNITS","5357.02","5","2023","11433","40.695673","-73.786418","12","27","258","4216744","4101830021","South Jamaica"
"71899","2","4977","60","1049","EAST 233 STREET","Bronx","DOB","1032/22","BDV","ILLEGAL DWELLING UNITS","1940.2","8","2022","10466","40.890064","-73.846884","12","12","426","2067285","2049770060","Eastchester-Edenwald-Baychester"
"634213","4","16187","19","175","BEACH 114 STREET","Queens","HPD","1302/22","CEV","ESSENTIAL SERVICES","15445","12","2022","11694","40.579717","-73.835089","14","32","938","4303918","4161870019","Breezy Point-Belle Harbor-Rockaway Park-Broad Channel"
"713751","5","521","20","582","BAY STREET","Staten Island","DOB","0665/23","BDV","STRUCTURAL","2510","7","2023","10304","40.62749","-74.076143","1","49","21","5013664","5005210020","Tompkinsville-Stapleton-Clifton-Fox Hills"
