"oid","hotspot_dataset_object_id","public_space_open_space_name","public_space_open_space","borough_name","neighborhood_tabulation_area","neighborhood_tabulation_area_1","number_of_access_points_per","provider","ssid","latitude","longitude","published_date"
"1","1400","Abe Stark Skating Rink","Inside","Brooklyn","BK21","Seagate-Coney Island","6","ALTICEUSA","GuestWiFi","40.57278","-73.98563","2019-05-30T00:00:00.000"
"2","1401","Abe Stark Skating Rink","Inside","Brooklyn","BK21","Seagate-Coney Island","6","ALTICEUSA","GuestWiFi","40.57267","-73.98562","2019-05-30T00:00:00.000"
"3","1402","Abe Stark Skating Rink","Inside","Brooklyn","BK21","Seagate-Coney Island","6","ALTICEUSA","GuestWiFi","40.57267","-73.98562","2019-05-30T00:00:00.000"
"4","1403","Abe Stark Skating Rink","Inside","Brooklyn","BK21","Seagate-Coney Island","6","ALTICEUSA","GuestWiFi","40.57267","-73.98575","2019-05-30T00:00:00.000"
"5","1404","Abe Stark Skating Rink","Inside","Brooklyn","BK21","Seagate-Coney Island","6","ALTICEUSA","GuestWiFi","40.57267","-73.98575","2019-05-30T00:00:00.000"
"6","1405","Abe Stark Skating Rink","Inside","Brooklyn","BK21","Seagate-Coney Island","6","ALTICEUSA","GuestWiFi","40.57266","-73.98604","2019-05-30T00:00:00.000"
"7","1750","Alfred E. Smith Playground","Inside","Manhattan","MN27","Chinatown","8","SPECTRUM","GuestWiFi","40.71025","-73.99798","2019-05-30T00:00:00.000"
"8","1751","Alfred E. Smith Playground","Inside","Manhattan","MN27","Chinatown","8","SPECTRUM","GuestWiFi","40.71025","-73.99798","2019-05-30T00:00:00.000"
"9","1752","Alfred E. Smith Playground","Inside","Manhattan","MN27","Chinatown","8","SPECTRUM","GuestWiFi","40.71025","-73.99798","2019-05-30T00:00:00.000"
"10","1753","Alfred E. Smith Playground","Inside","Manhattan","MN27","Chinatown","8","SPECTRUM","GuestWiFi","40.71025","-73.99798","2019-05-30T00:00:00.000"
"11","2103","Alfred E. Smith Playground","Inside","Manhattan","MN27","Chinatown","8","SPECTRUM","GuestWiFi","40.71025","-73.99798","2019-05-30T00:00:00.000"
"12","1345","Alfred E. Smith Playground","Inside","Manhattan","MN27","Chinatown","8","SPECTRUM","GuestWiFi","40.71025","-73.99798","2019-05-30T00:00:00.000"
"13","1346","Alfred E. Smith Playground","Inside","Manhattan","MN27","Chinatown","8","SPECTRUM","GuestWiFi","40.71025","-73.99798","2019-05-30T00:00:00.000"
"14","1747","Alfred E. Smith Playground","Inside","Manhattan","MN27","Chinatown","8","SPECTRUM","GuestWiFi","40.71025","-73.99798","2019-05-30T00:00:00.000"
"15","2119","Alley Athletic Playground","Inside","Queens","QN43","Bellerose","6","SPECTRUM","GuestWiFi","40.73915","-73.73772","2019-05-30T00:00:00.000"
"16","1754","Alley Athletic Playground","Inside","Queens","QN43","Bellerose","6","SPECTRUM","GuestWiFi","40.73935","-73.73682","2019-05-30T00:00:00.000"
"17","1755","Alley Athletic Playground","Inside","Queens","QN43","Bellerose","6","SPECTRUM","GuestWiFi","40.73955","-73.73592","2019-05-30T00:00:00.000"
"18","1756","Alley Athletic Playground","Inside","Queens","QN43","Bellerose","6","SPECTRUM","GuestWiFi","40.73974","-73.73504","2019-05-30T00:00:00.000"
"19","1757","Alley Athletic Playground","Inside","Queens","QN43","Bellerose","6","SPECTRUM","GuestWiFi","40.73991","-73.73458","2019-05-30T00:00:00.000"
"20","1760","Alley Athletic Playground","Inside","Queens","QN43","Bellerose","6","SPECTRUM","GuestWiFi","40.74021","-73.73431","2019-05-30T00:00:00.000"
"21","1386","Asser Levy Park","Inside","Brooklyn","BK21","Seagate-Coney Island","3","ALTICEUSA","GuestWiFi","40.57353","-73.97756","2019-05-30T00:00:00.000"
