"site","location","sample_date","analysis_date_tthm_g_l_a","result_tthm_g_l_a","lraa_tthm_g_l_a","oel_tthm_g_l_a","analysis_date_haa5_g_l_b","result_haa5_g_l_b","lraa_haa5_g_l_b","oel_haa5_g_l_b"
"15150","SS - E/S Grand Concourse, 1st SS S/O E 171st St, IFO 1420 Grand Concourse, 12""","2023-05-02T00:00:00.000","2023-05-03T13:32:00.000","42","34","36","2023-05-06T00:00:00.000","55","39","43"
"58650","SS - W/S Main St, 2nd SS S/O Hylan Blvd, IFO 510 Main St, 12""","2023-05-02T00:00:00.000","2023-05-03T20:09:00.000","42","42","39","2023-05-11T00:00:00.000","40","30","33"
"52050","SS - W/S Nicholas Ave, 1st SS S/O Charles Ave, IFO 218 Nicholas Ave, 12""","2023-05-02T00:00:00.000","2023-05-03T18:29:00.000","44","37","37","2023-05-03T00:00:00.000","44","39","40"
"50850","SS - W/S Arlene St, 1st SS N/O Dawson Ct, IFO 512 Arlene St, 12""","2023-05-02T00:00:00.000","2023-05-03T19:29:00.000","42","38","37","2023-05-04T00:00:00.000","43","36","38"
"50750","SS - E/S Woodhull Ave, 1st SS S/O Albourne Ave, 8""","2023-05-02T00:00:00.000","2023-05-03T19:49:00.000","42","41","38","2023-05-11T00:00:00.000","37","33","34"
"50250","SS - N/S Victory Blvd, 2nd SS E/O Highland Ave, IFO 937 Victory Blvd, 20""","2023-05-02T00:00:00.000","2023-05-03T20:29:00.000","35","32","30","2023-05-04T00:00:00.000","49","42","42"
"45250","SS - E/S Beach 58th St, 2nd SS N/O Beach Channel Dr, 12""","2023-05-02T00:00:00.000","2023-05-03T14:11:00.000","43","36","35","2023-05-04T00:00:00.000","46","38","40"
"44350","SS - N/S 34th Ave, 1st SS W/O 24th St,  IFO 21-55 34th Ave, 12""","2023-05-02T00:00:00.000","2023-05-03T17:48:00.000","33","40","33","2023-05-06T00:00:00.000","48","42","43"
"39650","SS - N/S E 49th St, 2nd SS W/O 2nd Ave, IFO 229 E. 49th St, 12""","2023-05-02T00:00:00.000","2023-05-04T14:35:00.000","42","41","37","2023-05-04T00:00:00.000","55","39","44"
"38250","SS - N/S E 87th St, 2nd SS W/O 1st Ave, IFO 309 E. 87th St, 12""","2023-05-02T00:00:00.000","2023-05-04T14:15:00.000","40","42","37","2023-05-04T00:00:00.000","62","45","49"
"77650","SS - E/S 207th St, 1st N/O 111th Ave, OPP 110-52 207th St","2023-05-02T00:00:00.000","2023-05-04T17:13:00.000","25","31","26","2023-05-04T00:00:00.000","42","37","37"
"37950","SS - N/S E 12th St, 2nd SS E/O 2nd Ave, IFO 325 E. 12th St, 12""","2023-05-02T00:00:00.000","2023-05-03T16:09:00.000","42","42","39","2023-05-03T00:00:00.000","58","39","46"
"33950","SS - N/S E 104th St, 2nd SS E/O 3rd Ave, 12""","2023-05-02T00:00:00.000","2023-05-04T15:14:00.000","17","31","20","2023-05-04T00:00:00.000","11","25","17"
"33450","SS - N/S W 112th St, 2nd SS W/O St Nicholas Ave, - IFO 135 W. 112th St, 12""","2023-05-02T00:00:00.000","2023-05-04T11:29:00.000","19","31","21","2023-05-03T00:00:00.000","14","25","17"
"32350","SS - E/S Ave C, 2nd SS N/O E 7th St, IFO 116 Ave C, 12""","2023-05-02T00:00:00.000","2023-05-04T14:55:00.000","34","37","31","2023-05-04T00:00:00.000","31","32","32"
"31850","SS - S/S Warren St, 2nd SS E/O Greenwich St, IFO 82 Warren St, 12""","2023-05-02T00:00:00.000","2023-05-03T20:49:00.000","36","36","30","2023-05-04T00:00:00.000","48","39","42"
"31750","SS - N/S W 26th St, 2nd SS W/O 9th Ave, IFO 427 W. 26th St, 12""","2023-05-02T00:00:00.000","2023-05-04T15:54:00.000","40","39","35","2023-05-04T00:00:00.000","47","36","38"
"24350","SS - W/S Brighton 11th St, 2nd SS S/O Cass Pl, IFO 82 Brighton 11th St, 12""","2023-05-02T00:00:00.000","2023-05-04T15:34:00.000","37","39","34","2023-05-04T00:00:00.000","59","43","47"
"23450","SS - N/S Jefferson Ave, 2nd SS W/O Lewis Ave, OPP 518 Jefferson Ave,  20""","2023-05-02T00:00:00.000","2023-05-04T13:15:00.000","39","37","34","2023-05-03T00:00:00.000","45","35","38"
"18650","SS - N/S Dewey Ave, BTW Quincy & Swinton Aves, 12""","2023-05-02T00:00:00.000","2023-05-03T19:09:00.000","31","29","27","2023-05-06T00:00:00.000","41","35","36"
"24350","SS - W/S Brighton 11th St, 2nd SS S/O Cass Pl, IFO 82 Brighton 11th St, 12""","2023-02-07T00:00:00.000","2023-02-13T19:10:00.000","21","38","35","2023-02-09T00:00:00.000","33","37","37"
"77650","SS - E/S 207th St, 1st N/O 111th Ave, OPP 110-52 207th St","2023-02-07T00:00:00.000","2023-02-13T17:49:00.000","21","32","30","2023-02-10T00:00:00.000","32","35","34"
"58650","SS - W/S Main St, 2nd SS S/O Hylan Blvd, IFO 510 Main St, 12""","2023-02-07T00:00:00.000","2023-02-14T21:41:00.000","30","40","39","2023-02-10T00:00:00.000","33","23","28"
"52050","SS - W/S Nicholas Ave, 1st SS S/O Charles Ave, IFO 218 Nicholas Ave, 12""","2023-02-07T00:00:00.000","2023-02-13T20:52:00.000","24","34","32","2023-02-09T00:00:00.000","36","33","37"
"50850","SS - W/S Arlene St, 1st SS N/O Dawson Ct, IFO 512 Arlene St, 12""","2023-02-07T00:00:00.000","2023-02-13T18:29:00.000","28","35","35","2023-02-10T00:00:00.000","34","30","34"
"50750","SS - E/S Woodhull Ave, 1st SS S/O Albourne Ave, 8""","2023-02-07T00:00:00.000","2023-02-13T18:09:00.000","27","38","37","2023-02-10T00:00:00.000","38","29","33"
"50250","SS - N/S Victory Blvd, 2nd SS E/O Highland Ave, IFO 937 Victory Blvd, 20""","2023-02-07T00:00:00.000","2023-02-14T22:01:00.000","21","30","28","2023-02-09T00:00:00.000","33","38","38"
"45250","SS - E/S Beach 58th St, 2nd SS N/O Beach Channel Dr, 12""","2023-02-07T00:00:00.000","2023-02-13T17:08:00.000","22","33","31","2023-02-10T00:00:00.000","34","35","35"
"44350","SS - N/S 34th Ave, 1st SS W/O 24th St,  IFO 21-55 34th Ave, 12""","2023-02-07T00:00:00.000","2023-02-14T22:42:00.000","25","41","38","2023-02-09T00:00:00.000","37","40","39"
"39650","SS - N/S E 49th St, 2nd SS W/O 2nd Ave, IFO 229 E. 49th St, 12""","2023-02-07T00:00:00.000","2023-02-14T18:57:00.000","20","42","36","2023-02-09T00:00:00.000","29","34","33"
"38250","SS - N/S E 87th St, 2nd SS W/O 1st Ave, IFO 309 E. 87th St, 12""","2023-02-07T00:00:00.000","2023-02-14T19:18:00.000","24","43","38","2023-02-09T00:00:00.000","36","42","38"
"37950","SS - N/S E 12th St, 2nd SS E/O 2nd Ave, IFO 325 E. 12th St, 12""","2023-02-07T00:00:00.000","2023-02-14T19:59:00.000","24","42","38","2023-02-11T00:00:00.000","35","34","33"
"33950","SS - N/S E 104th St, 2nd SS E/O 3rd Ave, 12""","2023-02-07T00:00:00.000","2023-02-14T19:38:00.000","8","37","29","2023-02-08T00:00:00.000","9","35","24"
"33450","SS - N/S W 112th St, 2nd SS W/O St Nicholas Ave, - IFO 135 W. 112th St, 12""","2023-02-07T00:00:00.000","2023-02-15T16:07:00.000","6","37","28","2023-02-08T00:00:00.000","8","34","23"
